State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Alaska,94,Archdiocese of Anchorage,,"Anchorage, Alaska, 99501",,
Alaska,94,Blessed Sacrament Parish,,"Scammon Bay, Alaska, 99662",,
Alaska,94,Cathedral of The Nativity of The Blessed Virgin Mary,,"Juneau, Alaska, 99801",,
Alaska,94,Church of The Holy Angels,,"Unalakleet, Alaska, 99684",,
Alaska,94,Church of The Nativity,,"Saint Marys, Alaska, 99658",,
Alaska,94,Diocese of Fairbanks,,"Fairbanks, Alaska, 99709",,
Alaska,94,Diocese of Juneau,,"Juneau, Alaska, 99801",,
Alaska,94,Holy Cross Parish,,"Anchorage, Alaska, 99507-5722",,
Alaska,94,Holy Family,,"Gustavus, Alaska, 99826",,
Alaska,94,Holy Family Cathedral,,"Anchorage, Alaska, 99501",,
Alaska,94,Holy Family Parish,,"Metlakatla, Alaska, 99926",,
Alaska,94,Holy Family Parish,,"Glennallen, Alaska, 99588",,
Alaska,94,Holy Family Parish,,"Newtok, Alaska, 99559",,
Alaska,94,Holy Mary of Guadalupe Parish,,"Healy, Alaska, 99743",,
Alaska,94,Holy Name Parish,,"Ketchikan, Alaska, 99901",,
Alaska,94,Holy Rosary Parish,,"Tok, Alaska, 99780",,
Alaska,94,Holy Rosary Parish,,"Dillingham, Alaska, 99576",,
Alaska,94,Holy Spirit Center,,"Anchorage, Alaska, 99507",,
Alaska,94,Immaculate Conception Parish,,"Fairbanks, Alaska, 99701",,
Alaska,94,Immaculate Conception Parish,,"Bethel, Alaska, 99559",,
Alaska,94,Immaculate Heart of Mary Parish,,"Marshall, Alaska, 99585",,
Alaska,94,Little Flower of Jesus Parish,,"Hooper Bay, Alaska, 99604",,
Alaska,94,Our Lady of Guadalupe,,"Anchorage, Alaska, 99517",,
Alaska,94,Our Lady of Perpetual Help Parish,,"Nightmute, Alaska, 99690",,
Alaska,94,Our Lady of Perpetual Help Parish,,"Soldotna, Alaska, 99669",,
Alaska,94,Our Lady of Providence Chapel,,"Anchorage, Alaska, 99508",,
Alaska,94,Our Lady of Sorrows Parish,,"Delta Junction, Alaska, 99737",,
Alaska,94,Our Lady of the Angels,,"Kenai, Alaska, 99611",,
Alaska,94,Our Lady of the Lake,,"Big Lake, Alaska, 99652",,
Alaska,94,Our Lady of the Snows,,"Girdwood, Alaska, 99587",,
Alaska,94,Our Lady of The Snows,,"Nulato, 99765",,
Alaska,94,Sacred Heart Cathedral,,"Fairbanks, Alaska, 99709",,
Alaska,94,Sacred Heart Parish,,"Hoonah, Alaska, 99829",,
Alaska,94,Sacred Heart Parish,,"Haines, Alaska, 99827",,
Alaska,94,Sacred Heart Parish,,"Seward, Alaska, 99664",,
Alaska,94,Sacred Heart Parish,,"Wasilla, Alaska, 99654",,
Alaska,94,Sacred Heart Parish,,"Emmonak, Alaska, 99581",,
Alaska,94,Sacred Heart Parish,,"Chevak, Alaska, 99563",,
Alaska,94,St. Aloysius Parish,,"Tanana, Alaska, 99777",,
Alaska,94,St. Andrew Kim,,"Anchorage, Alaska, 99507",,
Alaska,94,St. Andrew Parish,,"Eagle River, Alaska, 99577",,
Alaska,94,St. Ann Parish,,"Teller, Alaska, 99778",,
Alaska,94,St. Ann Parish,,"Yakutat, Alaska, 99689",,
Alaska,94,St. Anthony Parish,,"ANCHORAGE, Alaska, 99508-2656",,
Alaska,94,St. Benedict Parish,,"Anchorage, Alaska, 99502",,
Alaska,94,St. Bernard Parish,,"Talkeetna, Alaska, 99676",,
Alaska,94,St. Bernard Parish,,"Stebbins, Alaska, 99671",,
Alaska,94,St. Catherine of Sienna Parish,,"Petersburg, Alaska, 99833",,
Alaska,94,St. Catherine Parish,,"Chefornak, Alaska, 99561",,
Alaska,94,St. Charles Spinola Parish,,"Pilot Station, Alaska, 99650",,
Alaska,94,St. Christopher by the Sea,,"Unalaska, Alaska, 99685",,
Alaska,94,St. Christopher Catholic Church,,"Willow, Alaska, 99688",,
Alaska,94,St. Elizabeth Ann Seton Church,,"Anchorage, Alaska, 99516-2042",,
Alaska,94,St. Elizabeth Ann Seton School,,"Anchorage, Alaska, 99515",,
Alaska,94,St. Francis Regis,,"Huslia, Alaska, 99749",,
Alaska,94,St. Francis Xavier Parish,,"Kotzebue, Alaska, 99752",,
Alaska,94,St. Francis Xavier Parish,,"Valdez, Alaska, 99686-0908",,
Alaska,94,St. Gregory of Nazianzen Parish,,"Sitka, Alaska, 99835",,
Alaska,94,St. Ignatius Parish,,"Alakanuk, Alaska, 99554",,
Alaska,94,St. John Berchman Parish,,"Galena, Alaska, 99741",,
Alaska,94,St. John by the Sea Parish,,"Klawock, Alaska, 99925",,
Alaska,94,St. John Neumann,,"Cooper Landing, 99572",,
Alaska,94,St. John The Baptist Parish,,"Homer, Alaska, 99603",,
Alaska,94,St. Joseph,,"Nome, Alaska, 99762",,
Alaska,94,St. Joseph,,"Tununak, Alaska, 99681",,
Alaska,94,St. Joseph Parish,,"Kotlik, Alaska, 99620",,
Alaska,94,St. Joseph Parish,,"Cordova, Alaska, 99574",,
Alaska,94,St. Jude,,"Diomede, Alaska, 99762",,
Alaska,94,St. Lawrence Parish,,"Mountain Village, Alaska, 99632",,
Alaska,94,St. Mark Univ. Parish,,"Fairbanks, Alaska, 99775",,
Alaska,94,St. Mary's Church,,"Kodiak, Alaska, 99615",,
Alaska,94,St. Michael,,"McGrath, Alaska, 99627",,
Alaska,94,St. Michael Council Knights of Columbus 11816,,"Palmer, Alaska, 99645",,
Alaska,94,St. Michael Parish,,"Saint Michael, Alaska, 99659",,
Alaska,94,St. Michael Parish,,"Palmer, Alaska, 99645",,
Alaska,94,St. Nicholas of Myra Parish,,"Anchorage, Alaska, 99503",,
Alaska,94,St. Nicholas Parish,,"North Pole, Alaska, 99705",,
Alaska,94,St. Patrick Parish,,"Koyukuk, Alaska, 99754",,
Alaska,94,St. Patrick Parish,,"Barrow, Alaska, 99723",,
Alaska,94,St. Patrick Parish,,"Anchorage, Alaska, 99504",,
Alaska,94,St. Paul The Apostle Parish,,"Juneau, Alaska, 99801",,
Alaska,94,St. Peter,,"Sheldon Point, Alaska, 99666",,
Alaska,94,St. Peter in Chains Parish,,"Ruby, Alaska, 99768",,
Alaska,94,St. Peter The Apostle,,"Ninilchik, Alaska, 99639",,
Alaska,94,St. Peter The Fisherman Parish,,"Toksook Bay, 99637",,
Alaska,94,St. Philip Benizi,,"Trapper Creek, Alaska, 99683",,
Alaska,94,St. Raphael Parish,,"Fairbanks, Alaska, 99710",,
Alaska,94,St. Rose of Lima Parish,,"Wrangell, Alaska, 99929",,
Alaska,94,St. Teresa Parish,,"Aniak, Alaska, 99557",,
Alaska,94,St. Teresas,,"Kaltag, Alaska, 99748",,
Alaska,94,St. Theresa Catholic Church,,"Kalskag, Alaska, 99607",,
Alaska,94,St. Theresa Parish,,"Nenana, Alaska, 99760",,
Alaska,94,St. Therese of The Child Jesus Parish,,"Skagway, Alaska, 99840",,
Alaska,94,The Northern Missions,,"Juneau, Alaska, 99801",,
Alabama,186,All Saints,,"Anniston, Alabama, 36201-3570",,
Alabama,186,Annunciation of the Lord Church,,"Decatur, Alabama, 35603",,
Alabama,186,Annunciation Parish,,"Monroeville, Alabama, 36460-0883",,
Alabama,186,Archangel Radio,,"Fairhope, Alabama, 36532",,
Alabama,186,Archdiocese of Mobile,,"Mobile, Alabama, 36602",,
Alabama,186,Blessed Francis Xavier Seelos Parish,,"Spanish Fort, Alabama, 36527",,
Alabama,186,Blessed Sacrament Parish,,"Birmingham, Alabama, 35211",,
Alabama,186,Camp Tekawitha,,"Birmingham, Alabama, 35203",,
Alabama,186,Cathedral of St Paul,,"Birmingham, Alabama, 35203-3315",,
Alabama,186,Christ The King Catholic Church,,"Andalusia, Alabama, 36420-4124",,
Alabama,186,Christ The King Parish,,"Daphne, Alabama, 36526",,
Alabama,186,Church of the Holy Spirit,,"Montgomery, Alabama, 36117",,
Alabama,186,Church of the Holy Spirit Youth Ministry,,"Montgomery, Alabama, 36117",,
Alabama,186,Church of The Resurrection Chapel,,"Hillsboro, Alabama, 35650",,
Alabama,186,Corpus Christi Cathloic Church,,"Oneonta, Alabama, 35121",,
Alabama,186,Corpus Christi Catholic Church,,"Mobile, Alabama, 36608",,
Alabama,186,Corpus Christi Knights of Columbus 13125,,"Mobile, Alabama, 36608",,
Alabama,186,Diocese of Birmingham,,"Birmingham, Alabama, 35203",,
Alabama,186,Diocese of Birmingham - Catholic Schools Office,,"Birmingham, Alabama, 35203",,
Alabama,186,Dominican Monastery of St. Jude,,"Marbury, Alabama, 36051",,
Alabama,186,Good Shepherd,,"Columbia, Alabama, 36319",,
Alabama,186,Good Shepherd Parish,,"Huntsville, Alabama, 35803-2326",,
Alabama,186,Good Shepherd Parish,,"Russellville, Alabama, 35653-5706",,
Alabama,186,Holy Family,,"Fayette, Alabama, 35555-1280",,
Alabama,186,Holy Family Catholic Church,,"Birmingham, Alabama, 35218",,
Alabama,186,Holy Family Parish,,"Lanett, Alabama, 36863",,
Alabama,186,Holy Family Parish,,"Mobile, Alabama, 36618",,
Alabama,186,Holy Infant of Prague Parish,,"Trussville, Alabama, 35173-1305",,
Alabama,186,Holy Name of Jesus,,"Childersburg, Alabama, 35044",,
Alabama,186,Holy Name of Jesus Parish,,"Semmes, Alabama, 36575",,
Alabama,186,Holy Redeemer Parish,,"Eufaula, Alabama, 36027",,
Alabama,186,Holy Rosary Parish,,"Birmingham, Alabama, 35212-2922",,
Alabama,186,Holy Spirit,,"Winfield, Alabama, 35594-5229",,
Alabama,186,Holy Spirit Parish,,"Huntsville, Alabama, 35802",,
Alabama,186,Holy Spirit Parish,,"Tuscaloosa, Alabama, 35405",,
Alabama,186,Immaculate Conception,,"Roanoke, Alabama, 36274-1325",,
Alabama,186,Immaculate Conception Cathedral,,"Mobile, Alabama, 36602",,
Alabama,186,Immaculate Conception Parish,,"Orrville, Alabama, 36767",,
Alabama,186,Knights of Columbus Council 13152,,"Fort Payne, Alabama, 35967",,
Alabama,186,Knights of Columbus Council 893,,"Montgomery, Alabama, 36109",,
Alabama,186,Little Flock Franciscan Fraternity,,"Fairhope, Alabama, 36532",,
Alabama,186,Little Flower Parish,,"Mobile, Alabama, 36606",,
Alabama,186,Maronite Catholic Community of Mobile,,"Birmingham, Alabama, 35205",,
Alabama,186,Most Pure Heart of Mary Parish,,"Mobile, Alabama, 36603-6213",,
Alabama,186,Most Pure Heart of Mary School,,"Mobile, Alabama, 36603",,
Alabama,186,Mother Mary Parish,,"Phenix City, Alabama, 36869",,
Alabama,186,Our Lady of Fatima,,"Birmingham, Alabama, 35205",,
Alabama,186,Our Lady of Guadalupe,,"Haleyville, Alabama, 35565",,
Alabama,186,Our Lady of Guadalupe Catholic Church,,"Wetumpka, Alabama, 36092",,
Alabama,186,Our Lady of Lourdes,,"Greensboro, Alabama, 36744-2011",,
Alabama,186,Our Lady of Lourdes Parish,,"Mobile, Alabama, 36605",,
Alabama,186,Our Lady of Lourdes Parish,,"Birmingham, Alabama, 35215",,
Alabama,186,Our Lady of Sorrows,,"Homewood, Alabama, 35209",,
Alabama,186,Our Lady of Sorrows Parish,,"Birmingham, Alabama, 35209",,
Alabama,186,Our Lady of the Angels,,"Irondale, Alabama, 35210",,
Alabama,186,Our Lady of the Gulf Catholic Church,,"Gulf Shores, Alabama, 36542",,
Alabama,186,Our Lady of the Lake,,"Cropwell, Alabama, 35054",,
Alabama,186,Our Lady of the Shoals,,"Tuscumbia, Alabama, 35674-1612",,
Alabama,186,Our Lady of the Valley,,"Fort Payne, Alabama, 35967-3732",,
Alabama,186,Our Lady of the Valley Catholic Military Community,,"Redstone Arsenal, Alabama, 35898",,
Alabama,186,Our Lady of The Valley Parish,,"Birmingham, Alabama, 35242-3512",,
Alabama,186,Our Lady Queen of Mercy Parish,,"Montgomery, Alabama, 36116",,
Alabama,186,Our Lady Queen of Peace Parish,,"Selma, Alabama, 36701",,
Alabama,186,"Our Lady, Help of Christians",,"Huntsville, Alabama, 35801",,
Alabama,186,"Our Lady, Queen of the Universe",,"Huntsville, Alabama, 35810-3662",,
Alabama,186,"Our Lady, Queen of the Universe",,"Birmingham, Alabama, 35204-3751",,
Alabama,186,Our Mother of Mercy Parish,,"Plateau, Alabama, 36610",,
Alabama,186,Our Savior Parish,,"Mobile, Alabama, 36695",,
Alabama,186,Prince of Peace Parish,,"Mobile, Alabama, 36603",,
Alabama,186,Prince of Peace Parish,,"Hoover, Alabama, 35226-2000",,
Alabama,186,Resurrection Catholic Chapel,,"Hillsboro, Alabama, 35643",,
Alabama,186,Resurrection Parish,,"Montgomery, Alabama, 36110",,
Alabama,186,Sacred Heart Chapel,,"Fairhope, Alabama, 36532",,
Alabama,186,Sacred Heart of Jesus,,"Cullman, Alabama, 35055-3512",,
Alabama,186,Sacred Heart of Jesus Catholic Church,,"Anniston, Alabama, 36207-3366",,
Alabama,186,Sacred Heart of Jesus Catholic Student Center,,"Mobile, Alabama, 36608",,
Alabama,186,Sacred Heart Parish,,"Birmingham, Alabama, 35207-3807",,
Alabama,186,Shrine of The Holy Cross,,"Daphne, Alabama, 36526",,
Alabama,186,Shrine of the Most Blessed Sacrament,,"Hanceville, Alabama, 35077",,
Alabama,186,St. Agatha Catholic Church,,"Bay Minette, Alabama, 36507-3931",,
Alabama,186,St. Aloysius Parish,,"Bessemer, Alabama, 35022",,
Alabama,186,St. Andrew Parish,,"Montgomery, Alabama, 36104-3341",,
Alabama,186,St. Barnabas Parish,,"Birmingham, Alabama, 35206-3842",,
Alabama,186,St. Bartholomew Catholic Church,,"Elberta, Alabama, 36530",,
Alabama,186,St. Bede the Venerable Catholic Church,,"Montgomery, Alabama, 36109",,
Alabama,186,St. Bernard Abbey,,"Cullman, Alabama, 35055",,
Alabama,186,St. Bernard Preparatory School,,"Cullman, Alabama, 35055",,
Alabama,186,St. Boniface,,"Hanceville, Alabama, 35077",,
Alabama,186,St. Bridget,,"Whistler, Alabama, 36613",,
Alabama,186,St. Catherine of Sienna Parish,,"Mobile, Alabama, 36607-2922",,
Alabama,186,St. Cecelia Parish,,"Mount Vernon, Alabama, 36560",,
