State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Alabama,186,All Saints,,"Anniston, Alabama, 36201-3570",,
Alabama,186,Annunciation of the Lord Church,,"Decatur, Alabama, 35603",,
Alabama,186,Annunciation Parish,,"Monroeville, Alabama, 36460-0883",,
Alabama,186,Archangel Radio,,"Fairhope, Alabama, 36532",,
Alabama,186,Archdiocese of Mobile,,"Mobile, Alabama, 36602",,
Alabama,186,Blessed Francis Xavier Seelos Parish,,"Spanish Fort, Alabama, 36527",,
Alabama,186,Blessed Sacrament Parish,,"Birmingham, Alabama, 35211",,
Alabama,186,Camp Tekawitha,,"Birmingham, Alabama, 35203",,
Alabama,186,Cathedral of St Paul,,"Birmingham, Alabama, 35203-3315",,
Alabama,186,Christ The King Catholic Church,,"Andalusia, Alabama, 36420-4124",,
Alabama,186,Christ The King Parish,,"Daphne, Alabama, 36526",,
Alabama,186,Church of the Holy Spirit,,"Montgomery, Alabama, 36117",,
Alabama,186,Church of the Holy Spirit Youth Ministry,,"Montgomery, Alabama, 36117",,
Alabama,186,Church of The Resurrection Chapel,,"Hillsboro, Alabama, 35650",,
Alabama,186,Corpus Christi Cathloic Church,,"Oneonta, Alabama, 35121",,
Alabama,186,Corpus Christi Catholic Church,,"Mobile, Alabama, 36608",,
Alabama,186,Corpus Christi Knights of Columbus 13125,,"Mobile, Alabama, 36608",,
Alabama,186,Diocese of Birmingham,,"Birmingham, Alabama, 35203",,
Alabama,186,Diocese of Birmingham - Catholic Schools Office,,"Birmingham, Alabama, 35203",,
Alabama,186,Dominican Monastery of St. Jude,,"Marbury, Alabama, 36051",,
Alabama,186,Good Shepherd,,"Columbia, Alabama, 36319",,
Alabama,186,Good Shepherd Parish,,"Huntsville, Alabama, 35803-2326",,
Alabama,186,Good Shepherd Parish,,"Russellville, Alabama, 35653-5706",,
Alabama,186,Holy Family,,"Fayette, Alabama, 35555-1280",,
Alabama,186,Holy Family Catholic Church,,"Birmingham, Alabama, 35218",,
Alabama,186,Holy Family Parish,,"Lanett, Alabama, 36863",,
Alabama,186,Holy Family Parish,,"Mobile, Alabama, 36618",,
Alabama,186,Holy Infant of Prague Parish,,"Trussville, Alabama, 35173-1305",,
Alabama,186,Holy Name of Jesus,,"Childersburg, Alabama, 35044",,
Alabama,186,Holy Name of Jesus Parish,,"Semmes, Alabama, 36575",,
Alabama,186,Holy Redeemer Parish,,"Eufaula, Alabama, 36027",,
Alabama,186,Holy Rosary Parish,,"Birmingham, Alabama, 35212-2922",,
Alabama,186,Holy Spirit,,"Winfield, Alabama, 35594-5229",,
Alabama,186,Holy Spirit Parish,,"Huntsville, Alabama, 35802",,
Alabama,186,Holy Spirit Parish,,"Tuscaloosa, Alabama, 35405",,
Alabama,186,Immaculate Conception,,"Roanoke, Alabama, 36274-1325",,
Alabama,186,Immaculate Conception Cathedral,,"Mobile, Alabama, 36602",,
Alabama,186,Immaculate Conception Parish,,"Orrville, Alabama, 36767",,
Alabama,186,Knights of Columbus Council 13152,,"Fort Payne, Alabama, 35967",,
Alabama,186,Knights of Columbus Council 893,,"Montgomery, Alabama, 36109",,
Alabama,186,Little Flock Franciscan Fraternity,,"Fairhope, Alabama, 36532",,
Alabama,186,Little Flower Parish,,"Mobile, Alabama, 36606",,
Alabama,186,Maronite Catholic Community of Mobile,,"Birmingham, Alabama, 35205",,
Alabama,186,Most Pure Heart of Mary Parish,,"Mobile, Alabama, 36603-6213",,
Alabama,186,Most Pure Heart of Mary School,,"Mobile, Alabama, 36603",,
Alabama,186,Mother Mary Parish,,"Phenix City, Alabama, 36869",,
Alabama,186,Our Lady of Fatima,,"Birmingham, Alabama, 35205",,
Alabama,186,Our Lady of Guadalupe,,"Haleyville, Alabama, 35565",,
Alabama,186,Our Lady of Guadalupe Catholic Church,,"Wetumpka, Alabama, 36092",,
Alabama,186,Our Lady of Lourdes,,"Greensboro, Alabama, 36744-2011",,
Alabama,186,Our Lady of Lourdes Parish,,"Mobile, Alabama, 36605",,
Alabama,186,Our Lady of Lourdes Parish,,"Birmingham, Alabama, 35215",,
Alabama,186,Our Lady of Sorrows,,"Homewood, Alabama, 35209",,
Alabama,186,Our Lady of Sorrows Parish,,"Birmingham, Alabama, 35209",,
Alabama,186,Our Lady of the Angels,,"Irondale, Alabama, 35210",,
Alabama,186,Our Lady of the Gulf Catholic Church,,"Gulf Shores, Alabama, 36542",,
Alabama,186,Our Lady of the Lake,,"Cropwell, Alabama, 35054",,
Alabama,186,Our Lady of the Shoals,,"Tuscumbia, Alabama, 35674-1612",,
Alabama,186,Our Lady of the Valley,,"Fort Payne, Alabama, 35967-3732",,
Alabama,186,Our Lady of the Valley Catholic Military Community,,"Redstone Arsenal, Alabama, 35898",,
Alabama,186,Our Lady of The Valley Parish,,"Birmingham, Alabama, 35242-3512",,
