State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Alaska,94,Archdiocese of Anchorage,,"Anchorage, Alaska, 99501",,
Alaska,94,Blessed Sacrament Parish,,"Scammon Bay, Alaska, 99662",,
Alaska,94,Cathedral of The Nativity of The Blessed Virgin Mary,,"Juneau, Alaska, 99801",,
Alaska,94,Church of The Holy Angels,,"Unalakleet, Alaska, 99684",,
Alaska,94,Church of The Nativity,,"Saint Marys, Alaska, 99658",,
Alaska,94,Diocese of Fairbanks,,"Fairbanks, Alaska, 99709",,
Alaska,94,Diocese of Juneau,,"Juneau, Alaska, 99801",,
Alaska,94,Holy Cross Parish,,"Anchorage, Alaska, 99507-5722",,
Alaska,94,Holy Family,,"Gustavus, Alaska, 99826",,
Alaska,94,Holy Family Cathedral,,"Anchorage, Alaska, 99501",,
Alaska,94,Holy Family Parish,,"Metlakatla, Alaska, 99926",,
Alaska,94,Holy Family Parish,,"Glennallen, Alaska, 99588",,
Alaska,94,Holy Family Parish,,"Newtok, Alaska, 99559",,
Alaska,94,Holy Mary of Guadalupe Parish,,"Healy, Alaska, 99743",,
Alaska,94,Holy Name Parish,,"Ketchikan, Alaska, 99901",,
Alaska,94,Holy Rosary Parish,,"Tok, Alaska, 99780",,
Alaska,94,Holy Rosary Parish,,"Dillingham, Alaska, 99576",,
Alaska,94,Holy Spirit Center,,"Anchorage, Alaska, 99507",,
Alaska,94,Immaculate Conception Parish,,"Fairbanks, Alaska, 99701",,
Alaska,94,Immaculate Conception Parish,,"Bethel, Alaska, 99559",,
Alaska,94,Immaculate Heart of Mary Parish,,"Marshall, Alaska, 99585",,
Alaska,94,Little Flower of Jesus Parish,,"Hooper Bay, Alaska, 99604",,
Alaska,94,Our Lady of Guadalupe,,"Anchorage, Alaska, 99517",,
Alaska,94,Our Lady of Perpetual Help Parish,,"Nightmute, Alaska, 99690",,
Alaska,94,Our Lady of Perpetual Help Parish,,"Soldotna, Alaska, 99669",,
Alaska,94,Our Lady of Providence Chapel,,"Anchorage, Alaska, 99508",,
Alaska,94,Our Lady of Sorrows Parish,,"Delta Junction, Alaska, 99737",,
Alaska,94,Our Lady of the Angels,,"Kenai, Alaska, 99611",,
Alaska,94,Our Lady of the Lake,,"Big Lake, Alaska, 99652",,
Alaska,94,Our Lady of the Snows,,"Girdwood, Alaska, 99587",,
Alaska,94,Our Lady of The Snows,,"Nulato, 99765",,
Alaska,94,Sacred Heart Cathedral,,"Fairbanks, Alaska, 99709",,
Alaska,94,Sacred Heart Parish,,"Hoonah, Alaska, 99829",,
Alaska,94,Sacred Heart Parish,,"Haines, Alaska, 99827",,
Alaska,94,Sacred Heart Parish,,"Seward, Alaska, 99664",,
Alaska,94,Sacred Heart Parish,,"Wasilla, Alaska, 99654",,
Alaska,94,Sacred Heart Parish,,"Emmonak, Alaska, 99581",,
Alaska,94,Sacred Heart Parish,,"Chevak, Alaska, 99563",,
Alaska,94,St. Aloysius Parish,,"Tanana, Alaska, 99777",,
Alaska,94,St. Andrew Kim,,"Anchorage, Alaska, 99507",,
Alaska,94,St. Andrew Parish,,"Eagle River, Alaska, 99577",,
Alaska,94,St. Ann Parish,,"Teller, Alaska, 99778",,
Alaska,94,St. Ann Parish,,"Yakutat, Alaska, 99689",,
Alaska,94,St. Anthony Parish,,"ANCHORAGE, Alaska, 99508-2656",,
Alaska,94,St. Benedict Parish,,"Anchorage, Alaska, 99502",,
Alaska,94,St. Bernard Parish,,"Talkeetna, Alaska, 99676",,
Alaska,94,St. Bernard Parish,,"Stebbins, Alaska, 99671",,
Alaska,94,St. Catherine of Sienna Parish,,"Petersburg, Alaska, 99833",,
Alaska,94,St. Catherine Parish,,"Chefornak, Alaska, 99561",,
Alaska,94,St. Charles Spinola Parish,,"Pilot Station, Alaska, 99650",,
Alaska,94,St. Christopher by the Sea,,"Unalaska, Alaska, 99685",,
Alaska,94,St. Christopher Catholic Church,,"Willow, Alaska, 99688",,
Alaska,94,St. Elizabeth Ann Seton Church,,"Anchorage, Alaska, 99516-2042",,
Alaska,94,St. Elizabeth Ann Seton School,,"Anchorage, Alaska, 99515",,
Alaska,94,St. Francis Regis,,"Huslia, Alaska, 99749",,
Alaska,94,St. Francis Xavier Parish,,"Kotzebue, Alaska, 99752",,
Alaska,94,St. Francis Xavier Parish,,"Valdez, Alaska, 99686-0908",,
Alaska,94,St. Gregory of Nazianzen Parish,,"Sitka, Alaska, 99835",,
Alaska,94,St. Ignatius Parish,,"Alakanuk, Alaska, 99554",,
Alaska,94,St. John Berchman Parish,,"Galena, Alaska, 99741",,
Alaska,94,St. John by the Sea Parish,,"Klawock, Alaska, 99925",,
Alaska,94,St. John Neumann,,"Cooper Landing, 99572",,
Alaska,94,St. John The Baptist Parish,,"Homer, Alaska, 99603",,
Alaska,94,St. Joseph,,"Nome, Alaska, 99762",,
Alaska,94,St. Joseph,,"Tununak, Alaska, 99681",,
Alaska,94,St. Joseph Parish,,"Kotlik, Alaska, 99620",,
Alaska,94,St. Joseph Parish,,"Cordova, Alaska, 99574",,
Alaska,94,St. Jude,,"Diomede, Alaska, 99762",,
Alaska,94,St. Lawrence Parish,,"Mountain Village, Alaska, 99632",,
Alaska,94,St. Mark Univ. Parish,,"Fairbanks, Alaska, 99775",,
Alaska,94,St. Mary's Church,,"Kodiak, Alaska, 99615",,
Alaska,94,St. Michael,,"McGrath, Alaska, 99627",,
Alaska,94,St. Michael Council Knights of Columbus 11816,,"Palmer, Alaska, 99645",,
Alaska,94,St. Michael Parish,,"Saint Michael, Alaska, 99659",,
Alaska,94,St. Michael Parish,,"Palmer, Alaska, 99645",,
Alaska,94,St. Nicholas of Myra Parish,,"Anchorage, Alaska, 99503",,
Alaska,94,St. Nicholas Parish,,"North Pole, Alaska, 99705",,
Alaska,94,St. Patrick Parish,,"Koyukuk, Alaska, 99754",,
Alaska,94,St. Patrick Parish,,"Barrow, Alaska, 99723",,
Alaska,94,St. Patrick Parish,,"Anchorage, Alaska, 99504",,
Alaska,94,St. Paul The Apostle Parish,,"Juneau, Alaska, 99801",,
Alaska,94,St. Peter,,"Sheldon Point, Alaska, 99666",,
Alaska,94,St. Peter in Chains Parish,,"Ruby, Alaska, 99768",,
Alaska,94,St. Peter The Apostle,,"Ninilchik, Alaska, 99639",,
Alaska,94,St. Peter The Fisherman Parish,,"Toksook Bay, 99637",,
Alaska,94,St. Philip Benizi,,"Trapper Creek, Alaska, 99683",,
Alaska,94,St. Raphael Parish,,"Fairbanks, Alaska, 99710",,
Alaska,94,St. Rose of Lima Parish,,"Wrangell, Alaska, 99929",,
Alaska,94,St. Teresa Parish,,"Aniak, Alaska, 99557",,
Alaska,94,St. Teresas,,"Kaltag, Alaska, 99748",,
Alaska,94,St. Theresa Catholic Church,,"Kalskag, Alaska, 99607",,
Alaska,94,St. Theresa Parish,,"Nenana, Alaska, 99760",,
Alaska,94,St. Therese of The Child Jesus Parish,,"Skagway, Alaska, 99840",,
Alaska,94,The Northern Missions,,"Juneau, Alaska, 99801",,
