State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Arizona,264,All Saints Catholic Newman Center-ASU,,"Tempe, Arizona, 85281",,
Arizona,264,All Saints Parish,,"Ganado, Arizona, 86505-0119",,
Arizona,264,All Saints Roman Catholic Parish Mesa,,"Mesa, Arizona, 85205",,
Arizona,264,Assumption Chapel,,"Amado, Arizona, 85645",,
Arizona,264,Assumption of The Blessed Virgin Mary Parish,,"Florence, Arizona, 85232",,
Arizona,264,Assumption of the Virgin Mary,,"Phoenix, Arizona, 85019",,
Arizona,264,Blessed Sacrament Parish,,"Mammoth, Arizona, 85618",,
Arizona,264,Blessed Sacrament Parish,,"Scottsdale, Arizona, 85254-5007",,
Arizona,264,Blessed Sacrement Parish,,"Tolleson, Arizona, 85353",,
Arizona,264,Chapel of the Holy Cross,,"Sedona, Arizona, 86336",,
Arizona,264,Christ The King Parish,,"Mesa, Arizona, 85204",,
Arizona,264,Church of St. Thomas More,,"Glendale, Arizona, 85308",,
Arizona,264,Church of the Ascension,,"Fountain Hills, Arizona, 85268",,
Arizona,264,Corpus Christi,,"Tucson, Arizona, 85748",,
Arizona,264,Corpus Christi Parish,,"Phoenix, Arizona, 85044",,
Arizona,264,Diocese of Phoenix,,"Phoenix, Arizona, 85004-2376",,
Arizona,264,Diocese of Tucson,,"Tucson, Arizona, 85702",,
Arizona,264,Dormition of the Mother of God,,"Phoenix, Arizona, 85019",,
Arizona,264,El Cristo Rey Catholic Chapel,,"Grand Canyon, Arizona, 86023",,
Arizona,264,Eparchy of Phoenix,,"Phoenix, Arizona, 85020-3999",,
Arizona,264,Franciscan Brothers of St. Michael,,"Bisbee, Arizona, 85603",,
Arizona,264,Franciscan Renewal Center,,"Scottsdale, Arizona, 85253",,
Arizona,264,Good Shepherd,,"Whetstone, Arizona, 85616",,
Arizona,264,Good Shepherd,,"New River, Arizona, 85087",,
Arizona,264,Good Shepherd of the Desert Catholic Church,,"Congress, Arizona, 85332",,
Arizona,264,Holy Angels Roman Catholic Church,,"Globe, Arizona, 85501",,
Arizona,264,Holy Cross Parish,,"Morenci, Arizona, 85540-9703",,
Arizona,264,Holy Cross Parish,,"Mesa, Arizona, 85206",,
Arizona,264,Holy Family Parish,,"Tucson, Arizona, 85705",,
Arizona,264,Holy Family Parish,,"Phoenix, Arizona, 85042-5804",,
Arizona,264,Holy Family Parish (Jerome),,"Clarkdale, Arizona, 86324",,
Arizona,264,Holy Spirit,,"Flagstaff, Arizona, United States",,
Arizona,264,Holy Spirit Parish,,"Tempe, Arizona, 85283",,
Arizona,264,Holy Trinity Catholic Newman Center,,"Flagstaff, Arizona, 86001",,
Arizona,264,Immaculate Conception Parish,,"Cottonwood, Arizona, 86326",,
Arizona,264,Immaculate Conception Parish,,"Douglas, Arizona, 85607-2225",,
Arizona,264,Immaculate Conception Parish,,"Yuma, Arizona, 85364",,
Arizona,264,Immaculate Conception Parish,,"Ajo, Arizona, 85321",,
Arizona,264,Immaculate Heart of Mary Church,,"Page, Arizona, 86040-1387",,
Arizona,264,Immaculate Heart of Mary Parish,,"Somerton, Arizona, 85350",,
Arizona,264,Immaculate Heart of Mary Parish,,"Phoenix, Arizona, 85034-1093",,
Arizona,264,Infant Jesus of Prague,,"Kearny, Arizona, 85137",,
Arizona,264,Madre De Dios Parish,,"Winslow, Arizona, 86047",,
Arizona,264,Mar Abraham Chaldean Catholic Church,,"Scottsdale, Arizona, 85254",,
