State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Arkansas,564,Archdiocese of Cafayate,,"Buenos Aires, Arkansas, United States",,
Arkansas,564,Archdiocese of Corrientes,,"Corrientes, Arkansas, United States",,
Arkansas,564,Archdiocese of Cruz del Eje,,"Cruz del Eje, Arkansas, United States",,
Arkansas,564,Archdiocese of Mercedes-Lujan,,"Mercedes Lujan, Arkansas, United States",,
Arkansas,564,Archdiocese of Posadas,,"Posadas, Arkansas, United States",,
Arkansas,564,Archdiocese of Rio Gallegos,,"Rio Gallegos, Arkansas, Z9400HYA",,
Arkansas,564,Archdiocese of Salta,,"Salta, Arkansas, United States",,
Arkansas,564,Archdiocese of Santa Maria del Patrocinio en Buenos Aires,,"Santa Maria del Patrocinio, Arkansas, United States",,
Arkansas,564,Archdiocese of Venado Tuerto,,"Venado Tuerto, Arkansas, United States",,
Arkansas,564,"Argentina, Faithful of the Oriental Rite",,"Buenos Aires, Arkansas, United States",,
Arkansas,564,Arquidi,,"Mendoza, Arkansas, 5500",,
Arkansas,564,Ascension of the Lord,,"Panambi, Arkansas, 3361",,
Arkansas,564,Ascension of the Lord,,"Cordoba, Arkansas, 5014",,
Arkansas,564,Assumption,,"Despenaderos, Arkansas, 5121",,
Arkansas,564,Assumption of Mary,,"Elena, Arkansas, 5815",,
Arkansas,564,Assumption of the Blessed Virgin,,"La Tablada, Arkansas, United States",,
Arkansas,564,Assumption of The Blessed Virgin Mary Parish,,"Atkins, Arkansas, 72823-4239",,
Arkansas,564,Assumption of the Virgin,,"Guaymallen, Arkansas, 5519",,
Arkansas,564,Blessed John Newman University Parish,,"Jonesboro, Arkansas, 72401-1836",,
Arkansas,564,Blessed Sacrament,,"Tucuman, Arkansas, 4107",,
Arkansas,564,Blessed Sacrament,,"Santa Fe, Arkansas, 53004EGW",,
Arkansas,564,Blessed Sacrament,,"Cordoba, Arkansas, 5000",,
Arkansas,564,Blessed Sacrament,,"La Falda, Arkansas, 5172",,
Arkansas,564,Blessed Sacrament Parish,,"Jonesboro, Arkansas, 72401-3114",,
Arkansas,564,Blessed Therese of Calcuta,,"Zarate, Arkansas, 2800",,
Arkansas,564,Cathedral of St Andrew,,"Little Rock, Arkansas, 72201",,
Arkansas,564,CHI St. Vincent Chaple,,"Hot Springs, Arkansas, 71913",,
Arkansas,564,Child Jesus,,"Corrientes, Arkansas, 3400",,
Arkansas,564,Child Jesus of Prague,,"Cordoba, Arkansas, 5000",,
Arkansas,564,Christ Divine Worker,,"Tucuman, Arkansas, 4103",,
Arkansas,564,Christ the King,,"Tucuman, Arkansas, 4101",,
Arkansas,564,Christ the King,,"Guaymallen, Arkansas, 5519",,
Arkansas,564,Christ the King,,"Cordoba, Arkansas, 5001",,
Arkansas,564,Christ The King Parish,,"Fort Smith, Arkansas, 72901",,
Arkansas,564,Christ The King Parish,,"Little Rock, Arkansas, 72212",,
Arkansas,564,Christ the Redemeer,,"Jardin America, Arkansas, N33328GAC",,
Arkansas,564,Christ the Redemeer,,"Cordoba, Arkansas, 5016",,
Arkansas,564,Christ the Worker,,"Santa Fe, Arkansas, 3000",,
Arkansas,564,Christ the Worker,,"Corrientes, Arkansas, 3400",,
Arkansas,564,Christ the Worker,,"Cordoba, Arkansas, 5000",,
Arkansas,564,Corpus Christi,,"Gobernador Roca, Arkansas, 3324",,
Arkansas,564,Diocese of A,,"Rio Negro, Arkansas, United States",,
Arkansas,564,Diocese of Chascomus,,"San Fernando del Valle de Catamarca, Arkansas, United States",,
Arkansas,564,Diocese of Comodoro Rivadavia,,"Comodoro Rivadavia, Arkansas, United States",,
Arkansas,564,Diocese of Concepcion,,"Concepcion, Arkansas, United States",,
Arkansas,564,Diocese of Concordia,,"Concordia, Arkansas, 3200",,
Arkansas,564,Diocese of Cordoba,,"Cordoba, Arkansas, 1",,
Arkansas,564,Diocese of Dean Funes,,"Dean Funes, Arkansas, United States",,
Arkansas,564,Diocese of Formosa,,"Formosa, Arkansas, United States",,
Arkansas,564,Diocese of Gregorio de Laferrere,,"Gregorio de Laferrere, Arkansas, United States",,
Arkansas,564,Diocese of Gualeguaychu,,"Gualeguaychu, Arkansas, United States",,
Arkansas,564,Diocese of Humahuaca,,"Humahuaca, Arkansas, United States",,
Arkansas,564,Diocese of La Plata,,"La Plata, Arkansas, United States",,
Arkansas,564,Diocese of Little Rock,,"Little Rock, Arkansas, 72217",,
Arkansas,564,Diocese of Oran,,"Oran, Arkansas, United States",,
Arkansas,564,Diocese of Parana,,"Parana, Arkansas, United States",,
Arkansas,564,Diocese of Puerto Iguazu,,"Puerto Iguazu, Arkansas, dont know",,
Arkansas,564,Diocese of Quilmes,,"Quilmes, Arkansas, United States",,
Arkansas,564,Diocese of Reconquista,,"Reconquista, Arkansas, United States",,
Arkansas,564,Diocese of Resistencia,,"Resistencia, Arkansas, United States",,
Arkansas,564,Diocese of Rosario,,"Rosario, Arkansas, United States",,
Arkansas,564,Diocese of San Charbel en Buenos Aires,,"San Charbel, Arkansas, United States",,
