State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Colorado,290,All Saints Parish,,"Denver, Colorado, 80219",,
Colorado,290,All Souls Parish,,"Englewood, Colorado, 80113-6847",,
Colorado,290,Annunciation Catholic Church,,"Denver, Colorado, 80205",,
Colorado,290,Annunciation Parish,,"Springfield, Colorado, 81073",,
Colorado,290,Archdiocese of Denver,,"Denver, Colorado, 80210",,
Colorado,290,Assumption of the Blessed Virgin Mary,,"Denver, Colorado, 80229",,
Colorado,290,Ave Maria Catholic School,,"Parker, Colorado, 80138-7209",,
Colorado,290,Ave Maria Parish,,"Parker, Colorado, 80138",,
Colorado,290,Blessed Sacrament Parish,,"Denver, Colorado, 80207",,
Colorado,290,"Carmelite Order, Third Order Community",,"Denver, Colorado, 80212",,
Colorado,290,Cathedral of The Immaculate Conception,,"Denver, Colorado, 80203",,
Colorado,290,Cathedral of The Sacred Heart,,"Pueblo, Colorado, 81003-2888",,
Colorado,290,Christ On The Mountain Parish,,"Lakewood, Colorado, 80228-4110",,
Colorado,290,Christ the King,,"Pueblo, Colorado, 81001-1605",,
Colorado,290,Christ the King,,"Haxtun, Colorado, 80731",,
Colorado,290,Christ The King Parish,,"Pueblo, Colorado, 81001-1699",,
Colorado,290,Christ The King Parish,,"Evergreen, Colorado, 80439-7723",,
Colorado,290,Christ The King Parish,,"Denver, Colorado, 80220",,
Colorado,290,Church of the Ascension,,"Denver, Colorado, 80239",,
Colorado,290,Colorado Mountain College,,"Steamboat Springs, Colorado, 80477-4198",,
Colorado,290,Corpus Christi Catholic Church,,"Colorado Springs, Colorado, 80907",,
Colorado,290,Cure d'Ars Parish,,"Denver, Colorado, 80207",,
Colorado,290,Diocese of Colorado Springs,,"Colorado Springs, Colorado, 80903",,
Colorado,290,Diocese of Pueblo,,"Pueblo, Colorado, 81003-2948",,
Colorado,290,Divine Reedemer Parish,,"Colorado Springs, Colorado, 80909",,
Colorado,290,Durango Knights of Columbus Council 1408,,"Durango, Colorado, 81301",,
Colorado,290,Erie Knights of Columbus,,"Erie, Colorado, 80516",,
Colorado,290,Eucharistic Christ,,"Montebello, Colorado, United States",,
Colorado,290,Good Shepherd Catholic Parish,,"Denver, Colorado, 80206",,
Colorado,290,Guardian Angels Parish,,"Denver, Colorado, 80221",,
Colorado,290,Guardian Angels Roman Catholic Church,,"Mead, Colorado, 80542",,
Colorado,290,Holy Apostles Parish,,"Colorado Springs, Colorado, 80917",,
Colorado,290,Holy Cross Parish,,"Thornton, Colorado, 80229",,
Colorado,290,Holy Family,,"Pueblo, Colorado, 81005-2495",,
Colorado,290,Holy Family,,"Keenesburg, Colorado, 80643",,
Colorado,290,Holy Family,,"Leadville, Colorado, 80461-3172",,
Colorado,290,Holy Family Parish,,"Meeker, Colorado, 81641",,
Colorado,290,Holy Family Parish,,"Fort Collins, Colorado, 80521",,
Colorado,290,Holy Family Parish,,"Denver, Colorado, 80212",,
Colorado,290,Holy Ghost Parish,,"Denver, Colorado, 80202",,
Colorado,290,Holy Mary,,"Leeder, Colorado, 86925",,
Colorado,290,Holy Name of Mary Parish,,"Del Norte, Colorado, 81132-0097",,
Colorado,290,Holy Name Parish,,"Steamboat Springs, Colorado, 80477",,
Colorado,290,Holy Name Parish,,"Englewood, Colorado, 80110",,
Colorado,290,Holy Protection of the Mother of God Byzantine Catholic Church,,"Denver, Colorado, 80210-2003",,
Colorado,290,Holy Rosary Chapel,,"Cascade, Colorado, 80809",,
Colorado,290,Holy Rosary Parish,,"Pueblo, Colorado, 81003-3842",,
Colorado,290,Holy Rosary Parish,,"Denver, Colorado, 80216",,
Colorado,290,Holy Trinity Catholic Church,,"Colorado Springs, Colorado, 80907",,
Colorado,290,Holy Trinity Catholic School of Westminster,,"Westminster, Colorado, 80030",,
Colorado,290,Holy Trinity Parish,,"Westminster, Colorado, 80030",,
Colorado,290,Immaculate Conception Catholic Church,,"Security, Colorado, 80911",,
Colorado,290,Immaculate Conception Parish,,"Lafayette, Colorado, 80026-2676",,
Colorado,290,Immaculate Heart of Mary Catholic Parish,,"Northglenn, Colorado, 80233",,
Colorado,290,Immaculate Heart of Mary Parish,,"Grand Junction, Colorado, 81506",,
Colorado,290,Immaculate Heart of Mary Parish,,"Pagosa Springs, Colorado, 81147-0451",,
Colorado,290,Kateri Catholic Community,,"Lakewood, Colorado, 80215",,
Colorado,290,Keystone Conference Center,,"Keystone, Colorado, 80435",,
Colorado,290,Light of The World Roman Catholic Church,,"Littleton, Colorado, 80127-2060",,
Colorado,290,Mary Queen of Heaven,,"Fowler, Colorado, 81039-0214",,
Colorado,290,Most Holy Trinity Parish,,"Trinidad, Colorado, 81082-2692",,
Colorado,290,Most Precious Blood Parish,,"Denver, Colorado, 80210",,
Colorado,290,Mother Cabrini Shrine,,"Golden, Colorado, 80401",,
Colorado,290,Mother of God Parish,,"Denver, Colorado, 80203-3606",,
Colorado,290,Mullen High School,,"Denver, Colorado, 80236",,
Colorado,290,Nativity of Our Lord Parish,,"Broomfield, Colorado, 80020",,
Colorado,290,Northeastern Junior College,,"Sterling, Colorado, 80751",,
Colorado,290,Notre Dame Parish,,"Denver, Colorado, 80219-5098",,
Colorado,290,Our Lady and St. Kevin,,"Littleton, Colorado, United States",,
Colorado,290,Our Lady Mother of The Church Parish,,"Commerce City, Colorado, 80022",,
Colorado,290,Our Lady of Fatima,,"Olathe, Colorado, 81425",,
Colorado,290,Our Lady of Fatima Parish,,"Lakewood, Colorado, 80215",,
Colorado,290,Our Lady of Grace,,"Wattenberg, Colorado, 80621",,
Colorado,290,Our Lady of Grace Parish,,"Denver, Colorado, 80216",,
Colorado,290,Our Lady of Guadalupe Church,,"Colorado Springs, Colorado, 80909",,
Colorado,290,Our Lady of Guadalupe Parish,,"Conejos, Colorado, 81129",,
Colorado,290,Our Lady of Guadalupe Parish,,"Denver, Colorado, 80211",,
Colorado,290,Our Lady of Guadalupe/St Patrick,,"La Junta, Colorado, 81050-1181",,
Colorado,290,Our Lady of Loreto,,"Foxfield, Colorado, 80016",,
Colorado,290,Our Lady of Lourdes,,"Beulah, Colorado, 81023",,
Colorado,290,Our Lady of Lourdes,,"Wiggins, Colorado, 80654",,
Colorado,290,Our Lady of Lourdes,,"Georgetown, Colorado, 80444",,
Colorado,290,Our Lady of Lourdes Parish,,"Denver, Colorado, 80210",,
Colorado,290,Our Lady of Mount Carmel,,"Littleton, Colorado, 80120",,
Colorado,290,Our Lady of Mount Carmel Parish,,"Pueblo, Colorado, 81003-3590",,
Colorado,290,Our Lady of Mount Carmel Parish,,"Denver, Colorado, 80211",,
Colorado,290,Our Lady of Mt Carmel Mission,,"Red Cliff, Colorado, 81649",,
Colorado,290,Our Lady of Peace,,"Silverthorne, Colorado, 80498",,
Colorado,290,Our Lady of Peace Parish,,"Greeley, Colorado, 80631",,
Colorado,290,Our Lady of Perpetual Help,,"Manitou Springs, Colorado, 80829",,
Colorado,290,Our Lady of Salette,,"S, Colorado, 34200",,
Colorado,290,Our Lady of The Assumption Parish,,"Westcliffe, Colorado, 81252",,
Colorado,290,Our Lady of the Lakes,,"Red Feather Lakes, Colorado, 80536",,
Colorado,290,Our Lady of the Meadows,,"Pueblo, Colorado, 81005-1878",,
Colorado,290,Our Lady of The Mountains Parish,,"Estes Park, Colorado, 80517",,
Colorado,290,Our Lady of the Pines,,"Black Forest, Colorado, 80908-4372",,
Colorado,290,Our Lady of The Pines,,"Black Forest, Colorado, 80908",,
Colorado,290,Our Lady of The Pines,,"Conifer, Colorado, 80433",,
Colorado,290,Our Lady of The Plains Parish,,"Byers, Colorado, 80103",,
Colorado,290,Our Lady of the Snow,,"Granby, Colorado, 80446",,
Colorado,290,Our Lady of the Valley,,"La Jara, Colorado, 81140",,
Colorado,290,Our Lady of The Valley Parish,,"Windsor, Colorado, 80550",,
Colorado,290,Our Lady of The Woods Parish,,"Woodland Park, Colorado, 80863",,
Colorado,290,Our Lady of Victory,,"Dolores, Colorado, 81323",,
Colorado,290,Our Lady of Victory Parish,,"Limon, Colorado, 80828",,
Colorado,290,Our Lady of Visitation,,"Denver, Colorado, 80211",,
Colorado,290,Our Lady of Visitation,,"Kiowa, Colorado, 80117",,
Colorado,290,Pax Christi Parish,,"Littleton, Colorado, 80124",,
Colorado,290,Pope John Paul II,,"Pagosa Springs, Colorado, 81147",,
Colorado,290,Presentation of Our Lady Parish,,"Denver, Colorado, 80204",,
Colorado,290,Queen of All Saints,,"Crested Butte, Colorado, 81224-0271",,
Colorado,290,Queen of Peace Catholic Church,,"Aurora, Colorado, 80012",,
Colorado,290,Queen of Vietnamese Martyrs,,"Wheat Ridge, Colorado, 80033",,
Colorado,290,Regis University,,"Denver, Colorado, 80221-1099",,
Colorado,290,Risen Christ Catholic Parish,,"Denver, Colorado, 80222",,
Colorado,290,Sacred aheart Parish,,"Cheyenne Wells, Colorado, 80810-0819",,
Colorado,290,Sacred Heart,,"Silt, Colorado, 81652",,
Colorado,290,Sacred Heart,,"Durango, Colorado, 81301-5649",,
Colorado,290,Sacred Heart of Jesus Parish,,"Boulder, Colorado, 80304",,
Colorado,290,Sacred Heart of Mary Parish,,"Boulder, Colorado, 80303",,
Colorado,290,Sacred Heart Parish,,"Fruita, Colorado, 81521-2307",,
Colorado,290,Sacred Heart Parish,,"Paonia, Colorado, 81428-0988",,
Colorado,290,Sacred Heart Parish,,"Alamosa, Colorado, 81101-0547",,
Colorado,290,Sacred Heart Parish,,"Gardner, Colorado, 81040",,
Colorado,290,Sacred Heart Parish,,"Avondale, Colorado, 81022-0279",,
Colorado,290,Sacred Heart Parish,,"Colorado Springs, Colorado, 80904",,
Colorado,290,Sacred Heart Parish,,"Peetz, Colorado, 80747",,
Colorado,290,Sacred Heart Parish,,"Roggen, Colorado, 80652",,
Colorado,290,Sacred Heart Parish,,"Denver, Colorado, 80205",,
Colorado,290,San Isidore Mission,,"Trinidad, Colorado, 81082",,
Colorado,290,Sangre de Cristo Parish,,"San Luis, Colorado, 81152-0326",,
Colorado,290,Shrine of St Anne,,"Arvada, Colorado, 80002",,
Colorado,290,Shrine of St Therese Catholic Church,,"Pueblo, Colorado, 81004-1097",,
Colorado,290,Spirit of Christ Catholic Community,,"Arvada, Colorado, 80003",,
Colorado,290,SS Peter & Paul Roman Catholic Church,,"Wheat Ridge, Colorado, 80033-4942",,
Colorado,290,St. Agnes,,"Saguache, Colorado, 81149",,
Colorado,290,St. Aloysius,,"Rye, Colorado, 81069",,
Colorado,290,St. Andrew Kim,,"Colorado Springs, Colorado, 80916",,
Colorado,290,St. Andrew the Apostle Catholic Church,,"Wray, Colorado, 80758",,
Colorado,290,St. Ann,,"Palisade, Colorado, 81526-8785",,
Colorado,290,St. Anne Parish,,"Grand Lake, Colorado, 80447",,
Colorado,290,St. Anne Parish,,"Pueblo, Colorado, 81001-2498",,
Colorado,290,St. Anthony,,"Logan, Colorado, 88426",,
Colorado,290,St. Anthony,,"Los Sauces, 81151",,
Colorado,290,St. Anthony of Padua,,"Hugo, Colorado, 80821",,
Colorado,290,St. Anthony of Padua Parish,,"Denver, Colorado, 80219",,
Colorado,290,St. Anthony Parish,,"Aguilar, Colorado, 81020-0577",,
Colorado,290,St. Anthony Parish,,"Sterling, Colorado, 80751",,
Colorado,290,St. Anthony Parish,,"Julesburg, Colorado, 80737",,
Colorado,290,St. Augustine,,"Antonito, Colorado, 81120-0305",,
Colorado,290,St. Augustine,,"Kit Carson, Colorado, 80825",,
Colorado,290,St. Augustine Parish,,"Brighton, Colorado, 80601",,
Colorado,290,St. Bartholomew,,"Bayfield, Colorado, 81122",,
Colorado,290,St. Benedict Catholic Church,,"Peyton, Colorado, 80831",,
Colorado,290,St. Benedict Parish,,"Florence, Colorado, 81226",,
Colorado,290,St. Bernadette Parish,,"Lakewood, Colorado, 80214",,
Colorado,290,St. Bernard of Montjoux,,"Fraser, Colorado, 80482",,
Colorado,290,St. Brendan,,"Parachute, Colorado, 81635",,
Colorado,290,St. Cajetan Catholic Church,,"Denver, Colorado, 80219",,
