State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Connecticut,443,Abbey of Regina Laudis,,"Bethlehem, Connecticut, 6751",,
Connecticut,443,Albertus Magnus Catholic College,,"New Haven, Connecticut, 6511",,
Connecticut,443,All Hallows Parish,,"Moosup, Connecticut, 06354-1499",,
Connecticut,443,All Saints,,"Kilmacthomas, Connecticut, United States",,
Connecticut,443,All Saints Parish,,"Somersville, Connecticut, 06072-0913",,
Connecticut,443,Archdiocese of Hartford,,"Hartford, Connecticut, 06105-3784",,
Connecticut,443,Ascension Parish,,"Hamden, Connecticut, 6514",,
Connecticut,443,Assumption Church,,"Westport, Connecticut, 06880-4284",,
Connecticut,443,Assumption Parish,,"Manchester, Connecticut, 06040-4898",,
Connecticut,443,Basilica of The Immaculate Conception,,"Waterbury, Connecticut, 06702-2005",,
Connecticut,443,Blessed Sacrament Parish,,"Bridgeport, Connecticut, 6607",,
Connecticut,443,Blessed Sacrament Parish,,"Waterbury, Connecticut, 06708-2696",,
Connecticut,443,Blessed Sacrament Parish,,"Hamden, Connecticut, 06514-3441",,
Connecticut,443,Blessed Sacrament Parish,,"East Hartford, Connecticut, 6118",,
Connecticut,443,Canterbury School,,"New Milford, Connecticut, 6776",,
Connecticut,443,Cathedral of St Joseph,,"Hartford, Connecticut, 06105-3708",,
Connecticut,443,Cathedral of St. Patrick,,"Norwich, Connecticut, 6360",,
Connecticut,443,Centesimus Annus Pro Pontifice (CAPP),,"Greenwich, Connecticut, 6831",,
Connecticut,443,Christ The King Parish,,"Trumbull, Connecticut, 06611-1799",,
Connecticut,443,Christ The King Parish,,"Old Lyme, Connecticut, 6371",,
Connecticut,443,Christ The Redeemer Parish,,"Milford, Connecticut, 06460-1798",,
Connecticut,443,Church of St. Brigid,,"West Hartford, Connecticut, 6110",,
Connecticut,443,Church of the Assumption,,"Ansonia, Connecticut, 6401",,
Connecticut,443,Church of The Epiphany Parish,,"Cheshire, Connecticut, 06410-1340",,
Connecticut,443,Church of The Nativity Parish,,"Bethlehem, Connecticut, 6751",,
Connecticut,443,Church of the Resurrection,,"Wallingford, Connecticut, 06492-4836",,
Connecticut,443,Corpus Christi Parish,,"Wethersfield, Connecticut, 06109-3068",,
Connecticut,443,Diocese of Bridgeport,,"Bridgeport, Connecticut, 6606",,
Connecticut,443,Diocese of Norwich,,"Norwich, Connecticut, 06360-4480",,
Connecticut,443,Eparchy of Stamford,,"Stamford, Connecticut, 06902-3019",,
Connecticut,443,Fairfield University,,"Fairfield, Connecticut, 06430-4101",,
Connecticut,443,Good Shepherd Parish,,"Seymour, Connecticut, 06483-2038",,
Connecticut,443,Holy Angels Parish,,"South Meriden, Connecticut, 06541-4934",,
Connecticut,443,Holy Cross Parish,,"Fairfield, Connecticut, 6825",,
Connecticut,443,Holy Cross Parish,,"New Britain, Connecticut, 06053-2899",,
Connecticut,443,Holy Family Parish,,"Fairfield, Connecticut, 6825",,
Connecticut,443,Holy Family Parish,,"Enfield, Connecticut, 06082-5903",,
Connecticut,443,Holy Infant Parish,,"Orange, Connecticut, 06477-2599",,
Connecticut,443,Holy Name of Jesus Parish,,"Stamford, Connecticut, 06902-6822",,
Connecticut,443,Holy Name of Jesus Parish,,"Stratford, Connecticut, 06497-5397",,
Connecticut,443,Holy Rosary Parish,,"Bridgeport, Connecticut, 06608-2127",,
Connecticut,443,Holy Rosary Parish,,"Ansonia, Connecticut, 6401",,
Connecticut,443,Holy Spirit Parish,,"Stamford, Connecticut, 06903-4009",,
Connecticut,443,Holy Spirit Parish,,"Newington, Connecticut, 06111-4898",,
Connecticut,443,Holy Trinity Byzantine Catholic Church,,"New Britain, Connecticut, 6051",,
Connecticut,443,Holy Trinity Catholic Church,,"Sherman, Connecticut, 6784",,
Connecticut,443,Holy Trinity Parish,,"Wallingford, Connecticut, 06492-3696",,
Connecticut,443,Holy Trinity Parish,,"Hartford, Connecticut, 06106-1798",,
Connecticut,443,Immaculate Conception Church,,"Southington, Connecticut, 06489-3593",,
Connecticut,443,Immaculate Conception Parish,,"Terryville, Connecticut, 6786",,
Connecticut,443,Immaculate Conception Parish,,"Norfolk, Connecticut, 06058-1009",,
Connecticut,443,Immaculate Conception Parish,,"New Hartford, Connecticut, 6057",,
Connecticut,443,Immaculate Heart of Mary Parish,,"Harwinton, Connecticut, 06791-0127",,
Connecticut,443,Immaculate Heart of Mary Parish,,"Danbury, Connecticut, 06810-7797",,
Connecticut,443,Incarnation Parish,,"Wethersfield, Connecticut, 06109-3696",,
Connecticut,443,John Inserra,,"Redding, Connecticut, 06896",,
Connecticut,443,Knights of Columbus of Holy Infant Church,,"Orange, Connecticut, 6477",,
Connecticut,443,Lourdes in Litchfield,,"Litchfield, Connecticut, 6759",,
Connecticut,443,Mary Immaculate Day Care Center,,"Bridgeport, Connecticut, 6605",,
Connecticut,443,Mary Our Queen Parish,,"Plantsville, Connecticut, 6479",,
