State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Florida,767,All Saints Byzantine Catholic Church,,"North Fort Myers, Florida, 33917",,
Florida,767,All Saints Catholic Church,,"Clearwater, Florida, 33761-1333",,
Florida,767,All Saints Catholic Nursing Home and Rehabilitation Center,,"Jacksonville, Florida, 32244-1927",,
Florida,767,All Saints Parish,,"Sunrise, Florida, 33351",,
Florida,767,All Souls Catholic Church,,"Sanford, Florida, 32771",,
Florida,767,All Souls Catholic School,,"Sanford, Florida, 32771",,
Florida,767,All Souls Historic Chapel,,"Sanford, Florida, 32771",,
Florida,767,Annunciation,,"West Hollywood, Florida, 33023",,
Florida,767,Annunciation Catholic Academy,,"Altamonte Springs, Florida, 32714",,
Florida,767,Annunciation Catholic Church,,"Altamonte Springs, Florida, 32714",,
Florida,767,Annunciation Catholic School,,"Middleburg, Florida, 32068",,
Florida,767,Annunciation Child Care Center,,"Altamonte Springs, Florida, 32714",,
Florida,767,Annunciation Church,,"West Park, Florida, 33023",,
Florida,767,Archdiocese of Miami,,"Miami Shores, Florida, 33138",,
Florida,767,Ascension Catholic Church,,"Melbourne, Florida, 32935",,
Florida,767,Ascension Parish,,"Boca Raton, Florida, 33487-1606",,
Florida,767,Assumption Catholic Church,,"Lauderdale By The Sea, Florida, 33062",,
Florida,767,Assumption Catholic Church,,"Jacksonville, Florida, 32207-3563",,
Florida,767,Assumption Catholic School,,"Jacksonville, Florida, 32207",,
Florida,767,Assumption of Blessed Virgin Mary Parish,,"Miami, Florida, 33126-4709",,
Florida,767,Assumption of the Blessed Mary Virgin,,"Dareva, Florida, United States",,
Florida,767,Ave Maria Quasi Parish,,"Ave Maria, Florida, 34142",,
Florida,767,Basilica of St. Michael the Archangel,,"Pensacola, Florida, 32501",,
Florida,767,Basilica of St. Paul,,"Daytona Beach, Florida, 32114",,
Florida,767,Benedictine Sisters of Florida,,"Saint Leo, Florida, 33574-2450",,
Florida,767,Bethany Center,,"Lutz, Florida, 33558",,
Florida,767,Birth of St. Mary Virgin,,"Szostka, Florida, 21-303",,
Florida,767,Bishop Moore High School,,"Orlando, Florida, 32804",,
Florida,767,Bishop Thomas J Grady Council 5618,,"Altamonte Springs, Florida, 32701-6847",,
Florida,767,Blaze Youth Ministry,,"Apopka, Florida, 32703",,
Florida,767,Blessed Juan Diego Mission,,"Nocatee, Florida, 34266",,
Florida,767,Blessed Sacrament,,"Cocoa, Florida, 32927",,
Florida,767,Blessed Sacrament Catholic Church,,"Tampa, Florida, 33619",,
Florida,767,Blessed Sacrament Catholic Church,,"Clermont, Florida, 34711",,
Florida,767,Blessed Sacrament Catholic Church,,"Fort Lauderdale, Florida, 33334",,
Florida,767,Blessed Sacrament Parish,,"Tallahassee, Florida, 32308",,
Florida,767,Blessed Sacrament Roman Catholic Church,,"Seminole, Florida, 33772",,
Florida,767,Blessed Trinity Catholic Church,,"Miami Springs, Florida, 33166",,
Florida,767,Blessed Trinity Catholic Church,,"Saint Petersburg, Florida, 33712",,
Florida,767,Blessed Trinity Catholic Church,,"Jacksonville, Florida, 32246",,
Florida,767,Blessed Trinity Catholic Church,,"Orlando, Florida, 32812-7320",,
Florida,767,Blessed Trinity Catholic Church,,"Ocala, Florida, 34471",,
Florida,767,Blessed Trinity Parish,,"Miami, Florida, 33166",,
Florida,767,Blessed Trinity Parish,,"Bonifay, Florida, 32425",,
Florida,767,Boy Scout Troop 45 (Christ the King Catholic Church),,"Tampa, Florida, 33609",,
Florida,767,Boy Scouts Catholic Committee,,"Tampa, Florida, 33679-2636",,
Florida,767,BT Youth Ministry,,"Saint Petersburg, Florida, 33712",,
Florida,767,Byzantine Catholic Chapel,,"Greenacres, Florida, 33463",,
Florida,767,Campaign Processing Office,,"St. Petersburg, Florida, 33710",,
Florida,767,Cathedral of St Ignatius Loyola,,"Palm Beach Gardens, Florida, 33410",,
Florida,767,Cathedral of St Mary,,"Miami, Florida, 33150",,
Florida,767,Cathedral of St. Jude the Apostle,,"St. Petersburg, Florida, 33710",,
Florida,767,Cathedral of The Sacred Heart,,"Pensacola, Florida, 32503",,
Florida,767,Catholic Campus Ministry,,"Melbourne, Florida, 32901",,
Florida,767,Catholic Campus Ministry at UCF,,"Oviedo, Florida, 32765",,
Florida,767,Catholic Center,,"Jacksonville, Florida, 32241-4000",,
Florida,767,Catholic Charities (Diocese of St. Petersburg),,"Saint Petersburg, Florida, 33705",,
Florida,767,Catholic Church of the Holy Spirit,,"Pensacola, Florida, 32507",,
Florida,767,Catholic Schools and Centers - FCC,,"Saint Petersburg, Florida, 33710",,
Florida,767,Catholic Schools and Centers Administration (Diocese of St. Petersburg),,"Saint Petersburg, Florida, 33710",,
Florida,767,"Catholic Servant Ministries, Inc",,"Palm Beach Gardens, Florida, 33418",,
Florida,767,Catholic Student Center at USF,,"Tampa, Florida, 33617",,
Florida,767,Catholic Volunteers,,"Goldenrod, Florida, 32733",,
Florida,767,CCDOSP Employees,,"Saint Petersburg, Florida, 33705",,
Florida,767,Chaminade-Madonna College Preparatory,,"Hollywood, Florida, 33021",,
Florida,767,Christ Our Redeemer Parish,,"Niceville, Florida, 32578",,
Florida,767,Christ The King Catholic Church,,"Sarasota, Florida, 34231",,
Florida,767,Christ The King Catholic Church,,"Tampa, Florida, 33609-4437",,
Florida,767,Christ The King Catholic Mission,,"Freeport, Florida, 32439",,
Florida,767,Christ The King Parish,,"Perrine, Florida, 33157",,
Florida,767,Christ the King Parish,,"Jacksonville, Florida, 32211-7306",,
Florida,767,Church of Resurrection of Our Lord,,"Fort Myers, Florida, 33919",,
Florida,767,"Church of St. Mary, Our Lady of Sorrows",,"Masaryktown, Florida, 34604",,
Florida,767,Church of St. Patrick,,"Sarasota, Florida, 34241",,
Florida,767,Church of the Ascension,,"Fort Myers Beach, Florida, 33931",,
Florida,767,Church of the Epiphany,,"Port Orange, Florida, 32127",,
Florida,767,Church of the Incarnation,,"Sarasota, Florida, 34239",,
Florida,767,Church Of The Incarnation Men's Club Organization,,"Sarasota, Florida, 34239",,
Florida,767,Church of the Little Flower,,"Coral Gables, Florida, 33134",,
Florida,767,Church of the Resurrection,,"Lakeland, Florida, 33813",,
Florida,767,Clearwater Central Catholic High School,,"Clearwater, Florida, 33760",,
Florida,767,Co-Cathedral of St. Thomas More,,"Tallahassee, Florida, 32304",,
Florida,767,Comunidad Catolica Hispana,,"Lake Placid, Florida, 33852",,
Florida,767,Construction Office (Diocese of St. Petersburg),,"Saint Petersburg, Florida, 33710",,
Florida,767,Corpus Christi Catholic Church,,"Celebration, Florida, 34747",,
Florida,767,Corpus Christi Catholic Church,,"Temple Terrace, Florida, 33617",,
Florida,767,Corpus Christi Church,,"Miami, Florida, 33127-3302",,
Florida,767,Corpus Christi Parish,,"Destin, Florida, 32540",,
Florida,767,Corpus Christi Parish,,"Saint Augustine, Florida, 32086",,
Florida,767,Crucifixion Parish,,"Jacksonville, Florida, 32209-1805",,
Florida,767,Daughters of Charity of St. Vincent de Paul,,"Miami, Florida, 33126",,
Florida,767,Deacon Frank Falotico,,"Palm Bay, Florida, 32905-4035",,
Florida,767,Diocese of Orlando,,"Orlando, Florida, 32802-1800",,
Florida,767,Diocese of Palm Beach,,"Palm Beach Gardens, Florida, 33410",,
Florida,767,Diocese of Palm Beach Catholic Committee on Scouting,,"Palm Beach Gardens, Florida, 33410",,
Florida,767,Diocese of Pensacola-Tallahassee,,"Pensacola, Florida, 32502",,
Florida,767,Diocese of St. Augustine,,"Jacksonville, Florida, 32258-2056",,
Florida,767,Diocese of St. Petersburg,,"Saint Petersburg, Florida, 33710",,
Florida,767,Diocese of Venice,,"Venice, Florida, 34284-2006",,
Florida,767,DISCALCED CARMELITE FRIARS OF MIAMI,,"MIAMI, Florida, 33054",,
Florida,767,Divine Mercy Catholic Community,,"Merritt Island, Florida, 32953",,
Florida,767,Domestic Violence Resource Ministry,,"Orlando, Florida, 32819",,
Florida,767,Eastern Deanery CCW,,"Ormond Beach, Florida, 32174",,
Florida,767,Eastern Deanery Council of Catholic Women,,"Edgewater, Florida, 32132",,
Florida,767,Eckerd College Campus Ministry,,"Saint Petersburg, Florida, 33710-7112",,
Florida,767,Ecumenical and Interreligious Affairs,,"St. Petersburg, Florida, 33710",,
Florida,767,Emmanuel Catholic Church,,"Delray Beach, Florida, 33484-9130",,
Florida,767,Epiphany Cathedral,,"Venice, Florida, 34285",,
Florida,767,Epiphany of Our Lord Catholic Church,,"Tampa, Florida, 33610-1366",,
Florida,767,Epiphany of Our Lord Ukrainian Catholic Church,,"Saint Petersburg, Florida, 33702",,
Florida,767,Epiphany Parish,,"Miami, Florida, 33143",,
Florida,767,Epiphany Parish,,"Lake City, Florida, 32025",,
Florida,767,Espiritu Santo Catholic Church,,"Safety Harbor, Florida, 34695-2067",,
Florida,767,Family Camper Ministry,,"Palm Bay, Florida, 32905-4035",,
Florida,767,Father John Washington Post 1944,,"Ormond Beach, Florida, 32174",,
Florida,767,Father Stephen A. Baumann,,"Altamonte Springs, Florida, 32714-7420",,
Florida,767,Flagler College Newman Center,,"Saint Augustine, Florida, 32084",,
Florida,767,Florida Council of Catholic Women/Province of Miami,,"Winter Springs, Florida, 32708",,
Florida,767,Florida State Council Public Relations for Palm Beach Diocese,,"Jensen Beach, Florida, 34957",,
Florida,767,Forward in Faith Campaign,,"Saint Petersburg, Florida, 33710",,
Florida,767,Forward in Faith Campaign - Spanish,,"St. Petersburg, Florida, 33710",,
Florida,767,Fourth Degree Knights Of Columbus Assembly 1721,,"Spring Hill, Florida, 34608-2044",,
Florida,767,Gary Fukes,,"Seffner, Florida, 33584",,
Florida,767,Gesu Parish,,"Miami, Florida, 33132",,
Florida,767,Girl Scouts Catholic Committee (Diocese of St. Petersburg),,"Saint Petersburg, Florida, 33712",,
Florida,767,Good Counsel Camp,,"Floral City, Florida, 34436",,
Florida,767,Good Shepherd Catholic Church,,"Tallahassee, Florida, 32309",,
Florida,767,Good Shepherd Catholic Church,,"Miami, Florida, 33183-2149",,
Florida,767,Good Shepherd Catholic Parish,,"Orlando, Florida, 32807-3492",,
