State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Georgia,217,Adult Faith Formation - St. Lawrence Catholic Church,,"Lawrenceville, Georgia, 30045",,
Georgia,217,All Saints Catholic Church,,"Dunwoody, Georgia, 30338",,
Georgia,217,Archdiocese of Atlanta,,"Smyrna, Georgia, 30080-8862",,
Georgia,217,Bishop Gross Assembly #176,,"Columbus, Georgia, 31907",,
Georgia,217,Blessed Mary Virgin the Painful,,"Gedziuneliai, Georgia, 30256",,
Georgia,217,Cathedral of Christ The King,,"Atlanta, Georgia, 30305",,
Georgia,217,Cathedral of St John The Baptist,,"Savannah, Georgia, 31401-5000",,
Georgia,217,Catholic Church of St. Gabriel,,"Fayetteville, Georgia, 30215",,
Georgia,217,Catholic Shrine of The Immaculate Conception Church,,"Atlanta, Georgia, 30303",,
Georgia,217,Christ Our Hope Catholic Church,,"Lithonia, Georgia, 30058-5462",,
Georgia,217,Christ Our King and Savior,,"Greensboro, Georgia, 30642",,
Georgia,217,Christ The King,,"Pine Mountain, Georgia, 31822",,
Georgia,217,Christ the Redeemer Catholic Church,,"Dawsonville, Georgia, 30534",,
Georgia,217,Church of the Good Shepherd,,"Cumming, Georgia, 30041-3502",,
Georgia,217,Church of the Incarnation,,"Donalsonville, Georgia, 39845",,
Georgia,217,Church of the Most Holy Trinity,,"Augusta, Georgia, 30901-1517",,
Georgia,217,Corpus Christi Catholic Church,,"Stone Mountain, Georgia, 30083",,
Georgia,217,Daily Devotion,,"Rome, Georgia, 30161",,
Georgia,217,Diocese of Savannah,,"Savannah, Georgia, 31401-5196",,
Georgia,217,Donovan Catholic High School,,"Athens, Georgia, 30601",,
Georgia,217,Epiphany Byzantine Church,,"Roswell, Georgia, 30076",,
Georgia,217,Georgia State Council Columbiettes,,"Marietta, Georgia, 30066",,
Georgia,217,Good Samaritan Catholic Church,,"Ellijay, Georgia, 30540",,
Georgia,217,Good Shepherd,,"Fort Gordon, Georgia, 30905",,
Georgia,217,Good Shepherd Parish,,"Hazlehurst, Georgia, 31539-1468",,
Georgia,217,Handmaids of the Sacred Heart of Jesus,,"Atlanta, Georgia, 30345",,
Georgia,217,Holy Cross Catholic Church,,"Atlanta, Georgia, 30341",,
Georgia,217,Holy Cross Church,,"Pembroke, Georgia, 31321",,
Georgia,217,Holy Family,,"Willacoochee, Georgia, 31650",,
Georgia,217,Holy Family Catholic Church,,"Marietta, Georgia, 30068",,
Georgia,217,Holy Family Church,,"Metter, Georgia, 30439-0231",,
Georgia,217,Holy Family Parish,,"Columbus, Georgia, 31901",,
Georgia,217,Holy Family Parish,,"Blakely, Georgia, 31723-0425",,
Georgia,217,Holy Redeemer Parish,,"McRae, Georgia, 31055",,
Georgia,217,Holy Spirit Catholic Church,,"Macon, Georgia, 31206",,
Georgia,217,Holy Spirit Catholic Church,,"Atlanta, Georgia, 30327",,
Georgia,217,Holy Trinity,,"Linkmenys, Georgia, 30024",,
Georgia,217,Holy Trinity Adult Faith Formation,,"Peachtree City, Georgia, 30269",,
Georgia,217,Holy Trinity Catholic Church,,"Peachtree City, Georgia, 30269",,
Georgia,217,Holy Trinity Church,,"Swainsboro, Georgia, 30401-5502",,
Georgia,217,Holy Vietnamese Martyrs Catholic Church,,"Norcross, Georgia, 30093",,
Georgia,217,Immaculate Conception Parish,,"Moultrie, Georgia, 31768-5969",,
Georgia,217,Immaculate Conception Parish,,"Dublin, Georgia, 31021-6152",,
Georgia,217,Immaculate Heart of Mary Catholic Church,,"Atlanta, Georgia, 30329",,
Georgia,217,Knights of Columbus 13052 -(St. Lawrence Catholic Church),,"Lawrenceville, Georgia, 30045",,
Georgia,217,Knights of Columbus 9923,,"Kennesaw, Georgia, 30144",,
Georgia,217,Knights of Columbus Bishop Gross Council 1019,,"Columbus, Georgia, 31907",,
Georgia,217,Knights of Columbus Council 1019,,"Columbus, Georgia, 31904",,
Georgia,217,kofc13161,,"Cumming, Georgia, 30041",,
Georgia,217,Korean Martyrs,,"Doraville, Georgia, 30340-1305",,
Georgia,217,Mary Our Queen Catholic Church,,"Peachtree Corners, Georgia, 30092",,
Georgia,217,Military Chapel,,"Fort Stewart, Georgia, 31314",,
Georgia,217,Monastery of the Holy Spirit,,"SW Conyers, Georgia, 30094-4044",,
Georgia,217,Most Blessed Sacrament Church,,"Atlanta, Georgia, 30331",,
Georgia,217,Most Blessed Sacrament Parish,,"Savannah, Georgia, 31405",,
Georgia,217,Most Pure Heart of Mary Parish,,"Savannah, Georgia, 31403",,
Georgia,217,Mother of God Parish,,"Conyers, Georgia, 30013",,
Georgia,217,Nativity of Our Lady Church,,"Darien, Georgia, 31305",,
Georgia,217,Our Divine Savior Parish,,"Tifton, Georgia, 31794-4028",,
Georgia,217,Our Lady of Guadalupe,,"Glennville, Georgia, 30427",,
Georgia,217,Our Lady of Lourdes,,"Port Wentworth, Georgia, 31407",,
Georgia,217,Our Lady of Lourdes Parish,,"Columbus, Georgia, 31903-2735",,
Georgia,217,Our Lady of Lourdes Parish,,"Atlanta, Georgia, 30312",,
Georgia,217,Our Lady of Perpetual Help Catholic Church,,"Carrollton, Georgia, 30117-6827",,
Georgia,217,Our Lady of Sallette Parish,,"Canton, Georgia, 30114-5178",,
Georgia,217,Our Lady of the Americas Catholic Mission,,"Lilburn, Georgia, 30047",,
Georgia,217,Our Lady of the Assumption,,"Sylvania, Georgia, 30467-1840",,
Georgia,217,Our Lady of the Assumption Church,,"Atlanta, Georgia, 30319",,
Georgia,217,Our Lady of the Mount,,"Lookout Mountain, Georgia, 30750",,
Georgia,217,Our Lady of The Mount Parish,,"Lookout Mountain, Georgia, 30750",,
Georgia,217,Our Lady of the Mountains,,"Jasper, Georgia, 30143",,
Georgia,217,Our Lady of Vietnam Parish,,"Riverdale, Georgia, 30274",,
Georgia,217,Our Lady Star of the Sea,,"Saint Marys, Georgia, 31558-0221",,
Georgia,217,Pax Christi - St. Jude,,"Atlanta, Georgia, 30328",,
Georgia,217,Prince of Peace Catholic Church,,"Flowery Branch, Georgia, 30542",,
Georgia,217,Queen of Angels Parish,,"Thomson, Georgia, 30824",,
Georgia,217,Queen of Peace Parish,,"Lakeland, Georgia, 31635-0087",,
Georgia,217,Resurrection of Our Lord Parish,,"Savannah, Georgia, 31415-1828",,
Georgia,217,Rite of Christian Initiation of Adults - St. Lawrence Catholic Church,,"Lawrenceville, Georgia, 30045",,
Georgia,217,Sacred Heart Catholic Church,,"Griffin, Georgia, 30224",,
Georgia,217,Sacred Heart Catholic Church of Vidalia,,"Vidalia, Georgia, 30474-1086",,
Georgia,217,Sacred Heart Church,,"Waynesboro, Georgia, 30830-4548",,
Georgia,217,Sacred Heart of Jesus Parish,,"Savannah, Georgia, 31401",,
Georgia,217,Sacred Heart of Jesus Parish,,"Milledgeville, Georgia, 31061",,
Georgia,217,Sacred Heart of Jesus Parish,,"Hartwell, Georgia, 30643",,
Georgia,217,Sacred Heart Parish,,"Warner Robins, Georgia, 31088-4603",,
