State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Hawaii,78,Annunciation Church (Waimea) & Ascension Mission (Puako),,"Kamuela (Waimea), Hawaii, 96743",,
Hawaii,78,Annunciation Parish in Waimea,,"Kamuela (Waimea), Hawaii, 96743",,
Hawaii,78,Blessed Sacrament Parish,,"Honolulu, Hawaii, 96813",,
Hawaii,78,Cathedral of Our Lady of Peace,,"Honolulu, Hawaii, 96813-2857",,
Hawaii,78,Christ the King Parish,,"Kahului, Hawaii, 96732",,
Hawaii,78,Co-Cathedral of St. Theresa,,"Honolulu, Hawaii, 96817",,
Hawaii,78,Diocese of Honolulu,,"Honolulu, Hawaii, 96813-2858",,
Hawaii,78,Holy Cross Parish,,"Kalaheo, Hawaii, 96741",,
Hawaii,78,Holy Family Catholic Church,,"Honolulu, Hawaii, 96818",,
Hawaii,78,Holy Ghost,,"Kula, Hawaii, 96790",,
Hawaii,78,Holy Rosary Parish,,"Paia, Hawaii, 96779-9605",,
Hawaii,78,Holy Rosary Parish,,"Pahala, Hawaii, 96777",,
Hawaii,78,Holy Trinity Parish,,"Honolulu, Hawaii, 96821",,
Hawaii,78,Immaculate Conception Parish,,"Lihue, Hawaii, 96766",,
Hawaii,78,Immaculate Conception Parish,,"Ewa, Hawaii, 96706",,
Hawaii,78,Immaculate Heart of Mary Parish,,"Papaikou, Hawaii, 96781",,
Hawaii,78,Maria Lanakila Parish,,"Lahaina, Hawaii, 96761-1511",,
Hawaii,78,Mary Gate of Heaven Parish,,"Hilo, Hawaii, 96720",,
Hawaii,78,Newman Center - Holy Spirit,,"Honolulu, Hawaii, 96822-2321",,
Hawaii,78,Our Lady Good Counsel Church,,"Pearl City, Hawaii, 96782",,
Hawaii,78,Our Lady of Fatima Catholic Homeschoolers of Hawaii Support Group,,"Honolulu, Hawaii, 96814",,
Hawaii,78,Our Lady of Lourdes Parish,,"Honokaa, Hawaii, 96727",,
Hawaii,78,Our Lady of Mount Carmel Parish,,"Kaneohe, Hawaii, 96744",,
Hawaii,78,Our Lady of Perpetual Help,,"Ewa Beach, Hawaii, 96706",,
Hawaii,78,Our Lady of Sorrows Parish,,"Wahiawa, Hawaii, 96786-2595",,
Hawaii,78,Our Lady of The Mount Parish,,"Honolulu, Hawaii, 96819",,
Hawaii,78,Our Lady Queen of Angels Parish,,"Kula, Hawaii, 96790-9464",,
Hawaii,78,Resurrection of The Lord Parish,,"Waipahu, Hawaii, 96797",,
Hawaii,78,Sacred Heart Parish,,"Honolulu, Hawaii, 96822",,
Hawaii,78,Sacred Heart Parish,,"Waianae, Hawaii, 96792",,
Hawaii,78,Sacred Heart Parish,,"Pahoa, Hawaii, 96778",,
Hawaii,78,Sacred Heart Parish,,"Naalehu, Hawaii, 96772",,
Hawaii,78,Sacred Heart Parish,,"Hawi, Hawaii, 96719",,
Hawaii,78,Sacred Hearts Academy,,"Honolulu, Hawaii, 96816",,
Hawaii,78,Sacred Hearts Mission Church,,"Lahaina, Hawaii, 96761",,
Hawaii,78,Sacred Hearts Parish,,"Lanai City, Hawaii, 96763",,
Hawaii,78,SS Peter & Paul Parish,,"Honolulu, Hawaii, 96814",,
Hawaii,78,St. Ann Parish,,"Wailuku, Hawaii, 96793-9216",,
Hawaii,78,St. Ann Parish,,"Kaneohe, Hawaii, 96744",,
Hawaii,78,St. Anthony of Padua,,"Wailuku, Hawaii, 96793",,
