State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Idaho,108,All Saints Catholic Parish,,"Lewiston, Idaho, 83501",,
Idaho,108,Assumption Parish,,"Ferdinand, Idaho, 83526",,
Idaho,108,Blessed Kateri Tekakwitha Chapel,,"Fort Hall, Idaho, 83203",,
Idaho,108,Blessed Sacrament,,"Montpelier, Idaho, 83220",,
Idaho,108,Blessed Sacrament Chapel,,"Aberdeen, Idaho, 83210",,
Idaho,108,Cathedral of St John The Evangelist,,"Boise, Idaho, 83702",,
Idaho,108,Catholic Daughters,,"Lewiston, Idaho, 83501",,
Idaho,108,Chapel in the Pines,,"Island Park, 83429",,
Idaho,108,Christ The King Parish,,"Idaho Falls, Idaho, 83404",,
Idaho,108,Corpus Christi Parish,,"Fruitland, Idaho, 83619",,
Idaho,108,"Council of Catholic Women Idaho Falls, Idaho",,"Idaho Falls, Idaho, 83402",,
Idaho,108,Diocese of Boise,,"Boise, Idaho, 83705-5925",,
Idaho,108,Good Shepherd Community,,"Driggs, Idaho, 83422",,
Idaho,108,Good Shepherd/St. Mary Parish,,"Soda Springs, Idaho, 83276-1530",,
Idaho,108,Holy Apostles Parish,,"Meridian, Idaho, 83642",,
Idaho,108,Holy Rosary,,"Cambridge, Idaho, 83610",,
Idaho,108,Holy Rosary Parish,,"Idaho Falls, Idaho, 83405",,
Idaho,108,Holy Trinity Parish,,"Nezperce, Idaho, 83543",,
Idaho,108,Idaho Council of Catholic Women,,"Boise, Idaho, 83709",,
Idaho,108,Immaculate Conception Parish,,"Buhl, Idaho, 83316",,
Idaho,108,Mary Immaculate Parish,,"Saint Anthony, Idaho, 83445-1408",,
Idaho,108,Our Lady of Good Counsel Parish,,"Mountain Home, Idaho, 83647",,
Idaho,108,Our Lady of Guadalupe Parish,,"Shelley, Idaho, 83687",,
Idaho,108,Our Lady of Guadalupe Parish,,"Twin Falls, Idaho, 83301",,
Idaho,108,Our Lady of Limerick Parish,,"Glenns Ferry, Idaho, 83623",,
Idaho,108,Our Lady of Lourdes,,"Lava Hot Springs, Idaho, 83246",,
Idaho,108,Our Lady of Perpetual Help,,"Plummer, Idaho, 83851",,
Idaho,108,Our Lady of Perpetual Help,,"Harrison, Idaho, 83833",,
Idaho,108,Our Lady of the Lake Parish,,"McCall, Idaho, 83638",,
Idaho,108,Our Lady of the Rosary Parish,,"Boise, Idaho, 83706-5358",,
