State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Illinois,700,All Saints,,"Raczkowo 37, Illinois, 62285",,
Illinois,700,All Saints - St Anthony Parish,,"Chicago, Illinois, 60616",,
Illinois,700,All Saints Parish,,"White Hall, Illinois, 62092",,
Illinois,700,Althoff Catholic High School,,"Belleville, Illinois, 62226",,
Illinois,700,Althoff Catholic High School,,"belleville, Illinois, 62226",,
Illinois,700,Annunciata Parish,,"Chicago, Illinois, 60617",,
Illinois,700,Annunciation of The Blessed Virgin Mary Parish,,"Streator, Illinois, 61364",,
Illinois,700,Annunciation of The Blessed Virgin Mary Parish,,"Aurora, Illinois, 60504",,
Illinois,700,Annunciation of the Mother of God Byzantine Catholic Parish,,"Homer Glen, Illinois, 60491-9212",,
Illinois,700,Annunciation Parish,,"Lockport, Illinois, 60441",,
Illinois,700,Annunciation Parish,,"Shumway, Illinois, 62461",,
Illinois,700,Archdiocese of Chicago,,"Chicago, Illinois, 60610",,
Illinois,700,Ascension - St. Susanna,,"Harvey, Illinois, 60426-3194",,
Illinois,700,Ascension of Our Lord Parish,,"Oakbrook Terrace, Illinois, 60181",,
Illinois,700,Ascension Parish,,"Mount Olive, Illinois, 62069-0259",,
Illinois,700,Ascension Parish,,"Oak Park, Illinois, 60304",,
Illinois,700,Assumption B.V.M. Parish,,"Chicago, Illinois, 60608",,
Illinois,700,Assumption Blessed Virgin Mary Parish,,"Assumption, Illinois, 62510-1241",,
Illinois,700,Assumption of the Blessed Virgin Mary Parish,,"Ashkum, Illinois, 60911",,
Illinois,700,Assumption of The Blessed Virgin Mary Parish,,"Chicago, Illinois, 60610",,
Illinois,700,Assumption Parish,,"Coal City, Illinois, 60416",,
Illinois,700,Augustinians of the Midwest (Order of St. Augustine),,"Chicago, Illinois, 60615-5664",,
Illinois,700,Basilica of Our Lady of Sorrows,,"Chicago, Illinois, 60612",,
Illinois,700,Benedictine Monks of St. Procopius Abbey,,"Lisle, Illinois, 60532",,
Illinois,700,Benedictine University,,"Lisle, Illinois, 60532-0900",,
Illinois,700,Bishop Lane Retreat Center,,"Rockford, Illinois, 61102",,
Illinois,700,Blessed Alojzije Cardinal Stepinac Mission,,"Chicago, Illinois, 60660",,
Illinois,700,Blessed Anton Martin Slomsek Slovenian Catholic Mission,,"Lemont, Illinois, 60439",,
Illinois,700,Blessed Jurgis Matulaitis Lithuanian Catholic Mission,,"Lemont, Illinois, 60439",,
Illinois,700,Blessed Sacrament,,"Quincy, Illinois, 62301",,
Illinois,700,Blessed Sacrament Catholic Church,,"Belleville, Illinois, 62223-1778",,
Illinois,700,Blessed Sacrament Parish,,"Springfield, Illinois, 62704",,
Illinois,700,Blessed Sacrament Parish,,"Morton, Illinois, 61550",,
Illinois,700,Blessed Sacrament Parish,,"Chicago, Illinois, 60609",,
Illinois,700,Blessed Sacrament Parish,,"North Aurora, Illinois, 60542",,
Illinois,700,Blessed Trinity Parish,,"Brussels, Illinois, 62013",,
Illinois,700,Bradley University Newman Foundation,,"Peoria, Illinois, 61606-1728",,
Illinois,700,Brother Rice High School,,"Chicago, Illinois, 60655",,
Illinois,700,Calvary Hill Shrine,,"Stone Park, Illinois, 60165",,
Illinois,700,Calvert House,,"Chicago, Illinois, 60637-1507",,
Illinois,700,Camp Ondessonk,,"Ozark, Illinois, 62972",,
Illinois,700,Capuchins in Arabia,,"Chicago, Illinois, 60608",,
Illinois,700,Cathedral of St Peter,,"Belleville, Illinois, 62220-2090",,
Illinois,700,Cathedral of St Peter,,"Rockford, Illinois, 61103",,
Illinois,700,Cathedral of St. Mary of the Immaculate Conception,,"Peoria, Illinois, 61603",,
Illinois,700,Cathedral of St. Raymond,,"Joliet, Illinois, 60435",,
Illinois,700,Cathedral of the Immaculate Conception,,"Springfield, Illinois, 62703",,
Illinois,700,Catholic Church of St. Patrick,,"Rochelle, Illinois, 61068",,
Illinois,700,Catholic Diocese of Belleville Diocesan Tribunal,,"Belleville, Illinois, 62221",,
Illinois,700,Catholic Extension,,"Chicago, Illinois, 60606",,
Illinois,700,Children of Peace School,,"Chicago, Illinois, 60612",,
Illinois,700,Christ the King Catholic Church,,"Greenup, Illinois, 62428",,
Illinois,700,Christ The King Parish,,"Springfield, Illinois, 62704",,
Illinois,700,Christ The King Parish,,"Chicago, Illinois, 60643",,
Illinois,700,Christ The King Parish,,"Lombard, Illinois, 60148-4501",,
Illinois,700,Christ The King Parish,,"Wonder Lake, Illinois, 60097",,
Illinois,700,Christ the King Parish,,"Moline, Illinois, 61265-5828",,
Illinois,700,Christ The Servant Parish,,"Woodridge, Illinois, 60517",,
Illinois,700,Christ The Teacher University Parish,,"DeKalb, Illinois, 60115",,
Illinois,700,Church of Holy Apostles,,"McHenry, Illinois, 60050",,
Illinois,700,Church of Our Saviour,,"Jacksonville, Illinois, 62650",,
Illinois,700,Church of St. Jude,,"Joliet, Illinois, 60436",,
Illinois,700,Church of St. Mary,,"Pontiac, Illinois, 61764-0374",,
Illinois,700,Church of the Holy Spirit,,"Roscoe, Illinois, 61073",,
Illinois,700,Church of the Holy Spirit,,"Carterville, Illinois, 62918",,
Illinois,700,Church of The Holy Spirit Parish,,"Schaumburg, Illinois, 60194",,
Illinois,700,Church of the Little Flower,,"Springfield, Illinois, 62703",,
Illinois,700,Corpus Christi Parish,,"Shiloh, Illinois, 62269-3619",,
Illinois,700,Corpus Christi Parish,,"Galesburg, Illinois, 61401-4954",,
Illinois,700,Corpus Christi Parish,,"Chicago, Illinois, 60615-2306",,
Illinois,700,Corpus Christi Parish,,"Carol Stream, Illinois, 60188",,
Illinois,700,Daughters of Isabella O'Reilly Circle 218,,"Edwardsville, Illinois, 62025",,
Illinois,700,Diocesan Council of Catholic Women,,"Springfield, Illinois, 62703",,
Illinois,700,Diocese of Belleville,,"Belleville, Illinois, 62220",,
Illinois,700,Diocese of Joliet,,"Joliet, Illinois, 60435",,
Illinois,700,Diocese of Peoria,,"Peoria, Illinois, 61603",,
Illinois,700,Diocese of Rockford,,"Rockford, Illinois, 61108",,
Illinois,700,Diocese of Springfield,,"Springfield, Illinois, 62708-3187",,
Illinois,700,Divine Infant Parish,,"Westchester, Illinois, 60154",,
Illinois,700,Divine Providence Parish,,"Westchester, Illinois, 60154",,
Illinois,700,Divine Savior Parish,,"Norridge, Illinois, 60706",,
Illinois,700,Divine Savior Parish,,"Downers Grove, Illinois, 60516",,
Illinois,700,East-South DuPage Deanery CCW,,"Villa Park, Illinois, 60181",,
Illinois,700,Eparchy of St. Nicholas,,"Chicago, Illinois, 60622",,
Illinois,700,Epiphany Catholic Church,,"Normal, Illinois, 61761-3129",,
Illinois,700,Epiphany Parish,,"Chicago, Illinois, 60623-3609",,
Illinois,700,Five Holy Martyrs Parish,,"Chicago, Illinois, 60632",,
Illinois,700,Forty Martyrs Parish,,"Tuscola, Illinois, 61953",,
Illinois,700,Good Shepherd - Aviva Prayer Group,,"Chicago, Illinois, 60623",,
Illinois,700,Good Shepherd Parish,,"Chicago, Illinois, 60623",,
Illinois,700,Holy Angels Catholic Parish,,"Wood River, Illinois, 62095",,
Illinois,700,Holy Angels Parish,,"Chicago, Illinois, 60653-2309",,
Illinois,700,Holy Angels Parish,,"Aurora, Illinois, 60506",,
Illinois,700,Holy Childhood of Jesus Parish,,"Mascoutah, Illinois, 62258",,
Illinois,700,Holy Cross,,"Joliet, Illinois, 60435",,
Illinois,700,Holy Cross - Immaculate Heart of Mary,,"Chicago, Illinois, 60609",,
Illinois,700,Holy Cross Church,,"Champaign, Illinois, 61820-4607",,
Illinois,700,Holy Cross Church,,"Mendota, Illinois, 61342-1550",,
