State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Indiana,509,All Saints Church,,"Logansport, Indiana, 46947-3427",,
Indiana,509,All Saints Parish,,"Yorkville, Indiana, 47022",,
Indiana,509,All Saints Parish,,"St. Leon, Indiana, 47060",,
Indiana,509,All Saints Parish,,"Dover, Indiana, 47022",,
Indiana,509,All Saints Parish,,"Cannelburg, Indiana, 47519",,
Indiana,509,All Saints Parish,,"New Alsace, Indiana, 47022",,
Indiana,509,All Saints Parish,,"San Pierre, Indiana, 46374",,
Indiana,509,All Saints Parish,,"Hammond, Indiana, 46320",,
Indiana,509,American Martyrs Parish,,"Scottsburg, Indiana, 47170-2009",,
Indiana,509,Ancilla Domini College,,"Donaldson, Indiana, 46513",,
Indiana,509,Annunciation of the Blessed Virgin Mary Parish,,"Brazil, Indiana, 47834",,
Indiana,509,Aquinas School,,"Merrillville, Indiana, 46410",,
Indiana,509,Archdiocese of Indianapolis,,"Indianapolis, Indiana, 46206-1410",,
Indiana,509,Assumption of the Blessed Virgin Mary Catholic Parish,,"Hobart, Indiana, 46342",,
Indiana,509,Basilica of St Francis Xavier,,"Vincennes, Indiana, 47591-1133",,
Indiana,509,Basilica of the Sacred Heart,,"Notre Dame, Indiana, 46556",,
Indiana,509,Blessed Sacrament Parish,,"Oakland City, Indiana, 47660",,
Indiana,509,Blessed Sacrament Parish,,"Albion, Indiana, 46701-0102",,
Indiana,509,Brebeuf Jesuit,,"Indianapolis, Indiana, 46268-1925",,
Indiana,509,Cathedral of Holy Angels,,"Gary, Indiana, 46402",,
Indiana,509,Cathedral of St Benedict,,"Evansville, Indiana, 47714-1598",,
Indiana,509,Cathedral of St Matthew,,"South Bend, Indiana, 46613",,
Indiana,509,Cathedral of the Immaculate Conception,,"Fort Wayne, Indiana, 46802",,
Indiana,509,Christ the King Catholic Church,,"South Bend, Indiana, 46637-3894",,
Indiana,509,Christ The King Church,,"Evansville, Indiana, 47714",,
Indiana,509,Christ The King Parish,,"Indianapolis, Indiana, 46220",,
Indiana,509,Church of the Blessed Sacrament,,"West Lafayette, Indiana, 47906-1998",,
Indiana,509,Church of the Immaculate Conception,,"Saint Mary Of The Woods, Indiana, 47876",,
Indiana,509,Cluster Churches of Gary,,"Gary, Indiana, 46402",,
Indiana,509,Corpus Christi - Splash,,"South Bend, Indiana, 46628-3430",,
Indiana,509,Corpus Christi Parish,,"Evansville, Indiana, 47712-3298",,
Indiana,509,Corpus Christi Parish,,"South Bend, Indiana, 46628",,
Indiana,509,Corpus Christi School,,"South Bend, Indiana, 46628",,
Indiana,509,Czech Catholic Municipality,,"Frankfurt, Indiana, 60386",,
Indiana,509,Diocese of Evansville,,"Evansville, Indiana, 47711-0169",,
Indiana,509,Diocese of Fort Wayne - South Bend,,"Fort Wayne, Indiana, 46801",,
Indiana,509,Diocese of Gary,,"Merrillville, Indiana, 46410",,
Indiana,509,Diocese of Lafayette,,"Lafayette, Indiana, 47902",,
Indiana,509,Evangelization Commission,,"Indianapolis, Indiana, 46202-2367",,
Indiana,509,Fatima Retreat House,,"Indianapolis, Indiana, 46226",,
Indiana,509,Good Shepherd Catholic Church,,"Evansville, Indiana, 47715-1849",,
Indiana,509,Good Shepherd Catholic Church,,"Indianapolis, Indiana, 46203",,
Indiana,509,Holy Angels Catholic Church,,"Indianapolis, Indiana, 46208-5099",,
Indiana,509,Holy Angels Parish,,"New Harmony, Indiana, 47631",,
Indiana,509,Holy Cross,,"Fort Branch, Indiana, 47648-1497",,
Indiana,509,Holy Cross,,"South Bend, Indiana, 46628",,
Indiana,509,Holy Cross Chapel,,"Indianapolis, Indiana, 46202",,
Indiana,509,Holy Cross Parish,,"Saint Croix, Indiana, 47576",,
Indiana,509,Holy Cross Parish,,"Hamlet, Indiana, 46532",,
Indiana,509,Holy Family Catholic Church,,"Richmond, Indiana, 47374",,
Indiana,509,Holy Family Church,,"South Bend, Indiana, 46619-1517",,
Indiana,509,Holy Family Parish,,"Jasper, Indiana, 47546-3797",,
Indiana,509,Holy Family Parish,,"New Albany, Indiana, 47150",,
Indiana,509,Holy Family Parish,,"Oldenburg, Indiana, 47036",,
Indiana,509,Holy Family Parish,,"Gas City, Indiana, 46933-1431",,
Indiana,509,Holy Family School,,"South Bend, Indiana, 46619",,
Indiana,509,Holy Guardian Angels Parish,,"Cedar Grove, Indiana, 47016",,
Indiana,509,Holy Name - Cedar Lake,,"Cedar Lake, Indiana, 46303",,
Indiana,509,Holy Name Catholic Church,,"Beech Grove, Indiana, 46107-1531",,
Indiana,509,Holy Name Parish,,"Bloomfield, Indiana, 47424",,
Indiana,509,Holy Redeemer Parish,,"Evansville, Indiana, 47710-3956",,
Indiana,509,Holy Rosary,,"Seelyville, Indiana, 47878",,
Indiana,509,Holy Rosary,,"Gary, Indiana, 46406",,
Indiana,509,Holy Rosary Parish,,"Evansville, Indiana, 47715-5617",,
Indiana,509,Holy Rosary Parish,,"Indianapolis, Indiana, 46203",,
Indiana,509,Holy Spirit Catholic Church,,"Crown Point, Indiana, 46307-9182",,
Indiana,509,Holy Spirit Church,,"Evansville, Indiana, 47714-3535",,
Indiana,509,Holy Spirit Parish,,"Indianapolis, Indiana, 46219",,
Indiana,509,Holy Spirit Parish at Geist,,"Fishers, Indiana, 46037",,
Indiana,509,Holy Trinity Catholic Church,,"Edinburgh, Indiana, 46124",,
Indiana,509,Holy Trinity Catholic Church,,"Indianapolis, Indiana, 46222",,
Indiana,509,Holy Trinity Hungarian Parish,,"East Chicago, Indiana, 46312",,
Indiana,509,Holy Trinity Oratory,,"Evansville, Indiana, 47708",,
Indiana,509,Holy Trinity Parish,,"Bryant, Indiana, 47326-9636",,
Indiana,509,Holy Trinity Parish,,"East Chicago, Indiana, 46312",,
Indiana,509,Immaculate Conception,,"Greensburg, Indiana, 47261",,
Indiana,509,Immaculate Conception - St Mary Parish,,"Rushville, Indiana, 46173",,
Indiana,509,Immaculate Conception Catholic Church,,"Auburn, Indiana, 46706",,
Indiana,509,Immaculate Conception Parish,,"Portland, Indiana, 47371",,
Indiana,509,Immaculate Conception Parish,,"Ege, Indiana, 46763",,
Indiana,509,Immaculate Conception Parish,,"Kendallville, Indiana, 46755",,
Indiana,509,Immaculate Conception Parish,,"Whiting, Indiana, 46394",,
Indiana,509,Immaculate Heart of Mary Parish,,"Indianapolis, Indiana, 46220",,
Indiana,509,Indianapolis International Airport,,"Indianapolis, Indiana, 46241",,
Indiana,509,Ireland Knights of Columbus,,"Ireland, Indiana, 47545",,
Indiana,509,Jasper Knights of Columbus,,"Jasper, Indiana, 47546",,
Indiana,509,Jesus Author of Life Secular Carmelite Order (OCDS),,"Terre Haute, Indiana, 47802",,
Indiana,509,K of C Saint Joseph Council 5290,,"Indianapolis, Indiana, 46235",,
Indiana,509,Knights of Columbus #1347,,"Hobart, Indiana, 46342",,
Indiana,509,Knights of Columbus #6955,,"Monticello, Indiana, 47960",,
Indiana,509,Knights of Columbus 10811,,"Merrillville, Indiana, 46410",,
Indiana,509,Knights of Columbus Assembly 258,,"New Castle, Indiana, 47362",,
Indiana,509,Knights of Columbus Assembly 2693,,"Shelbyville, Indiana, 46176-2168",,
Indiana,509,Knights of Columbus Council #11043,,"Fort Wayne, Indiana, 46808",,
Indiana,509,Knights of Columbus Council #7473,,"Crown Point, Indiana, 46307",,
Indiana,509,Knights of Columbus Council 12177,,"Schererville, Indiana, 46375",,
Indiana,509,Knights of Columbus Council 15102,,"Edinburgh, Indiana, 46124",,
Indiana,509,Knights of Columbus Council 3283,,"Lake Station, Indiana, 46405",,
Indiana,509,Knights of Columbus Valparaiso Council 738,,"Valparaiso, Indiana, 46384",,
Indiana,509,Leon Lehmkuhler,,"Siberia, Indiana, 47515",,
Indiana,509,Little Flower Catholic Church,,"South Bend, Indiana, 46635-1699",,
Indiana,509,Lumen Christi Catholic School,,"Indianapolis, Indiana, 46203",,
Indiana,509,Mary Help of Christians - St. Francis of Assisi,,"Dale, Indiana, 47523",,
Indiana,509,Mary Queen of Peace Parish,,"Danville, Indiana, 46122",,
Indiana,509,Most Precious Blood,,"New Middletown, Indiana, 47160",,
Indiana,509,Most Precious Blood Church,,"Fort Wayne, Indiana, 46808-2733",,
Indiana,509,Most Sorrowful Mother of God Parish,,"Vevay, Indiana, 47043",,
Indiana,509,Msgr. Ryder Council #4047,,"Merrillville, Indiana, 46410",,
Indiana,509,Nativity of Our Lord Jesus Christ Parish,,"Indianapolis, Indiana, 46239",,
Indiana,509,Nativity of Our Savior,,"Portage, Indiana, 46368-3519",,
Indiana,509,Nativity of The Blessed Virgin Mary Parish,,"North Vernon, Indiana, 47265",,
Indiana,509,Nativity Parish,,"Evansville, Indiana, 47714",,
Indiana,509,Notre Dame Parish,,"Michigan City, Indiana, 46360",,
Indiana,509,Our Lady of Consolation,,"Merrillville, Indiana, 46410-6119",,
Indiana,509,Our Lady of Good Hope Catholic Parish,,"Fort Wayne, Indiana, 46835-1567",,
Indiana,509,Our Lady of Grace,,"Highland, Indiana, 46322",,
Indiana,509,Our Lady of Grace Parish,,"Noblesville, Indiana, 46060-1520",,
Indiana,509,Our Lady of Guadalupe,,"Milford, Indiana, 46542",,
Indiana,509,Our Lady of Guadalupe Parish,,"Warsaw, Indiana, 46580",,
Indiana,509,Our Lady of Guadalupe Parish,,"East Chicago, Indiana, 46312",,
Indiana,509,Our Lady of Hope Catholic Church,,"Washington, Indiana, 47501",,
Indiana,509,Our Lady of Hungary,,"South Bend, Indiana, 46613-1903",,
Indiana,509,Our Lady of Lourdes Parish,,"Indianapolis, Indiana, 46219",,
Indiana,509,Our Lady of Mount Carmel Parish,,"Carmel, Indiana, 46032",,
Indiana,509,Our Lady of Perpetual Help,,"Mattom Pilgrim Centre, Indiana, 680602",,
Indiana,509,Our Lady of Perpetual Help Parish,,"New Albany, Indiana, 47150",,
Indiana,509,Our Lady of Perpetual Help Parish,,"Hammond, Indiana, 46323",,
Indiana,509,Our Lady of Providence Parish,,"Brownstown, Indiana, 47220",,
Indiana,509,Our Lady of Sorrows Catholic Church,,"Valparaiso, Indiana, 46385",,
Indiana,509,Our Lady of the Angels Oratory,,"Fort Wayne, Indiana, 46803",,
Indiana,509,Our Lady of The Greenwood Parish,,"Greenwood, Indiana, 46143",,
Indiana,509,Our Lady of The Lakes Parish,,"Monticello, Indiana, 47960-2473",,
Indiana,509,Our Lady of The Springs Parish,,"French Lick, Indiana, 47432",,
Indiana,509,Our Lord Jesus Christ The King,,"Paoli, Indiana, 47454",,
Indiana,509,"Our Sunday Visitor, Inc.",,"Huntington, Indiana, 46750",,
Indiana,509,Pastoral Office of Worship & RCIA,,"Lafayette, Indiana, 47909",,
Indiana,509,Precious Blood Parish,,"Jasper, Indiana, 47546",,
Indiana,509,Prince of Peace Parish,,"Madison, Indiana, 47250",,
Indiana,509,Queen of All Saints,,"Michigan City, Indiana, 46360",,
Indiana,509,Queen of Angels Parish,,"Fort Wayne, Indiana, 46808-3168",,
Indiana,509,Queen of Peace Parish,,"Mishawaka, Indiana, 46544-4099",,
Indiana,509,Redeemer Radio,,"Fort Wayne, Indiana, 46815",,
Indiana,509,Resurrection Parish,,"Evansville, Indiana, 47720-1774",,
Indiana,509,Roncalli High School,,"Indianapolis, Indiana, 46227",,
Indiana,509,Sacred Heart Church,,"La Porte, Indiana, 46350-2432",,
Indiana,509,Sacred Heart Church,,"Fort Wayne, Indiana, 46806-2428",,
Indiana,509,Sacred Heart Church,,"Whiting, Indiana, 46394-1609",,
Indiana,509,Sacred Heart of Jesus,,"South Bend, Indiana, 46536",,
Indiana,509,Sacred Heart Of Jesus Catholic Church,,"Schnellville, Indiana, 47580",,
Indiana,509,Sacred Heart of Jesus Catholic Church,,"Cicero, Indiana, 46034",,
Indiana,509,Sacred Heart of Jesus Church,,"South Bend, Indiana, 46614-9409",,
Indiana,509,Sacred Heart of Jesus Church,,"Terre Haute, Indiana, 47804-2420",,
Indiana,509,Sacred Heart of Jesus Parish,,"Indianapolis, Indiana, 46225-1697",,
Indiana,509,Sacred Heart Parish,,"Notre Dame, Indiana, 46556",,
Indiana,509,Sacred Heart Parish,,"Remington, Indiana, 47977-8782",,
Indiana,509,Sacred Heart Parish,,"Fowler, Indiana, 47944-1148",,
Indiana,509,Sacred Heart Parish,,"Clinton, Indiana, 47842",,
Indiana,509,Sacred Heart Parish,,"Evansville, Indiana, 47712",,
Indiana,509,Sacred Heart Parish,,"Vincennes, Indiana, 47591",,
Indiana,509,Sacred Heart Parish,,"Warsaw, Indiana, 46580",,
Indiana,509,Sacred Heart Parish,,"Wanatah, Indiana, 46390",,
Indiana,509,Sacred Heart Parish,,"Michigan City, Indiana, 46360",,
Indiana,509,Sacred Heart Parish,,"East Chicago, Indiana, 46312",,
Indiana,509,Sacred Heart Parish & St. Augustine Parish,,"Jeffersonville, Indiana, 47130",,
Indiana,509,Shrine of Christ's Passion,,"Saint John, Indiana, 46373",,
Indiana,509,Sorrowful Mother,,"Wheatfield, Indiana, 46392-7396",,
Indiana,509,SS Cyril and Methodius Catholic Church,,"North Judson, Indiana, 46366-1209",,
Indiana,509,SS Francis & Clare of Assisi Parish,,"Greenwood, Indiana, 46143",,
Indiana,509,SS Mary and John Parish,,"Indiana, United States",,
Indiana,509,SS Monica & Luke,,"Gary, Indiana, 46402",,
Indiana,509,SS Peter & Paul,,"Pendleton, Indiana, M68JR",,
Indiana,509,SS Peter & Paul,,"Merrillville, Indiana, 46410",,
Indiana,509,SS Peter & Paul Cathedral,,"Indianapolis, Indiana, 46202",,
Indiana,509,SS Peter & Paul Parish,,"Goodland, Indiana, 47948-8156",,
Indiana,509,SS Peter & Paul Parish,,"Haubstadt, Indiana, 47639-8123",,
Indiana,509,SS Peter & Paul Parish,,"Petersburg, Indiana, 47567",,
Indiana,509,SS Peter and Paul Church,,"Huntington, Indiana, 46750-2037",,
Indiana,509,SS. Philomena and Cecilia,,"Brookville, Indiana, 47012",,
Indiana,509,St. Adalbert Church,,"Whiting, Indiana, 46394",,
Indiana,509,St. Adalbert Church,,"South Bend, Indiana, 46619",,
Indiana,509,St. Agnes Parish,,"Evansville, Indiana, 47712",,
Indiana,509,St. Agnes Parish,,"Nashville, Indiana, 47448",,
Indiana,509,St. Aloysius Parish,,"Yoder, Indiana, 46798",,
Indiana,509,St. Alphonsus Liguori Parish,,"Zionsville, Indiana, 46077",,
Indiana,509,St. Ambrose Parish,,"Seymour, Indiana, 47274",,
Indiana,509,St. Ambrose Parish,,"Anderson, Indiana, 46016-5067",,
Indiana,509,St. Andrew,,"Indianapolis, Indiana, 46218-1496",,
Indiana,509,St. Andrew Catholic Church,,"Richmond, Indiana, 47374",,
Indiana,509,St. Andrew the Apostle Church,,"Merrillville, Indiana, 46410",,
Indiana,509,St. Ann,,"North Vernon, Indiana, 47265",,
Indiana,509,St. Ann Church and Shrine,,"Lafayette, Indiana, 47905",,
Indiana,509,St. Ann of the Dunes,,"Beverly Shores, Indiana, 46301",,
Indiana,509,St. Ann Parish,,"Kewanna, Indiana, 46939-8503",,
Indiana,509,St. Ann Parish,,"Gary, Indiana, 46406",,
Indiana,509,St. Ann Parish,,"Indianapolis, Indiana, 46221",,
Indiana,509,St. Anne Church,,"New Castle, Indiana, 47362",,
Indiana,509,St. Anne Knights of Columbus 1755,,"New Castle, Indiana, 47362",,
Indiana,509,St. Anne Parish,,"Monterey, Indiana, 46960-0096",,
Indiana,509,St. Anne Religious Education,,"New Castle, Indiana, 47362",,
Indiana,509,St. Anthony,,"karikkattoor Centre, Indiana, 686 544",,
Indiana,509,St. Anthony de Padua Parish,,"South Bend, Indiana, 46615",,
Indiana,509,St. Anthony Indy / San Antonio Indy,,"Indianapolis, Indiana, 46217",,
Indiana,509,St. Anthony of Padua Church,,"Saint Anthony, Indiana, 47575",,
Indiana,509,St. Anthony of Padua Church,,"Angola, Indiana, 46703-1435",,
Indiana,509,St. Anthony of Padua Parish,,"Clarksville, Indiana, 47129",,
Indiana,509,St. Anthony of Padua Parish,,"Fish Lake, Indiana, 46574",,
Indiana,509,St. Anthony Parish,,"Indianapolis, Indiana, 46222",,
Indiana,509,St. Anthony Parish,,"Evansville, Indiana, 47710",,
Indiana,509,St. Athanasius Parish,,"Indianapolis, Indiana, 46221-1110",,
Indiana,509,St. Augusta Parish,,"Lake Village, Indiana, 46349-9465",,
Indiana,509,St. Augustine,,"South Bend, Indiana, 46619-0198",,
Indiana,509,St. Augustine,,"Jeffersonville, Indiana, 47131-0447",,
Indiana,509,St. Augustine Catholic School,,"Rensselaer, Indiana, 47978-2545",,
Indiana,509,St. Augustine Church,,"Rensselaer, Indiana, 47978-2599",,
Indiana,509,St. Augustine Parish,,"Leopold, Indiana, 47551",,
Indiana,509,St. Barnabas Parish,,"Indianapolis, Indiana, 46217",,
Indiana,509,St. Bartholomew Parish,,"Columbus, Indiana, 47201",,
Indiana,509,St. Bavo Parish,,"Mishawaka, Indiana, 46544-4930",,
Indiana,509,St. Benedict Church,,"Terre Haute, Indiana, 47807-3711",,
Indiana,509,St. Bernadette Parish - Closed,,"Indianapolis, Indiana, 46203",,
Indiana,509,St. Bernard & St. Martin I Parishes,,"Rockport, Indiana, 47635-1427",,
Indiana,509,St. Bernard Church,,"Wabash, Indiana, 46992-2441",,
Indiana,509,St. Bernard Church,,"Crawfordsville, Indiana, 47933",,
Indiana,509,St. Bernard Parish,,"Fort Branch, Indiana, 47648",,
Indiana,509,St. Bernard Parish,,"Depauw, Indiana, 47115",,
Indiana,509,St. Boniface Church,,"Lafayette, Indiana, 47904-2597",,
Indiana,509,St. Boniface Parish,,"Evansville, Indiana, 47712",,
Indiana,509,St. Boniface Parish,,"Fulda, Indiana, 47536",,
Indiana,509,St. Bridget,,"Hobart, Indiana, 46342",,
Indiana,509,St. Bridget Parish,,"Liberty, Indiana, 47353",,
Indiana,509,St. Casimir Church,,"Hammond, Indiana, 46327",,
Indiana,509,St. Casimir Parish,,"South Bend, Indiana, 46619-3812",,
Indiana,509,St. Casimir School,,"Hammond, Indiana, 46327",,
Indiana,509,St. Catharine of Alexandria Parish,,"Nix Settlement, 46725",,
Indiana,509,St. Catherine of Siena Parish,,"Hammond, Indiana, 46323",,
Indiana,509,St. Cecilia Parish,,"DeMotte, Indiana, 46310",,
Indiana,509,St. Celestine Parish,,"Celestine, Indiana, 47521",,
Indiana,509,St. Charles Borromeo Church,,"Peru, Indiana, 46970-2100",,
Indiana,509,St. Charles Borromeo Church,,"Fort Wayne, Indiana, 46815-5019",,
Indiana,509,St. Charles Borromeo Parish,,"Bloomington, Indiana, 47401",,
Indiana,509,St. Charles Borromeo Parish,,"Milan, Indiana, 47031",,
Indiana,509,St. Charles Parish,,"Otterbein, Indiana, 47970-8571",,
Indiana,509,St. Christopher Church,,"Indianapolis, Indiana, 46224-6497",,
Indiana,509,St. Clement Parish,,"Boonville, Indiana, 47601",,
Indiana,509,St. Denis Parish,,"Westport, Indiana, 47283",,
Indiana,509,St. Dominic Catholic Church,,"Bremen, Indiana, 46506",,
Indiana,509,St. Dominic Mission,,"Hamlet, Indiana, 46574",,
Indiana,509,St. Edward Parish,,"Lowell, Indiana, 46356",,
Indiana,509,St. Edward's Youth Ministry,,"Lowell, Indiana, 46356",,
Indiana,509,St. Elizabeth Ann Seton,,"Valparaiso, Indiana, 46385",,
Indiana,509,St. Elizabeth Ann Seton Church,,"Fort Wayne, Indiana, 46804-5444",,
Indiana,509,St. Elizabeth Ann Seton Parish,,"Carmel, Indiana, 46033",,
Indiana,509,St. Elizabeth of Hungary Parish,,"Cambridge City, Indiana, 47327",,
Indiana,509,St. Ferdinand Parish,,"Ferdinand, Indiana, 47532-0156",,
Indiana,509,St. Francis of Assisi Parish,,"Muncie, Indiana, 47303-3692",,
Indiana,509,St. Francis Solano,,"Francesville, Indiana, 47946",,
Indiana,509,St. Francis Xavier Church,,"Lake Station, Indiana, 46405-2259",,
Indiana,509,St. Francis Xavier Parish,,"Attica, Indiana, 47918",,
Indiana,509,St. Francis Xavier Parish,,"Poseyville, Indiana, 47633",,
Indiana,509,St. Francis Xavier Parish,,"Henryville, Indiana, 47126",,
Indiana,509,St. Francis Xavier Parish,,"Pierceton, Indiana, 46562",,
