State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Iowa,504,All Saints Parish,,"Keokuk, Iowa, 52632",,
Iowa,504,All Saints Parish,,"Cedar Rapids, Iowa, 52403",,
Iowa,504,All Saints Parish,,"Stuart, Iowa, 50250",,
Iowa,504,All Saints Parish - St. Joseph Church,,"Le Mars, Iowa, 51031",,
Iowa,504,Annunciation Parish,,"Coon Rapids, Iowa, 50058",,
Iowa,504,Archdiocese of Dubuque,,"Dubuque, Iowa, 52004",,
Iowa,504,Assumption - St Patrick Parish,,"Charlotte, Iowa, 52731",,
Iowa,504,Assumption of The Blessed Virgin Mary,,"Churchville, Iowa, 50211",,
Iowa,504,Assumption of The Blessed Virgin Mary Parish,,"Little Turkey, Iowa, 52154",,
Iowa,504,Assumption of The Blessed Virgin Mary Parish,,"Granger, Iowa, 50109",,
Iowa,504,Assumption Parish,,"Merrill, Iowa, 51038",,
Iowa,504,Basilica of St Francis Xavier,,"Dyersville, Iowa, 52040",,
Iowa,504,Basilica of St John,,"Des Moines, Iowa, 50314",,
Iowa,504,Blessed Sacrament Parish,,"Sioux City, Iowa, 51104",,
Iowa,504,Blessed Sacrament Parish,,"Waterloo, Iowa, 50701",,
Iowa,504,Briar Cliff University,,"Sioux City, Iowa, 51104",,
Iowa,504,Cathedral of St Ambrose,,"Des Moines, Iowa, 50313",,
Iowa,504,Cathedral of St Raphael,,"Dubuque, Iowa, 52001",,
Iowa,504,Cathedral of The Epiphany,,"Sioux City, Iowa, 51105",,
Iowa,504,Catholic Charities (Diocese of Sioux City),,"Sioux City, Iowa, 51103",,
Iowa,504,Catholic Communities of Cherokee County,,"Cherokee, Iowa, 51012",,
Iowa,504,Catholic Messenger Newspaper of the Davenport Diocese,,"Davenport, Iowa, 52804",,
Iowa,504,Christ the King,,"Sioux Center, Iowa, 51250",,
Iowa,504,Christ the King Catholic Church,,"Sioux Center, Iowa, 51250",,
Iowa,504,Christ The King Catholic Church,,"Des Moines, Iowa, 50315",,
Iowa,504,Christ The King- Holy Trinity,,"Dayton, Iowa, 50530",,
Iowa,504,Church of the Visitation Parish,,"Camanche, Iowa, 52730",,
Iowa,504,Cindy McDonough,,"Des Moines, Iowa, 50313",,
Iowa,504,Diocese of Davenport,,"Davenport, Iowa, 52804",,
Iowa,504,Diocese of Des Moines,,"Des Moines, Iowa, 50309",,
Iowa,504,Diocese of Sioux City,,"Sioux City, Iowa, 51102",,
Iowa,504,Diocese of Torit,,"Torit, Iowa, 52802",,
Iowa,504,Dowling High School,,"West Des Moines, Iowa, 50265",,
Iowa,504,Fr. O'Reilly Knights of Columbus #8232,,"Moville, Iowa, 51039",,
Iowa,504,Greene County Catholic Churches,,"Jefferson, Iowa, 50129",,
Iowa,504,Holy Angels,,"Roselle, Iowa, 51401",,
Iowa,504,Holy Cross Parish,,"Holy Cross, Iowa, 52053",,
Iowa,504,Holy Family,,"New Hampton, Iowa, 50659",,
Iowa,504,Holy Family Catholic Church,,"Mason City, Iowa, 50401",,
Iowa,504,Holy Family Church,,"Council Bluffs, Iowa, 51501",,
Iowa,504,Holy Family Parish,,"Fort Madison, Iowa, 52627",,
Iowa,504,Holy Family Parish,,"Davenport, Iowa, 52804",,
Iowa,504,Holy Family Parish,,"New Melleray, Iowa, 52068",,
Iowa,504,Holy Family Parish,,"Mondamin, Iowa, 51557",,
Iowa,504,Holy Family Parish,,"Lidderdale, Iowa, 51452",,
Iowa,504,Holy Family Parish,,"Reinbeck, Iowa, 50669",,
Iowa,504,Holy Family Parish,,"EMMETSBURG, Iowa, 50536",,
Iowa,504,Holy Name Parish,,"West Union, Iowa, 52175",,
Iowa,504,Holy Name Parish,,"Rock Rapids, Iowa, 51246",,
Iowa,504,Holy Name Parish,,"Marcus, Iowa, 51035",,
Iowa,504,Holy Name Parish,,"Rockford, Iowa, 50468",,
Iowa,504,Holy Spirit Parish,,"Dubuque, Iowa, 52001",,
Iowa,504,Holy Spirit Parish,,"Dubuque, Iowa, 52001",,
Iowa,504,Holy Spirit Parish,,"Dubuque, Iowa, 52001",,
Iowa,504,Holy Spirit Parish,,"Carroll, Iowa, 51401",,
Iowa,504,Holy Spirit Parish,,"Creston, Iowa, 50801",,
Iowa,504,Holy Trinity,,"Kalona, Iowa, 52247",,
Iowa,504,Holy Trinity,,"Dayton, Iowa, 50532",,
Iowa,504,Holy Trinity - Corpus Christi,,"Fort Dodge, Iowa, 50501",,
Iowa,504,Holy Trinity - Sacred Heart,,"Fort Dodge, Iowa, 50501",,
Iowa,504,Holy Trinity of SE Warren Co.,,"Lacona, Iowa, 50139",,
Iowa,504,Holy Trinity Parish,,"Keota, Iowa, 52248",,
Iowa,504,Holy Trinity Parish,,"Protivin, Iowa, 52163",,
Iowa,504,Holy Trinity Parish,,"Luxemburg, Iowa, 52053",,
Iowa,504,Holy Trinity Parish,,"Des Moines, Iowa, 50310",,
Iowa,504,Holy Trinity Parish,,"Exira, Iowa, 50076",,
Iowa,504,Holy Trinity Parish Webster County,,"Moorland, Iowa, 50566",,
Iowa,504,Immaculate Conception,,"Petersville, Iowa, 52731",,
Iowa,504,Immaculate Conception,,"Colfax, Iowa, 50054",,
Iowa,504,Immaculate Conception,,"Cherokee, Iowa, 51012",,
Iowa,504,Immaculate Conception Catholic Church,,"Moville, Iowa, 51039",,
Iowa,504,Immaculate Conception Oratory,,"Haverhill, Iowa, 50120",,
Iowa,504,Immaculate Conception Parish,,"Cedar Rapids, Iowa, 52406",,
Iowa,504,Immaculate Conception Parish,,"Lansing, Iowa, 52151",,
Iowa,504,Immaculate Conception Parish,,"North Buena Vista, Iowa, 52066",,
Iowa,504,Immaculate Conception Parish,,"Graettinger, Iowa, 51342",,
Iowa,504,Immaculate Conception Parish,,"Sioux City, Iowa, 51106",,
Iowa,504,Immaculate Conception Parish,,"North Washington, Iowa, 50661",,
Iowa,504,Immaculate Conception Parish,,"Masonville, Iowa, 50654",,
Iowa,504,Immaculate Conception Parish,,"Sumner, Iowa, 50674",,
Iowa,504,Immaculate Conception Parish,,"Gilbertville, Iowa, 50634",,
Iowa,504,Immaculate Conception Parish,,"Fairbank, Iowa, 50629",,
Iowa,504,Immaculate Conception Parish,,"Elma, Iowa, 50628",,
Iowa,504,Immaculate Conception Parish,,"Charles City, Iowa, 50616",,
Iowa,504,Immaculate Conception Parish,,"Riceville, Iowa, 50466",,
Iowa,504,Immaculate Conception Parish,,"Maloy, Iowa, 50852",,
Iowa,504,Jesus Christ Prince of Peace Parish,,"Clinton, Iowa, 52732",,
Iowa,504,Knights of Columbus Council 11392,,"Sioux City, Iowa, 51103",,
Iowa,504,Knights of Columbus: St. Benedict's Council 4208,,"Decorah, Iowa, 52101",,
Iowa,504,Loras College,,"Dubuque, Iowa, 52004",,
Iowa,504,"Mount Mercy University, Chapel of Mercy",,"Cedar Rapids, Iowa, 52402",,
Iowa,504,Nativity of Our Lord Jesus Christ Parish,,"Sioux City, Iowa, 51106",,
Iowa,504,Nativity Parish,,"Dubuque, Iowa, 52001",,
Iowa,504,New Melleray Abbey,,"Peosta, Iowa, 52068",,
Iowa,504,Newman Catholic High School,,"Mason City, Iowa, 50401",,
Iowa,504,Newman Catholic Student Center,,"Iowa City, Iowa, 52245",,
Iowa,504,Notre Dame Parish,,"Cresco, Iowa, 52136",,
Iowa,504,Our Lady of Carter Lake Catholic Church,,"Carter Lake, Iowa, 51510",,
Iowa,504,Our Lady of Good Counsel Church,,"Fonda, Iowa, 50540",,
Iowa,504,Our Lady of Good Counsel Parish,,"Holstein, Iowa, 51025",,
Iowa,504,Our Lady of Grace Parish,,"Griswold, Iowa, 51535",,
Iowa,504,Our Lady of Lourdes,,"Bettendorf, Iowa, 52722",,
Iowa,504,Our Lady of Lourdes Parish,,"Elma, Iowa, 50628",,
Iowa,504,Our Lady of Lourdes Parish,,"Keswick, Iowa, 50136",,
Iowa,504,Our Lady of Mount Carmel Parish,,"Lawler, Iowa, 52154",,
Iowa,504,Our Lady of Mount Carmel Parish,,"Mount Carmel, Iowa, 51401",,
Iowa,504,Our Lady of Seven Dolors,,"Festina, Iowa, 52144",,
Iowa,504,Our Lady of the Americas,,"Des Moines, Iowa, 50316",,
Iowa,504,Our Lady of The Holy Rosary Parish,,"Glenwood, Iowa, 51534",,
Iowa,504,Our Lady of The River Parish,,"Le Claire, Iowa, 52753",,
Iowa,504,Our Lady of Victory Parish,,"Davenport, Iowa, 52806",,
Iowa,504,Our Lady Queen of Apostles,,"Council Bluffs, Iowa, 51501",,
Iowa,504,Our Lady`s Immaculate Heart Parish,,"Ankeny, Iowa, 50021",,
Iowa,504,Queen of Peace,,"Waterloo, Iowa, 50703",,
Iowa,504,Queen of Saints,,"Watkins, Iowa, 52354",,
Iowa,504,Queen of Saints,,"Van Horne, Iowa, 52346",,
Iowa,504,Queen of Saints,,"Norway, Iowa, 52318",,
Iowa,504,Queen of Saints,,"Newhall, Iowa, 52315",,
Iowa,504,Queen of Saints,,"Blairstown, Iowa, 52209",,
Iowa,504,Resurrection Of Our Lord,,"Pocahontas, Iowa, 50574",,
Iowa,504,Resurrection Parish,,"Dubuque, Iowa, 52002",,
Iowa,504,Sacred Heart,,"Livermore, Iowa, 50558",,
Iowa,504,Sacred Heart,,"Ayrshire, Iowa, 50515",,
Iowa,504,Sacred Heart / St. Luke Link,,"Monticello, Iowa, 52310",,
Iowa,504,Sacred Heart Cathedral,,"Davenport, Iowa, 52803",,
Iowa,504,Sacred Heart Catholic Church,,"Sioux City, Iowa, 51103",,
Iowa,504,Sacred Heart Catholic Church,,"Maquoketa, Iowa, 52060",,
Iowa,504,Sacred Heart Church,,"Fort Madison, Iowa, 52627",,
Iowa,504,Sacred Heart Church,,"Fort Dodge, Iowa, 50501",,
Iowa,504,Sacred Heart Parish,,"Walker, Iowa, 52352",,
Iowa,504,Sacred Heart Parish,,"Lost Nation, Iowa, 52254",,
Iowa,504,Sacred Heart Parish,,"Oxford Junction, Iowa, 52323",,
Iowa,504,Sacred Heart Parish,,"Volga, Iowa, 52077",,
Iowa,504,Sacred Heart Parish,,"Bernard, Iowa, 52032",,
Iowa,504,Sacred Heart Parish,,"Woodbine, Iowa, 51579",,
Iowa,504,Sacred Heart Parish,,"Templeton, Iowa, 51463",,
