State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Kansas,356,All Saints Parish,,"Wichita, Kansas, 67218",,
Kansas,356,All Saints Parish - St. Joseph Church,,"Kansas City, Kansas, 66101",,
Kansas,356,All Saints Parish - Sts Cyril & Methodius Church,,"Kansas City, Kansas, 66101",,
Kansas,356,Annunciation Parish,,"Frankfort, Kansas, 66427-1203",,
Kansas,356,Annunciation Parish,,"Baldwin City, Kansas, 66006",,
Kansas,356,Archdiocese of Kansas City,,"Kansas City, Kansas, 66109",,
Kansas,356,Ascension Church,,"Overland Park, Kansas, 66213",,
Kansas,356,Assumption of The Blessed Virgin Mary Parish,,"Edgerton, Kansas, 66021",,
Kansas,356,Assumption Parish,,"Herndon, Kansas, 67739",,
Kansas,356,Blessed Sacrament Parish,,"Kansas City, Kansas, 66104",,
Kansas,356,Cathedral of Our Lady of Guadalupe,,"Dodge City, Kansas, 67801",,
Kansas,356,Cathedral of St Peter The Apostle,,"Kansas City, Kansas, 66102",,
Kansas,356,Cathedral of The Immaculate Conception,,"Wichita, Kansas, 67202",,
Kansas,356,Cathedral of The Sacred Heart,,"Salina, Kansas, 67401",,
Kansas,356,Catholic Campus Center at Washburn University,,"Topeka, Kansas, 66604-2736",,
Kansas,356,Christ the King,,"Kansas City, Kansas, 66104",,
Kansas,356,Christ The King Parish,,"Deerfield, Kansas, 67838-0455",,
Kansas,356,Christ The King Parish,,"WaKeeney, Kansas, 67672",,
Kansas,356,Christ The King Parish,,"Wichita, Kansas, 67209",,
Kansas,356,Christ The King Parish,,"Topeka, Kansas, 66614",,
Kansas,356,Church of the Blessed Sacrament,,"Wichita, Kansas, 67208",,
Kansas,356,Church of the Holy Spirit,,"Goddard, Kansas, 67052",,
Kansas,356,Church of The Magdalen,,"Wichita, Kansas, 67206",,
Kansas,356,Church of The Nativity Parish,,"Leawood, Kansas, 66209",,
Kansas,356,Church of The Resurrection Parish,,"Wichita, Kansas, 67220",,
Kansas,356,Corpus Christi,,"Atchison, Kansas, 66002",,
Kansas,356,Corpus Christi Parish,,"Lawrence, Kansas, 66049-5200",,
Kansas,356,Cure of Ars Parish,,"Leawood, Kansas, 66206",,
Kansas,356,Didde Catholic Campus Center,,"Emporia, Kansas, 66801-5004",,
Kansas,356,Diocese of Dodge City,,"Dodge City, Kansas, 67801",,
Kansas,356,Diocese of Salina,,"Salina, Kansas, 67402",,
Kansas,356,Diocese of Wichita,,"Wichita, Kansas, 67202",,
Kansas,356,Good Shepherd Parish,,"Shawnee, Kansas, 66216",,
