State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Kentucky,478,Adult Faith Formation (Cathedral of Christ The King),,"Lexington, Kentucky, 40502",,
Kentucky,478,All Saints Catholic Church,,"Taylorsville, Kentucky, 40071",,
Kentucky,478,All Saints Church,,"Walton, Kentucky, 41094-1093",,
Kentucky,478,Alliance for Catholic Urban Education (ACUE),,"Covington, Kentucky, 41011-3115",,
Kentucky,478,Archdiocese of Louisville,,"Louisville, Kentucky, 40201",,
Kentucky,478,Assumption of Blessed Mary Virgin,,"Simonys, Kentucky, 40018",,
Kentucky,478,Basilica of St. Joseph Proto-Cathedral,,"Bardstown, Kentucky, 40004-0548",,
Kentucky,478,Bellarmine University,,"Louisville, Kentucky, 40205-0671",,
Kentucky,478,Bishop Flaget Assembly,,"Erlanger, Kentucky, 41018",,
Kentucky,478,Bishop William T. Mulloy Council,,"Dayton, Kentucky, 41074",,
Kentucky,478,Blessed Mary Virgin,,"Kazliskis, Kentucky, 42039",,
Kentucky,478,Blessed Mary Virgin,,"Palevenele, Kentucky, 40046",,
Kentucky,478,Blessed Mother Parish,,"Owensboro, Kentucky, 42303",,
Kentucky,478,Blessed Sacrament Church,,"Fort Mitchell, Kentucky, 41017-2998",,
Kentucky,478,Blessed Teresa of Calcutta,,"Fairdale, Kentucky, 40118",,
Kentucky,478,Calvary Cemetery,,"Lexington, Kentucky, 40508",,
Kentucky,478,Cathedral Basilica of The Assumption,,"Covington, Kentucky, 41011-3116",,
Kentucky,478,Cathedral of Christ The King,,"Lexington, Kentucky, 40502",,
Kentucky,478,Cathedral of The Assumption,,"Louisville, Kentucky, 40202",,
Kentucky,478,Catholic Charismatic Renewal of Louisville,,"Louisville, Kentucky, 40291-3398",,
Kentucky,478,Catholic Charities of the Diocese of Lexington,,"Lexington, Kentucky, 40508-2048",,
Kentucky,478,Catholic Men's Fellowship,,"Louisville, Kentucky, 40218",,
Kentucky,478,Catholic Scouting,,"Lexington, Kentucky, 40508-2048",,
Kentucky,478,Catholics Returning Home (Cathedral of Christ The King),,"Lexington, Kentucky, 40502",,
Kentucky,478,Christ The Healer Parish,,"Edmonton, Kentucky, 42129-8136",,
Kentucky,478,Christ the King Bookstore,,"Lexington, Kentucky, 40502",,
Kentucky,478,Christ the King Catholic Church,,"Scottsville, Kentucky, 42164",,
