State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Louisiana,534,All Saints Church,,"New Orleans, Louisiana, 70114",,
Louisiana,534,Annunciation Church,,"Bogalusa, Louisiana, 70427",,
Louisiana,534,Annunciation of The Blessed Virgin Mary Church,,"Eunice, Louisiana, 70535",,
Louisiana,534,Annunziata Parish,,"Houma, Louisiana, 70363",,
Louisiana,534,Archdiocese of New Orleans,,"New Orleans, Louisiana, 70125-3496",,
Louisiana,534,Ascension of Our Lord Church,,"LaPlace, Louisiana, 70068",,
Louisiana,534,Ascension of Our Lord Jesus Christ,,"Donaldsonville, Louisiana, 70346",,
Louisiana,534,Assumption Blessed Virgin Mary Church,,"Franklin, Louisiana, 70538",,
Louisiana,534,Assumption of The Blessed Virgin Mary Church,,"Church Point, Louisiana, 70525",,
Louisiana,534,Assumption of The Blessed Virgin Mary Parish,,"Plattenville, Louisiana, 70390",,
Louisiana,534,Basilica of the Immaculate Conception,,"Natchitoches, Louisiana, 71458-0013",,
Louisiana,534,Blessed Francis Xavier Seelos Church,,"New Orleans, Louisiana, 70117",,
Louisiana,534,"Blessed Francis Xavier Seelos, C.Ss.R.",,"New Orleans, Louisiana, 70130",,
Louisiana,534,Blessed Sacrament,,"Ringgold, Louisiana, 71068",,
Louisiana,534,Blessed Sacrament - St. Joan of Arc Parish,,"New Orleans, Louisiana, 70118",,
Louisiana,534,Blessed Trinity,,"New Orleans, Louisiana, 70130",,
Louisiana,534,Carmelite Monastery,,"Lafayette, Louisiana, 70501",,
Louisiana,534,Cathedral of St John The Evangelist,,"Lafayette, Louisiana, 70501",,
Louisiana,534,Cathedral of St. John Berchmans,,"Shreveport, Louisiana, 71101-4309",,
Louisiana,534,Cathedral of St. Louis,,"New Orleans, Louisiana, 70116",,
Louisiana,534,Cathedral of The Immaculate Conception,,"Lake Charles, Louisiana, 70601",,
Louisiana,534,Catholic Diocese of Baton Rouge,,"Baton Rouge, Louisiana, 70808",,
Louisiana,534,Center of Jesus the Lord,,"New Orleans, Louisiana, 70116",,
Louisiana,534,Christ the King Catholic Church,,"Lake Charles, Louisiana, 70607",,
Louisiana,534,Christ the King Church,,"Terrytown, Louisiana, 70056-2811",,
Louisiana,534,Christ The King Church & Catholic Center,,"Baton Rouge, Louisiana, 70894",,
Louisiana,534,Christ the King College Chapel at ULM,,"Monroe, Louisiana, 71203",,
Louisiana,534,Christ The King Parish,,"Simmesport, Louisiana, 71369",,
Louisiana,534,Christ The King Parish,,"Bossier City, Louisiana, 71111",,
Louisiana,534,Christ The Redeemer Parish,,"Thibodaux, Louisiana, 70301",,
Louisiana,534,Co-Cathedral of St Joseph,,"Thibodaux, Louisiana, 70302",,
Louisiana,534,Community of St Anthony - Gheens,,"Raceland, Louisiana, 70394",,
Louisiana,534,Corpus Christi,,"New Orleans, Louisiana, 70116",,
Louisiana,534,Council of Catholic School Co-operative Clubs,,"Kenner, Louisiana, 70065",,
Louisiana,534,Diocese of Alexandria,,"Alexandria, Louisiana, 71306-0417",,
Louisiana,534,Diocese of Houma -Thibodaux,,"Schriever, Louisiana, 70395",,
Louisiana,534,Diocese of Lafayette,,"Lafayette, Louisiana, 70501-5298",,
Louisiana,534,Diocese of Lake Charles,,"Lake Charles, Louisiana, 70602-3223",,
Louisiana,534,Diocese of Shreveport,,"Shreveport, Louisiana, 71104",,
Louisiana,534,Divine Mercy Parish,,"Kenner, Louisiana, 70065",,
Louisiana,534,Divine Mercy Parish (St. Elizabeth Site),,"Kenner, Louisiana, 70065-1644",,
Louisiana,534,Fr. Leslie Prescott Knights of Columbus Ccouncil 5048,,"Pine Prairie, Louisiana, 70576",,
Louisiana,534,Holy Cross Church,,"Natchitoches, Louisiana, 71458-0211",,
Louisiana,534,Holy Cross Church,,"Lafayette, Louisiana, 70503-5297",,
Louisiana,534,Holy Cross Parish,,"Morgan City, Louisiana, 70381",,
Louisiana,534,Holy Cross Squires,,"Lafayette, Louisiana, 70503",,
Louisiana,534,Holy Family and St. Ann Catholic Church,,"Lawtell, Louisiana, 70550",,
Louisiana,534,Holy Family Church,,"Barksdale, Louisiana, 71110",,
Louisiana,534,Holy Family Church,,"Franklinton, Louisiana, 70438",,
Louisiana,534,Holy Family Church,,"Luling, Louisiana, 70070-6103",,
Louisiana,534,Holy Family Mission,,"Monette Ferry, Louisiana, 71447",,
Louisiana,534,Holy Family Parish,,"Port Allen, Louisiana, 70767",,
Louisiana,534,Holy Family Parish (Grand Caillou),,"Dulac, Louisiana, 70353",,
Louisiana,534,Holy Ghost Catholic Church,,"Opelousas, Louisiana, 70570",,
Louisiana,534,Holy Ghost Parish,,"Marksville, Louisiana, 71351-3033",,
Louisiana,534,Holy Ghost Parish,,"Hammond, Louisiana, 70401-2529",,
Louisiana,534,Holy Guardian Angels Church,,"Bridge City, Louisiana, 70094",,
Louisiana,534,Holy Name of Jesus Church,,"New Orleans, Louisiana, 70118",,
Louisiana,534,Holy Name of Mary Church,,"New Orleans, Louisiana, 70114",,
Louisiana,534,Holy Rosary Church,,"Saint Amant, Louisiana, 70774-4597",,
Louisiana,534,Holy Savior Catholic Church,,"Lockport, Louisiana, 70374",,
Louisiana,534,Holy Spirit,,"New Orleans, Louisiana, 70131",,
Louisiana,534,Holy Spirit Chapel,,"Opelousas, Louisiana, 70570",,
Louisiana,534,Holy Spirit Chapel Mission,,"Ville Platte, Louisiana, 70586",,
Louisiana,534,Holy Trinity Catholic Church,,"Shreveport, Louisiana, 71101",,
Louisiana,534,Holy Trinity Church,,"Washington, Louisiana, 70589",,
Louisiana,534,Immaculate Conception,,"Sulphur, Louisiana, 70663",,
Louisiana,534,Immaculate Conception Catholic Church,,"Lakeland, Louisiana, 70752",,
Louisiana,534,Immaculate Conception Church,,"Lebeau, Louisiana, 71345",,
Louisiana,534,Immaculate Conception Church,,"Washington, Louisiana, 70589",,
Louisiana,534,Immaculate Conception Church,,"Morse, Louisiana, 70559",,
Louisiana,534,Immaculate Conception Church,,"Charenton, Louisiana, 70523-0278",,
Louisiana,534,Immaculate Conception Church,,"Marrero, Louisiana, 70072",,
Louisiana,534,Immaculate Conception Jesuit Church,,"New Orleans, Louisiana, 70112",,
Louisiana,534,Immaculate Conception Mission,,"Franklin, Louisiana, 70538",,
Louisiana,534,Immaculate Conception Parish,,"Dupont, Louisiana, 71329-0385",,
Louisiana,534,Immaculate Conception Parish,,"Baton Rouge, Louisiana, 70807-4906",,
Louisiana,534,Immaculate Conception Parish,,"Denham Springs, Louisiana, 70726-3019",,
Louisiana,534,Immaculate Conception Parish,,"Jennings, Louisiana, 70546",,
Louisiana,534,Immaculate Heart of Mary Catholic Church,,"Lafayette, Louisiana, 70502-2398",,
Louisiana,534,Immaculate Heart of Mary Church,,"Maringouin, Louisiana, 70757-3504",,
Louisiana,534,Immaculate Heart of Mary Church,,"Lake Charles, Louisiana, 70601",,
