State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Maine,163,All Saints Mission,,"Ogunquit, Maine, 3907",,
Maine,163,All Saints Parish,,"Bath, Maine, 04530-2198",,
Maine,163,Basilica of St. Peter & St. Paul,,"Lewiston, Maine, 4240",,
Maine,163,Bell Chapel,,"Sugarloaf, Maine, 4964",,
Maine,163,Blue Hill Chapel Mission,,"Blue Hill, Maine, 4614",,
Maine,163,Cathedral of The Immaculate Conception,,"Portland, Maine, 4101",,
Maine,163,Christ the Divine Mercy Parish: St. Martin's Church,,"Millinocket, Maine, 04462-1595",,
Maine,163,Christ the Divine Mercy Parish: St. Peter's Church,,"East Millinocket, Maine, 4430",,
Maine,163,Christ the King Parish,,"Skowhegan, Maine, 04976-0369",,
Maine,163,Colby College,,"Waterville, Maine, 4901",,
Maine,163,Confraternity of the Most Holy Rosary,,"Randolph, Maine, 4346",,
Maine,163,Diocese of Portland,,"Portland, Maine, 04104-7559",,
Maine,163,Good Shepherd Parish - Most Holy Trinity Church,,"Saco, Maine, 4072",,
Maine,163,Good Shepherd Parish - St. Brendan Chapel,,"Biddeford, Maine, 4006",,
Maine,163,Good Shepherd Parish - St. Joseph Church,,"Biddeford, Maine, 4005",,
Maine,163,Good Shepherd Parish - St. Margaret Parish,,"Old Orchard Beach, Maine, 4064",,
Maine,163,Good Shepherd Parish - St. Philip Church,,"Lyman, Maine, 4002",,
Maine,163,Holy Cross Church,,"Lewiston, Maine, 4240",,
Maine,163,Holy Cross Parish,,"South Portland, Maine, 4106",,
Maine,163,Holy Family Church,,"Lewiston, Maine, 4240",,
Maine,163,Holy Family Parish,,"Old Town, Maine, 4468",,
Maine,163,Holy Family Parish,,"Greenville, Maine, 4441",,
Maine,163,Holy Redeemer Church,,"Bar Harbor, Maine, 04609-1303",,
Maine,163,Holy Rosary Parish,,"Caribou, Maine, 4736",,
Maine,163,Holy Spirit Parish,,"Wells, Maine, 04090-0368",,
Maine,163,Holy Trinity Parish,,"Lisbon Falls, Maine, 04252-1126",,
Maine,163,Immaculate Conception Parish,,"Calais, Maine, 4619",,
Maine,163,Immaculate Heart of Mary Parish,,"Fairfield, Maine, 04937-1230",,
Maine,163,Immaculate Heart of Mary Parish,,"Auburn, Maine, 4210",,
Maine,163,Immaculate Heart of Mary Parish,,"Auburn, Maine, 4210",,
Maine,163,Immaculate Heart of Mary Parish,,"Auburn, Maine, 4210",,
Maine,163,Knights of Columbus 11376,,"Bridgton, Maine, 4009",,
Maine,163,Nativity of The Blessed Virgin Mary Parish,,"Presque Isle, Maine, 4769",,
Maine,163,Notre Dame,,"Springvale, Maine, 4083",,
Maine,163,Notre Dame Church,,"Waterville, Maine, 4901",,
Maine,163,Our Lady of Holy Hope,,"Castine, Maine, 4621",,
Maine,163,Our Lady of Peace Church (Closed),,"Berwick, Maine, 3901",,
Maine,163,Our Lady of Perpetual Help Parish,,"Windham, Maine, 04062-5641",,
Maine,163,Our Lady of Ransom Parish,,"Mechanic Falls, Maine, 4256",,
Maine,163,Our Lady of Sebago,,"Sebago, Maine, 4085",,
Maine,163,Our Lady of the Angels Church,,"South Berwick, Maine, 3908",,
Maine,163,Our Lady of the Eucharist (St. Mary of Lourdes),,"Lincoln, Maine, 4457",,
Maine,163,Our Lady of the Lake Mission,,"Portage Lake, Maine, 4732",,
Maine,163,Our Lady of The Lakes Parish,,"Oquossoc, Maine, 4964",,
