State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Maryland,332,,,"Columbia, Maryland, United States",,
Maryland,332,Aberdeen Proving Ground MCCW,,"Aberdeen Proving Ground, Maryland, 21005",,
Maryland,332,Annunciation Parish,,"Baltimore, Maryland, 21206",,
Maryland,332,Archdiocese of Baltimore,,"Baltimore, Maryland, 21201",,
Maryland,332,Archdiocese of Washington,,"Hyattsville, Maryland, 20782",,
Maryland,332,Archdiocese of Washington Council of Catholic Women,,"Rockville, Maryland, 20852",,
Maryland,332,Ascension Parish,,"Halethorpe, Maryland, 21227",,
Maryland,332,Ascension Parish,,"Bowie, Maryland, 20720-4566",,
Maryland,332,Basilica Shrine Assumption of The Blessed Virgin Mary,,"Baltimore, Maryland, 21201",,
Maryland,332,Blessed Sacrament Parish,,"Baltimore, Maryland, 21218-1237",,
Maryland,332,Cardinal Hickey Academy,,"Owings, Maryland, 20736",,
Maryland,332,Cathedral of Mary Our Queen,,"Baltimore, Maryland, 21210",,
Maryland,332,Catholic Community at Relay,,"Baltimore, Maryland, 21227",,
Maryland,332,Catholic Community of St. Francis Xavier,,"Hunt Valley, Maryland, 21030",,
Maryland,332,Catholic Education Ministries Center of Central Maryland,,"Emmitsburg, 21727",,
Maryland,332,Christ the King Catholic Church,,"Towson, Maryland, 21286",,
Maryland,332,Christ The King Parish,,"Silver Spring, Maryland, 20910",,
Maryland,332,Church of St. Bartholomew,,"Bethesda, Maryland, 20817",,
Maryland,332,Church of St. John The Evangelist Parish,,"Clinton, Maryland, 20735",,
Maryland,332,Church of The Crucifixion Parish,,"Glen Burnie, Maryland, 21060",,
Maryland,332,Church of The Good Shepherd,,"Perryville, Maryland, 21903",,
Maryland,332,Church of The Good Shepherd Parish,,"Glen Burnie, Maryland, 21060",,
Maryland,332,Church of the Holy Spirit,,"Joppa, Maryland, 21085",,
Maryland,332,Church of the Holy Spirit,,"Forestville, Maryland, 20747-2519",,
Maryland,332,Church of the Immaculate Conception,,"Baltimore, Maryland, 21217",,
Maryland,332,Church of the Little Flower,,"Bethesda, Maryland, 20816-1930",,
Maryland,332,Church of The Most Holy Rosary,,"Upper Marlboro, Maryland, 20772",,
Maryland,332,Church of The Nativity Parish,,"Lutherville, Maryland, 21093",,
Maryland,332,Church of the Resurrection,,"Burtonsville, Maryland, 20866",,
Maryland,332,Community Of Most Precious Blood,,"Baltimore, Maryland, 21206",,
Maryland,332,Connelly School of the Holy Child,,"Potomac, Maryland, 20854",,
Maryland,332,Corpus Christi Parish,,"Baltimore, Maryland, 21217",,
Maryland,332,DC Ladies Ancient Order of Hibernians,,"Silver Spring, Maryland, 20910",,
Maryland,332,Diocese of Kayes,,"Kayes, Maryland, United States",,
Maryland,332,Disciples Now,,"Millersville, Maryland, 21108-4063",,
Maryland,332,Dominus Vobiscum,,"Silver Spring, Maryland, 20910",,
Maryland,332,Epiphany of Our Lord Byzantine Catholic,,"Gaithersburg, Maryland, 20879",,
Maryland,332,Fort Detrick Holy Family Catholic Community,,"Fort Detrick, Maryland, 21702",,
Maryland,332,Fort Detrick Holy Family Catholic Community,,"Fort Detrick, Maryland, 21702",,
Maryland,332,Holy Angels Parish,,"Avenue, Maryland, 20609",,
Maryland,332,Holy Apostles,,"Gambrills, Maryland, 21054",,
Maryland,332,Holy Cross Parish,,"Baltimore, Maryland, 21230",,
Maryland,332,Holy Cross Parish,,"Garrett Park, Maryland, 20896",,
Maryland,332,Holy Face Parish,,"Great Mills, Maryland, 20634",,
Maryland,332,Holy Family,,"Hillcrest Heights, Maryland, 20748",,
Maryland,332,Holy Family Catholic Community,,"Middletown, Maryland, 21769",,
Maryland,332,Holy Family Parish,,"Randallstown, Maryland, 21133",,
Maryland,332,Holy Family Parish,,"Davidsonville, Maryland, 21035",,
Maryland,332,Holy Family Parish,,"Mitchellville, Maryland, 20721-4106",,
Maryland,332,Holy Ghost Parish,,"Issue, Maryland, 20645",,
Maryland,332,Holy Korean Martyrs Catholic Church,,"Baltimore, Maryland, 21207",,
Maryland,332,Holy Name of Jesus R.C. Church,,"Pocomoke City, Maryland, 21851",,
Maryland,332,Holy Redeemer,,"Delmar, Maryland, 21875",,
Maryland,332,Holy Redeemer Parish,,"Kensington, Maryland, 20895",,
Maryland,332,Holy Redeemer Parish,,"College Park, Maryland, 20740",,
Maryland,332,Holy Rosary Catholic Church,,"Baltimore, Maryland, 21231",,
Maryland,332,Holy Savior,,"Ocean City, Maryland, 21842",,
Maryland,332,Holy Trinity Parish,,"Glen Burnie, Maryland, 21061",,
Maryland,332,Holy Trinity Parish,,"Silver Spring, Maryland, 20905",,
Maryland,332,Immaculate Conception Parish,,"Elkton, Maryland, 21921",,
Maryland,332,Immaculate Conception Parish,,"Marydel, Maryland, 21649",,
Maryland,332,Immaculate Conception Parish,,"Towson, Maryland, 21204",,
Maryland,332,Immaculate Conception Parish,,"Mechanicsville, Maryland, 20659",,
Maryland,332,Immaculate Heart of Mary Church,,"Lexington Park, Maryland, 20653",,
Maryland,332,Immaculate Heart of Mary Parish,,"Towson, Maryland, 21286",,
Maryland,332,Jesus The Divine Word Parish,,"Huntingtown, Maryland, 20639",,
Maryland,332,Jesus The Good Shepherd Parish,,"Owings, Maryland, 20736",,
Maryland,332,Johns Hopkins University,,"Baltimore, Maryland, 21218",,
Maryland,332,Knights of Columbus Council 6188,,"Edgewood, Maryland, 21040",,
Maryland,332,Knights of Columbus Immaculate Lady Council #5208,,"Glyndon, Maryland, 21071",,
Maryland,332,Ladies Ancient Order of Hibernians Div. 9,,"Montgomery County, Maryland, 20910",,
Maryland,332,Mother Seton Parish,,"Germantown, Maryland, 20874",,
Maryland,332,Mount Calvary Catholic Church,,"Baltimore, Maryland, 21201",,
Maryland,332,Mount Calvary Catholic Church,,"Forestville, Maryland, 20747-3236",,
Maryland,332,National Shrine Grotto of Lourdes,,"Emmitsburg, Maryland, 21727",,
Maryland,332,National Shrine of St. Elizabeth Ann Seton,,"Emmitsburg, Maryland, 21727",,
Maryland,332,Our Lady Help of Christians Parish,,"Waldorf, Maryland, 20602",,
Maryland,332,Our Lady of Fatima Parish,,"Baltimore, Maryland, 21224",,
Maryland,332,Our Lady of Good Counsel Parish,,"Secretary, Maryland, 21664",,
Maryland,332,Our Lady of Good Counsel Parish,,"Baltimore, Maryland, 21230",,
Maryland,332,Our Lady of Grace Church,,"Silver Spring, Maryland, 20906",,
Maryland,332,Our Lady of Grace Parish,,"Parkton, Maryland, 21120",,
Maryland,332,Our Lady of Hope Parish,,"Baltimore, Maryland, 21222",,
Maryland,332,Our Lady of La Vang,,"Baltimore, Maryland, 21222",,
Maryland,332,Our Lady of Lourdes Church,,"Bethesda, Maryland, 20814-3516",,
Maryland,332,Our Lady of Mercy,,"Potomac, Maryland, 20854",,
Maryland,332,Our Lady of Mount Carmel Parish,,"Thurmont, Maryland, 21788",,
Maryland,332,Our Lady of Mount Carmel Parish,,"Baltimore, Maryland, 21221",,
Maryland,332,Our Lady of Perpetual Help Church,,"Ellicott City, Maryland, 21043",,
Maryland,332,Our Lady of Perpetual Help Parish,,"Edgewater, Maryland, 21037",,
Maryland,332,Our Lady of Pompei Parish,,"Baltimore, Maryland, 21224",,
Maryland,332,Our Lady of Sorrows Parish,,"Takoma Park, Maryland, 20912",,
Maryland,332,Our Lady of Sorrows Parish,,"West River, Maryland, 20778",,
Maryland,332,Our Lady of The Angels Parish,,"Catonsville, Maryland, 21228",,
Maryland,332,Our Lady of The Chesapeake Parish,,"Pasadena, Maryland, 21122",,
Maryland,332,Our Lady of The Fields Parish,,"Millersville, Maryland, 21108",,
Maryland,332,Our Lady of The Presentation Parish,,"Poolesville, Maryland, 20837",,
Maryland,332,Our Lady of the Visitation,,"Darnestown, Maryland, 20874",,
Maryland,332,Our Lady of The Wayside Parish,,"Chaptico, Maryland, 20621",,
Maryland,332,Our Lady of Victory Parish (Arbutus),,"Baltimore, Maryland, 21229",,
Maryland,332,Our Lady of Vietnam Parish,,"Silver Spring, Maryland, 20904",,
Maryland,332,Our Lady Queen of Peace Parish,,"Baltimore, Maryland, 21220",,
Maryland,332,Our Lady Star of The Sea Catholic Church,,"Solomons, Maryland, 20688",,
Maryland,332,"Our Lady, Queen of Poland and St. Maximilian Kolbe",,"Silver Spring, Maryland, 20910",,
Maryland,332,Our Lady's Church,,"Leonardtown, 20650",,
Maryland,332,Our Mother of Sorrows Parish,,"Centreville, Maryland, 21617",,
Maryland,332,Patronage of The Mother of God Parish,,"Arbutus, Maryland, 21227",,
Maryland,332,Prince of Peace Parish,,"Edgewood, Maryland, 21040",,
Maryland,332,Resurrection of Our Lord Roman Catholic Church,,"Laurel, Maryland, 20724",,
Maryland,332,Resurrection Parish,,"Ellicott City, Maryland, 21042",,
Maryland,332,"Reverend Jonathan Morse, Ph.D.",,"Perry Point, Maryland, 21902",,
Maryland,332,Sacred Heart Church,,"Bowie, Maryland, 20715-3008",,
Maryland,332,Sacred Heart Of Jesus,,"Baltimore, Maryland, 21224",,
Maryland,332,Sacred Heart Of Mary Parish,,"Baltimore, Maryland, 21222",,
Maryland,332,Sacred Heart Parish,,"Glyndon, Maryland, 21071",,
Maryland,332,Sacred Heart Parish,,"La Plata, Maryland, 20646",,
Maryland,332,Sacred Heart Parish,,"Bushwood, Maryland, 20618",,
Maryland,332,Sacred Heart Roman Catholic Parish,,"Chestertown, Maryland, 21620",,
Maryland,332,Salisbury University,,"Salisbury, Maryland, 21801",,
Maryland,332,Shrine of St. Anthony,,"Ellicott City, Maryland, 21042",,
