State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Massachusetts,709,All Saints Parish,,"Haverhill, Massachusetts, 01832-4797",,
Massachusetts,709,All Saints Parish,,"Ware, Massachusetts, 01082-1003",,
Massachusetts,709,All Souls Parish,,"Springfield, Massachusetts, 01107-1082",,
Massachusetts,709,Annunciation Melkite Cathedral,,"West Roxbury, Massachusetts, 2132",,
Massachusetts,709,Annunciation of the Lord,,"Taunton, Massachusetts, 02780-4854",,
Massachusetts,709,Annunciation Parish,,"Florence, Massachusetts, 01062-0055",,
Massachusetts,709,Archdiocese of Boston,,"Braintree, Massachusetts, 02184-3839",,
Massachusetts,709,Assumption Parish,,"Millbury, Massachusetts, 1527",,
Massachusetts,709,Babson College Glavin Family Chapel,,"Babson Park, Massachusetts, 02457-0310",,
Massachusetts,709,Basilica of Our Lady of Perpetual Help,,"Boston, Massachusetts, 2120",,
Massachusetts,709,Bentley Catholic Association,,"Waltham, Massachusetts, 2452",,
Massachusetts,709,Blessed John Paul II Parish,,"Southbridge, Massachusetts, 1550",,
Massachusetts,709,Blessed Mother Teresa of Calcutta,,"Dorchester, Massachusetts, 2125",,
Massachusetts,709,Blessed Sacrament Parish,,"Walpole, Massachusetts, 02081-3408",,
Massachusetts,709,Blessed Sacrament Parish,,"Worcester, Massachusetts, 1602",,
Massachusetts,709,Blessed Sacrament Parish,,"Greenfield, Massachusetts, 01301-2733",,
Massachusetts,709,Blessed Sacrament Parish,,"Springfield, Massachusetts, 1107",,
Massachusetts,709,Blessed Sacrament Parish,,"Northampton, Massachusetts, 01060-2849",,
Massachusetts,709,Blessed Sacrament Parish,,"Holyoke, Massachusetts, 1040",,
Massachusetts,709,Blessed Sacrement Parish,,"Saugus, Massachusetts, 01906-2139",,
Massachusetts,709,Bristol Community College,,"Fall River, Massachusetts, 02720-7395",,
Massachusetts,709,Cathedral of St Mary of the Assumption,,"Fall River, Massachusetts, 2721",,
Massachusetts,709,Cathedral of St Michael,,"Springfield, Massachusetts, 1103",,
Massachusetts,709,Cathedral of St Paul,,"Worcester, Massachusetts, 1609",,
Massachusetts,709,Cathedral of The Annunciation,,"West Roxbury, Massachusetts, 2131",,
Massachusetts,709,Cathedral of The Holy Cross,,"Boston, Massachusetts, 2118",,
Massachusetts,709,Catholic Center at Boston University,,"Boston, Massachusetts, 2215",,
Massachusetts,709,Catholic Newman Center,,"Amherst, Massachusetts, 01002-1739",,
Massachusetts,709,Chapel of Our Lady of Providence,,"Worcester, Massachusetts, 1608",,
Massachusetts,709,Chapel of Our Savior Shrine,,"Brockton, Massachusetts, 02301-1819",,
Massachusetts,709,Christ The King Parish,,"Mashpee, Massachusetts, 2649",,
Massachusetts,709,Christ the King Parish,,"Brockton, Massachusetts, 02302-3191",,
Massachusetts,709,Christ The King Parish,,"Worcester, Massachusetts, 1602",,
Massachusetts,709,Christ The King Parish,,"Ludlow, Massachusetts, 01056-2787",,
Massachusetts,709,Christ the King Ukrainian Catholic Church,,"Jamaica Plain, Massachusetts, 2130",,
Massachusetts,709,Church of the Holy Cross,,"East Templeton, Massachusetts, 1438",,
Massachusetts,709,Church of the Nativity; Holy Redeemer Parish,,"Merrimac, Massachusetts, 01860",,
Massachusetts,709,Congregation of St. Anthanasius,,"Brookline, Massachusetts, 21467",,
Massachusetts,709,Corpus Christi,,"Lawrence, Massachusetts, 1840",,
Massachusetts,709,Corpus Christi Parish,,"East Sandwich, Massachusetts, 02537-1327",,
Massachusetts,709,Corpus Christi Parish,,"Housatonic, Massachusetts, 1236",,
Massachusetts,709,Corpus Christi- St Bernard Parish,,"West Newton, Massachusetts, 2465",,
Massachusetts,709,Diocese of Fall River,,"Fall River, Massachusetts, 2722",,
Massachusetts,709,Diocese of Springfield,,"Mill River, 1244",,
Massachusetts,709,Diocese of Springfield,,"Springfield, Massachusetts, 1101",,
Massachusetts,709,Diocese of Worcester,,"Worcester, Massachusetts, 01609-2597",,
Massachusetts,709,Divine Mercy Parish,,"Three Rivers, Massachusetts, 01080-1120",,
Massachusetts,709,Doris B. Perreault,,"Dracut, Massachusetts, 1826",,
