State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Michigan,999,,,"Michigan, United States",,
Michigan,999,All Saints Academy,,"Grand Rapids, Michigan, 49505",,
Michigan,999,All Saints Catholic Church,,"Flint, Michigan, 48504",,
Michigan,999,All Saints Church,,"Memphis, Michigan, 48041",,
Michigan,999,All Saints Parish,,"Gladstone, Michigan, 49837",,
Michigan,999,All Saints Parish,,"Fremont, Michigan, 49412",,
Michigan,999,All Saints Parish,,"Bay City, Michigan, 48708-8538",,
Michigan,999,All Saints Parish,,"Detroit, Michigan, 48209-2702",,
Michigan,999,All Saints Parish,,"Bay City, Michigan, 48708-6615",,
Michigan,999,All Saints Parish,,"Bay City, Michigan, 48708",,
Michigan,999,All Saints Superfest,,"Battle Creek, Michigan, 49015",,
Michigan,999,American Martyrs Parish,,"Kingsford, Michigan, 49802",,
Michigan,999,Aquinas College,,"Grand Rapids, Michigan, 49506",,
Michigan,999,Archdiocese of Detroit,,"Detroit, Michigan, 48226",,
Michigan,999,Assumption Blessed Virgin Mary Parish,,"Midland, Michigan, 48642-8823",,
Michigan,999,Assumption Grotto Catholic Church,,"Detroit, Michigan, 48205",,
Michigan,999,Assumption of The Blessed Virgin Mary Parish,,"Belmont, Michigan, 49306",,
Michigan,999,Ave Maria Parish,,"Lexington, Michigan, 48450",,
Michigan,999,Ave Maria University Chapel,,"Ann Arbor, Michigan, 48106",,
Michigan,999,Basilica of St Adalbert/St. James Church,,"Grand Rapids, Michigan, 49504",,
Michigan,999,Bishop Kevin M. Britt Assembly #3102,,"Jenison, Michigan, 49428",,
Michigan,999,Blessed John XXIII Community,,"Lansing, Michigan, 48933",,
Michigan,999,Blessed Sacrament,,"Allegan, Michigan, 49010",,
Michigan,999,Blessed Sacrament Catholic Church,,"Burton, Michigan, 48509-2438",,
Michigan,999,Blessed Sacrament Parish,,"Grand Rapids, Michigan, 49505",,
Michigan,999,Blessed Sacrament Parish,,"Midland, Michigan, 48642",,
Michigan,999,Blessed Trinity Catholic Church,,"Frankenmuth, Michigan, 48734-9770",,
Michigan,999,Boyne Valley Catholic Community,,"Boyne City, Michigan, 49712",,
Michigan,999,Catechesis (Diocese of Saginaw),,"Saginaw, Michigan, 48603",,
Michigan,999,Cathedral of Mary of the Assumption,,"Saginaw, Michigan, 48607",,
Michigan,999,Cathedral of St. Andrew,,"Grand Rapids, Michigan, 49503",,
Michigan,999,Cathedral of The Most Blessed Sacrament,,"Detroit, Michigan, 48202-1309",,
Michigan,999,"Catholic Charities of Jackson, Lenawee and Hillsdale Counties",,"Adrian, Michigan, 49221",,
Michigan,999,Catholic Community of St. Jude,,"DeWitt, Michigan, 48820",,
Michigan,999,Catholic Lawyers Guild,,"Lansing, Michigan, 48933",,
Michigan,999,Chapel of Assumption of St. Mary,,"M, Michigan, 7589",,
Michigan,999,Christ Our Light Parish,,"Troy, Michigan, 48084-2718",,
Michigan,999,Christ the Good Shepherd,,"Saginaw, Michigan, 48602-4387",,
Michigan,999,Christ the Good Shepherd,,"Saginaw, Michigan, 48602-5096",,
Michigan,999,Christ The Good Shepherd Parish,,"Lincoln Park, Michigan, 48146",,
Michigan,999,Christ the King,,"Hesperia, Michigan, 49421",,
Michigan,999,Christ the King - Faith Formation,,"Acme, Michigan, 49690",,
Michigan,999,Christ the King - Music Department,,"Acme, Michigan, 49610",,
Michigan,999,Christ the King - St. Francis de Sales,,"Howard City, Michigan, 49329",,
Michigan,999,Christ the King Church,,"Williamsburg, Michigan, 49690",,
Michigan,999,Christ the King Parish,,"Ann Arbor, Michigan, 48105",,
Michigan,999,Christ The King Parish,,"Detroit, Michigan, 48219",,
Michigan,999,Christ the King Parish,,"Flint, Michigan, 48503-4339",,
Michigan,999,Christ The Redeemer Catholic Church,,"Lake Orion, Michigan, 48360",,
Michigan,999,Church of St Bernard,,"Alpena, Michigan, 49707-2421",,
Michigan,999,Church of St. Sabina,,"Dearborn Heights, Michigan, 48127-1196",,
Michigan,999,Church of the Holy Family,,"Novi, Michigan, 48375-2845",,
Michigan,999,Church of the Holy Family,,"Grand Blanc, Michigan, 48439",,
Michigan,999,Church of the Holy Family - Worship,,"Grand Blanc, Michigan, 48439",,
Michigan,999,Church of the Holy Spirit,,"Highland, Michigan, 48356",,
Michigan,999,Church of the Resurrection,,"Lansing, Michigan, 48912",,
Michigan,999,Church of the Transfiguration,,"Southfield, Michigan, 48033",,
Michigan,999,Corpus Christi Catholic Community,,"Detroit, Michigan, 48219-2145",,
Michigan,999,"Council 7341, Holy Family Parish",,"Caledonia, Michigan, 49316",,
Michigan,999,Council of Catholic Women (Kalamazoo Diocese),,"Kalamazoo, Michigan, 49007",,
Michigan,999,Cristo Rey Parish,,"Lansing, Michigan, 48911-4639",,
Michigan,999,DCCR - Detroit Catholic Charismatic Renewal Center,,"Wyandotte, Michigan, 48192-2317",,
Michigan,999,Department of Communications (Diocese of Lansing),,"Lansing, Michigan, 48933-1577",,
Michigan,999,Diocese of Gaylord,,"Gaylord, Michigan, 49735",,
Michigan,999,Diocese of Grand Rapids,,"Grand Rapids, Michigan, 49507",,
