State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Minnesota,749,Advancement & Alumni,,"Detroit Lakes, Minnesota, 56501",,
Minnesota,749,All Saints Catholic Church,,"Brainerd, Minnesota, 56401",,
Minnesota,749,All Saints Catholic Church,,"Minneapolis, Minnesota, 55413",,
Minnesota,749,All Saints Catholic Church,,"Lakeville, Minnesota, 55044",,
Minnesota,749,All Saints on Cedar Stree,,"Holdingford, Minnesota, 56340-0308",,
Minnesota,749,All Saints on River Street,,"Holdingford, Minnesota, 56340-0308",,
Minnesota,749,All Saints Parish,,"New Richland, Minnesota, 56072-0185",,
Minnesota,749,All Saints Parish,,"Madison Lake, Minnesota, 56063-0217",,
Minnesota,749,Annunciation,,"Northfield, Minnesota, 55057",,
Minnesota,749,Annunciation Parish,,"Sauk Rapids, Minnesota, 56379",,
Minnesota,749,Annunciation Parish,,"Minneapolis, Minnesota, 55419-1818",,
Minnesota,749,Archdiocese of St. Paul and Minneapolis,,"Saint Paul, Minnesota, 55102-2197",,
Minnesota,749,Ascension Parish,,"Minneapolis, Minnesota, 55411-3297",,
Minnesota,749,Ascension Parish,,"Norwood Young America, Minnesota, 55368-9706",,
Minnesota,749,Assumption of The Blessed Virgin Mary Parish,,"Morris, Minnesota, 56267-0287",,
Minnesota,749,Assumption of The Blessed Virgin Mary Parish,,"Richfield, Minnesota, 55423-4396",,
Minnesota,749,Assumption Parish,,"Callaway, Minnesota, 56521-0067",,
Minnesota,749,Assumption Parish,,"Canton, Minnesota, 55922",,
Minnesota,749,Assumption Parish,,"Saint Paul, Minnesota, 55102-1163",,
Minnesota,749,Assumption Parish - Florian,,"Strandquist, Minnesota, 56758",,
Minnesota,749,Ave Maria Parish,,"Wheaton, Minnesota, 56296-1745",,
Minnesota,749,Barnesville Assumption Church,,"Barnesville, Minnesota, 56514",,
Minnesota,749,Basilica of St Mary Co-Cathedral,,"Minneapolis, Minnesota, 55405-0010",,
Minnesota,749,Blessed Sacrament Church,,"Saint Paul, Minnesota, 55119-4899",,
Minnesota,749,Blessed Sacrament Parish,,"Greenbush, Minnesota, 56726-0030",,
Minnesota,749,Blessed Sacrament Parish,,"Hibbing, Minnesota, 55746",,
Minnesota,749,Cathedral of Our Lady of The Rosary,,"Duluth, Minnesota, 55812",,
Minnesota,749,Cathedral of St Paul,,"Saint Paul, Minnesota, 55102-1891",,
Minnesota,749,Cathedral of The Holy Trinity,,"New Ulm, Minnesota, 56073-1898",,
Minnesota,749,Cathedral of The Immaculate Conception,,"Crookston, Minnesota, 56716-2736",,
Minnesota,749,Cathedral of the Sacred Heart,,"Winona, Minnesota, 55987",,
Minnesota,749,Catholic Church of St. Peter,,"Hokah, Minnesota, 55943",,
Minnesota,749,Christ Church Newman Center,,"Saint Cloud, Minnesota, 56301-4412",,
Minnesota,749,Christ The King Parish,,"Browerville, Minnesota, 56438",,
Minnesota,749,Christ The King Parish,,"Minneapolis, Minnesota, 55410-2195",,
Minnesota,749,Christ The King Parish,,"Medford, Minnesota, 55049-9508",,
Minnesota,749,Christ The King Parish,,"Cambridge, Minnesota, 55008-1096",,
Minnesota,749,Church of Christ the King,,"Byron, Minnesota, 55920",,
Minnesota,749,Church of Our Lady of The Lakes,,"Spicer, Minnesota, 56288",,
Minnesota,749,Church of Saint Mary,,"Shakopee, Minnesota, 55379",,
Minnesota,749,Church of Saint Peter,,"Saint Peter, Minnesota, 56082-0522",,
Minnesota,749,Church of St Andrew Parish,,"Elk River, Minnesota, 55330",,
Minnesota,749,Church of St Ann Parish,,"Brandon, Minnesota, 56315-0256",,
Minnesota,749,Church of St Anne Parish,,"Kimball, Minnesota, 55353",,
Minnesota,749,Church of St Francis of Assisi,,"Rochester, Minnesota, 55904",,
Minnesota,749,Church of St. Anne,,"Wabasso, Minnesota, 56293-0239",,
Minnesota,749,Church of St. Anthony,,"Albany, Minnesota, 56307-9998",,
Minnesota,749,Church of St. Francis of Assisi,,"Freeport, Minnesota, 56331-9622",,
