State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Mississippi,165,All Saints Parish,,"Belzoni, Mississippi, 39038-3602",,
Mississippi,165,Annunciation Parish,,"Columbus, Mississippi, 39701-5803",,
Mississippi,165,Annunciation Parish,,"Kiln, Mississippi, 39556",,
Mississippi,165,Arokia S. Savio,,"YAZOO CITY, Mississippi, 39194",,
Mississippi,165,Assumption of The Blessed Virgin Mary Parish,,"Natchez, Mississippi, 39120-2788",,
Mississippi,165,Cathedral of Nativity of The Blessed Virgin Mary,,"Biloxi, Mississippi, 39533-0367",,
Mississippi,165,Cathedral of St Peter the Apostle,,"Jackson, Mississippi, 39201-2407",,
Mississippi,165,Christ The King Catholic Church,,"Jackson, Mississippi, 39209-7498",,
Mississippi,165,Christ The King Catholic Church,,"Southaven, Mississippi, 38671",,
Mississippi,165,Christ the King Church,,"Fulton, Mississippi, 38843-1207",,
Mississippi,165,Christ the King Mission,,"Latimer, Mississippi, 39565",,
Mississippi,165,Corpus Christi Mission,,"Macon, Mississippi, 39341",,
Mississippi,165,Diocese of Biloxi,,"Biloxi, Mississippi, 39532",,
Mississippi,165,Diocese of Jackson,,"Jackson, Mississippi, 39225-2248",,
Mississippi,165,Good Shepherd Catholic Church,,"Robinsonville, Mississippi, 38664",,
Mississippi,165,Holy Child Jesus Parish,,"Canton, Mississippi, 39046",,
Mississippi,165,Holy Cross Parish,,"Philadelphia, Mississippi, 39350-2906",,
Mississippi,165,Holy Family,,"marcela, Mississippi, 403 107",,
Mississippi,165,Holy Family Mission,,"Gloster, Mississippi, 39638-0548",,
Mississippi,165,Holy Family Parish,,"Pass Christian, Mississippi, 39571-4400",,
Mississippi,165,Holy Family Parish,,"Jackson, Mississippi, 39206-3299",,
Mississippi,165,Holy Family Parish,,"Natchez, Mississippi, 39120-3647",,
Mississippi,165,Holy Ghost Parish,,"Jackson, Mississippi, 39202-2296",,
Mississippi,165,Holy Rosary Indian Mission,,"Philadelphia, Mississippi, 39350",,
Mississippi,165,Holy Rosary Parish,,"Hattiesburg, Mississippi, 39401-5111",,
Mississippi,165,Holy Savior Parish,,"Clinton, Mississippi, 39056-4018",,
Mississippi,165,Holy Spirit Catholic Church,,"Vancleave, Mississippi, 39565",,
Mississippi,165,Holy Spirit Parish,,"Hernando, Mississippi, 38632-2401",,
Mississippi,165,Holy Trinity Catholic Church,,"Leakesville, Mississippi, 39451",,
Mississippi,165,HolyTrinity Catholic Church,,"Columbia, Mississippi, 39429-9803",,
Mississippi,165,Immaculate Conception Mission,,"Raymond, Mississippi, 39154",,
Mississippi,165,Immaculate Conception Mission,,"Hollandale, Mississippi, 38748",,
Mississippi,165,Immaculate Conception of Our Lady,,"Seyne Les Alpes, Mississippi, 4140",,
Mississippi,165,Immaculate Conception Parish,,"West Point, Mississippi, 39773-3007",,
Mississippi,165,Immaculate Conception Parish,,"Laurel, Mississippi, 39440-3436",,
Mississippi,165,Immaculate Conception Parish,,"Camden, Mississippi, 39045-9802",,
Mississippi,165,Immaculate Conception Parish,,"Indianola, Mississippi, 38751",,
Mississippi,165,Immaculate Conception Parish,,"Clarksdale, Mississippi, 38614-6120",,
Mississippi,165,Immaculate Heart of Mary Church,,"Houston, Mississippi, 38851-1203",,
Mississippi,165,Immaculate Heart of Mary Parish,,"Greenwood, Mississippi, 38935",,
Mississippi,165,Our Lady of Chartres Mission,,"Lizana, Mississippi, 39503",,
Mississippi,165,Our Lady of Fatima Parish,,"Biloxi, Mississippi, 39531-3130",,
Mississippi,165,Our Lady of Perpetual Help Parish,,"Lumberton, Mississippi, 39455-9519",,
Mississippi,165,Our Lady of The Gulf Parish,,"Bay Saint Louis, Mississippi, 39520",,
Mississippi,165,Our Lady of the Rosary,,"Keesler Air Force Base, 39534",,
Mississippi,165,Our Lady of Victories Parish,,"Pascagoula, Mississippi, 39568",,
Mississippi,165,Our Lady of Victories Parish,,"Cleveland, Mississippi, 38732-2446",,
Mississippi,165,Our Mother of Mercy Mission,,"Anguilla, Mississippi, 38721-0503",,
Mississippi,165,Our Mother of Mercy Parish,,"Pass Christian, Mississippi, 39571",,
Mississippi,165,Our Mother of Sorrows Parish,,"Biloxi, Mississippi, 39530",,
Mississippi,165,Queen of Peace Catholic Church,,"Olive Branch, Mississippi, 38654-0065",,
Mississippi,165,Sacred Heart,,"Camden, Mississippi, 39045",,
Mississippi,165,Sacred Heart,,"Biloxi, Mississippi, 39540",,
Mississippi,165,Sacred Heart Catholic Church,,"D'Iberville, 39540",,
Mississippi,165,Sacred Heart Catholic Elementary,,"D'Iberville, 39540",,
Mississippi,165,Sacred Heart Dedeaux Parish,,"Pass Christian, Mississippi, 39571-9961",,
Mississippi,165,Sacred Heart Mission,,"Winona, Mississippi, 38967-2238",,
Mississippi,165,Sacred Heart Parish,,"Pascagoula, Mississippi, 39581",,
Mississippi,165,Sacred Heart Parish,,"Hattiesburg, Mississippi, 39401",,
Mississippi,165,Sacred Heart Parish,,"Louisville, Mississippi, 39339-2222",,
Mississippi,165,Sacred Heart Parish,,"Canton, Mississippi, 39046-3818",,
Mississippi,165,Sacred Heart Parish,,"Rosedale, Mississippi, 38769-0307",,
Mississippi,165,Sacred Heart Parish,,"Greenville, Mississippi, 38701-3836",,
Mississippi,165,St. Alphonsus Parish,,"McComb, Mississippi, 39648",,
Mississippi,165,St. Alphonsus Parish,,"Ocean Springs, Mississippi, 39564",,
Mississippi,165,St. Ann Mission,,"Pass Christian, Mississippi, 39571",,
Mississippi,165,St. Ann Mission,,"Hurley, Mississippi, 39555",,
Mississippi,165,St. Ann Parish,,"Bay Saint Louis, Mississippi, 39520",,
Mississippi,165,St. Ann Parish,,"Gulfport, Mississippi, 39503-8868",,
Mississippi,165,St. Anne Mission,,"Newton, Mississippi, 39045",,
Mississippi,165,St. Anne Parish,,"Fayette, Mississippi, 39069",,
Mississippi,165,St. Anne Parish,,"Carthage, Mississippi, 39051-3113",,
Mississippi,165,St. Benedict the Moor,,"Indianola, Mississippi, 38751-3113",,
Mississippi,165,St. Bernadette Parish,,"Waynesboro, Mississippi, 39367-2811",,
Mississippi,165,St. Catherine Mission,,"Conehatta, Mississippi, 39057",,
Mississippi,165,St. Charles Borromeo Church,,"Picayune, Mississippi, 39466-3233",,
Mississippi,165,St. Christopher Church,,"Pontotoc, Mississippi, 38863",,
Mississippi,165,St. Clare Parish,,"Waveland, Mississippi, 39576-4001",,
Mississippi,165,St. Elizabeth,,"Clarksdale, Mississippi, 38614",,
Mississippi,165,St. Elizabeth Ann Seton Parish,,"Ocean Springs, Mississippi, 39564-5902",,
Mississippi,165,St. Francis,,"Madison, Mississippi, 39110",,
Mississippi,165,St. Francis of Assisi Church,,"New Albany, Mississippi, 38652-4509",,
Mississippi,165,St. Francis of Assisi Church,,"Aberdeen, Mississippi, 39730-3163",,
Mississippi,165,St. Francis of Assisi Parish,,"Greenwood, Mississippi, 38930-6070",,
Mississippi,165,St. Francis of Assisi Parish,,"Booneville, Mississippi, 38829-0654",,
Mississippi,165,St. Francis of Assisi Parish,,"Shaw, Mississippi, 38773",,
Mississippi,165,St. Francis Parish,,"Brookhaven, Mississippi, 39601-3308",,
Mississippi,165,St. Francis Parish,,"Yazoo City, Mississippi, 39194-4398",,
Mississippi,165,St. Francis Xavier Parish,,"Wiggins, Mississippi, 39577-0566",,
Mississippi,165,St. Gregory The Great Parish,,"Senatobia, Mississippi, 38668-0129",,
Mississippi,165,St. Helen Church,,"Amory, Mississippi, 38821-5406",,
Mississippi,165,St. James Catholic Church,,"Tupelo, Mississippi, 38804",,
Mississippi,165,St. James Church,,"Tupelo, Mississippi, 38804",,
Mississippi,165,St. James Mission,,"Magnolia, Mississippi, 39652",,
Mississippi,165,St. James Parish,,"Gulfport, Mississippi, 39506-7267",,
Mississippi,165,St. James Parish,,"Corinth, Mississippi, 38834",,
Mississippi,165,St. James Parish,,"Leland, Mississippi, 38756-2710",,
Mississippi,165,St. John Neumann Catholic Church,,"Eupora, Mississippi, 39744",,
Mississippi,165,St. John Parish,,"Crystal Springs, Mississippi, 39059-2516",,
Mississippi,165,St. John Parish,,"Charleston, Mississippi, 38921-2209",,
Mississippi,165,St. John the Baptist Mission,,"Sardis, Mississippi, 38666",,
Mississippi,165,St. John the Baptist Mission,,"Cranfield, Mississippi, 39661",,
Mississippi,165,St. John The Evangelist Parish,,"Gulfport, Mississippi, 39501",,
Mississippi,165,St. John the Evangelist Parish,,"Oxford, Mississippi, 38655-4329",,
Mississippi,165,St. Joseph,,"Gluckstadt, Mississippi, 39110",,
Mississippi,165,St. Joseph,,"P, Mississippi, 7381",,
Mississippi,165,St. Joseph,,"Woodville, Mississippi, 39669",,
Mississippi,165,St. Joseph Catholic Church,,"Starkville, 39759",,
Mississippi,165,St. Joseph Mission,,"Poplarville, Mississippi, 39470",,
Mississippi,165,St. Joseph Parish,,"Starkville, Mississippi, 39759-3439",,
Mississippi,165,St. Joseph Parish,,"Woodville, Mississippi, 39669-0668",,
Mississippi,165,St. Joseph Parish,,"Gulfport, Mississippi, 39503-2725",,
Mississippi,165,St. Joseph Parish,,"Meridian, Mississippi, 39302-0532",,
Mississippi,165,St. Joseph Parish,,"Port Gibson, Mississippi, 39150-2419",,
Mississippi,165,St. Joseph Parish,,"Greenville, Mississippi, 38701-4041",,
Mississippi,165,St. Joseph Parish,,"Holly Springs, Mississippi, 38635-0430",,
Mississippi,165,St. Joseph the Worker Parish,,"Moss Point, Mississippi, 39562-8549",,
Mississippi,165,St. Jude Catholic Church,,"Pearl, Mississippi, 39208-5813",,
Mississippi,165,St. Kazimier,,"Lucien, Mississippi, 09-504",,
Mississippi,165,St. Lawrence Mission,,"Monticello, Mississippi, 39654",,
Mississippi,165,St. Lucy Mission,,"Lucedale, Mississippi, 39452",,
Mississippi,165,St. Luke the Evangelist,,"Bruce, Mississippi, 38915",,
Mississippi,165,St. Martin,,"Seyne Les Alpes, Mississippi, 4140",,
Mississippi,165,St. Martin of Tours Mission,,"Crystal Springs, Mississippi, 39059",,
Mississippi,165,St. Mary Basilica,,"Natchez, Mississippi, 39120-3354",,
Mississippi,165,St. Mary Catholic Church,,"Jackson, Mississippi, 39209-6239",,
Mississippi,165,St. Mary Mission,,"Prentiss, Mississippi, 39474",,
Mississippi,165,St. Mary Mission,,"Iuka, Mississippi, 38852",,
Mississippi,165,St. Mary Parish,,"Gautier, Mississippi, 39553",,
Mississippi,165,St. Mary Parish,,"Yazoo City, Mississippi, 39194-4224",,
Mississippi,165,St. Mary Parish,,"Vicksburg, Mississippi, 39183",,
Mississippi,165,St. Mary Parish,,"Shelby, Mississippi, 38774-0208",,
Mississippi,165,St. Mary Parish,,"Batesville, Mississippi, 38606-0569",,
Mississippi,165,St. Mary's Catholic Church,,"Biloxi, Mississippi, 39532-8149",,
Mississippi,165,St. Mathew Church,,"Ripley, Mississippi, 38663",,
Mississippi,165,St. Matthew the Apostle,,"Perkinston, Mississippi, 39573",,
Mississippi,165,St. Michael,,"Forest, Mississippi, 39074-0388",,
Mississippi,165,St. Michael Parish,,"Paulding, Mississippi, 39348-0496",,
Mississippi,165,St. Michael Parish,,"Vicksburg, Mississippi, 39180-8246",,
Mississippi,165,St. Michael's Catholic Church,,"Biloxi, Mississippi, 39530",,
Mississippi,165,St. Patrick Mission,,"Fort Adams, Mississippi, 39669",,
Mississippi,165,St. Patrick Parish,,"Meridian, Mississippi, 39302",,
Mississippi,165,St. Paul Catholic Church,,"Flowood, Mississippi, 39232",,
Mississippi,165,St. Paul Mission,,"Raleigh, Mississippi, 39153",,
Mississippi,165,St. Paul Parish,,"Vicksburg, Mississippi, 39180-3223",,
Mississippi,165,St. Paul the Apostle Mission,,"Tylertown, Mississippi, 39667",,
Mississippi,165,St. Peter Parish,,"Bassfield, Mississippi, 39421-0100",,
Mississippi,165,St. Peter Parish,,"Grenada, Mississippi, 38901-3808",,
Mississippi,165,St. Peter The Apostle Parish,,"Pascagoula, Mississippi, 39567",,
Mississippi,165,St. Richard,,"Jackson, Mississippi, 39206-6127",,
Mississippi,165,St. Richard Parish,,"Jackson, Mississippi, 39206",,
Mississippi,165,St. Rose de Lima Parish,,"Bay Saint Louis, Mississippi, 39520",,
Mississippi,165,St. Stephen,,"Pass Christian, Mississippi, 39571",,
Mississippi,165,St. Stephen Parish,,"Magee, Mississippi, 39111-0427",,
Mississippi,165,St. Teresa Parish,,"Chatawa, Mississippi, 39632-0011",,
Mississippi,165,St. Theresa Church,,"Okolona, Mississippi, 38860-1401",,
Mississippi,165,St. Therese Mission,,"Philadelphia, Mississippi, 39350",,
