State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Missouri,573,All Saints Parish,,"Saint Peters, Missouri, 63376",,
Missouri,573,All Saints Parish,,"University City, Missouri, 63130",,
Missouri,573,All Souls Parish,,"Overland, Missouri, 63114",,
Missouri,573,Annunciation Parish,,"California, Missouri, 65018",,
Missouri,573,Annunciation Parish,,"Kearney, Missouri, 64060",,
Missouri,573,Annunciation Parish,,"Webster Groves, Missouri, 63119",,
Missouri,573,Archdiocese of St. Louis,,"Saint Louis, Missouri, 63119",,
Missouri,573,Ascension Parish,,"Chesterfield, Missouri, 63005",,
Missouri,573,Assumption,,"Morrison, Missouri, 65061",,
Missouri,573,Assumption Parish,,"O'Fallon, 63366",,
Missouri,573,Assumption Parish,,"Saint Louis, Missouri, 63128",,
Missouri,573,Assumption Parish,,"New Haven, Missouri, 63068",,
Missouri,573,Basilica of St Louis The King,,"Saint Louis, Missouri, 63102",,
Missouri,573,Blessed Sacrament Parish,,"Bethany, Missouri, 64424",,
Missouri,573,Boy Scout Troop 210 (Immaculate Conception Parish),,"Springfield, Missouri, 65804",,
Missouri,573,Calvary Cemetery & Mausoleum,,"Saint Louis, Missouri, 63115",,
Missouri,573,Catechesis Commission,,"Springfield, Missouri, 65806",,
Missouri,573,Cathedral Basilica of St Louis,,"Saint Louis, Missouri, 63108-2496",,
Missouri,573,Cathedral of St Joseph,,"Jefferson City, Missouri, 65109",,
Missouri,573,Cathedral of St. Mary of the Annunciation,,"Cape Girardeau, Missouri, 63703-6242",,
Missouri,573,Cathedral of The Immaculate Conception,,"Kansas City, Missouri, 64105",,
Missouri,573,Catholic Campus Ministry,,"Springfield, Missouri, 65806-3513",,
Missouri,573,Catholic Campus Ministry - Missouri Southern State University,,"Joplin, Missouri, 64801-4396",,
Missouri,573,Catholic Campus Ministry - SEMO Newman Center,,"Cape Girardeau, Missouri, 63701-4712",,
Missouri,573,Catholic Schools Office,,"Springfield, Missouri, 65806",,
Missouri,573,Christ Prince of Peace Parish,,"Manchester, Missouri, 63011",,
Missouri,573,Christ the King Parish,,"Bunker, Missouri, 63629",,
Missouri,573,Christ The King Parish,,"Kansas City, Missouri, 64114",,
Missouri,573,Christ The King Parish,,"University City, Missouri, 63130",,
Missouri,573,Christ The Savior Parish (Brewer),,"Perryville, Missouri, 63775",,
Missouri,573,Church of Our Lady,,"Festus, Missouri, 63028",,
Missouri,573,Church of The Annunziata Parish,,"Ladue, Missouri, 63124",,
Missouri,573,Church of The Assumption Parish,,"Herculaneum, Missouri, 63048-1328",,
Missouri,573,Church of The Good Shepherd Parish,,"Hillsboro, Missouri, 63050-4342",,
Missouri,573,Church of The Risen Savior Parish,,"Rhineland, Missouri, 65069",,
Missouri,573,Church of The Santa Fe,,"Buckner, Missouri, 64016-0317",,
Missouri,573,Co-Cathedral of St Joseph,,"Saint Joseph, Missouri, 64501",,
Missouri,573,"Communication, Media, Publications",,"Springfield, Missouri, 65806",,
Missouri,573,Conception Abbey,,"Conception, Missouri, 64433",,
Missouri,573,Coronation of Our Lady Parish,,"Grandview, Missouri, 64030",,
Missouri,573,Cure of Ars Parish,,"Shrewsbury, Missouri, 63119",,
Missouri,573,Deacons of the Diocese Springfield -Cape Girardeau,,"Springfield, Missouri, 65806",,
Missouri,573,Diocesan Council of Catholic Women,,"Springfield, Missouri, 65806",,
Missouri,573,Diocese of Jefferson City,,"Jefferson City, Missouri, 65109",,
Missouri,573,Diocese of Kansas City - St. Joseph,,"Kansas City, Missouri, 64105",,
Missouri,573,Diocese of Springfield - Cape Girardeau,,"Springfield, Missouri, 65806-3143",,
Missouri,573,Diocese of Springfield - Cape Girardeau Newsletter,,"Springfield, Missouri, 65806",,
Missouri,573,Eparchy of Our Lady of Lebanon,,"Saint Louis, Missouri, 63104",,
Missouri,573,Epiphany of Our Lord Parish,,"Saint Louis, Missouri, 63139",,
Missouri,573,Fontbonne University,,"Saint Louis, Missouri, 63105",,
Missouri,573,Friends of St. Teresa,,"Campbell, Missouri, 63933",,
Missouri,573,Good Shepherd Parish,,"Smithville, Missouri, 64089",,
Missouri,573,Guardian Angel Parish,,"Oran, Missouri, 63771",,
Missouri,573,Guardian Angels Parish,,"Kansas City, Missouri, 64111-4227",,
Missouri,573,Holy Cross Parish,,"Cuba, Missouri, 65453",,
Missouri,573,Holy Cross Parish,,"Kansas City, Missouri, 64123-1897",,
Missouri,573,Holy Family,,"Sweet Springs, Missouri, 65351",,
Missouri,573,Holy Family Parish,,"Shell Knob, Missouri, 65747-0229",,
Missouri,573,Holy Family Parish,,"Freeburg, Missouri, 65035",,
Missouri,573,Holy Family Parish,,"Kansas City, Missouri, 64155",,
Missouri,573,Holy Family Parish,,"Hannibal, Missouri, 63401",,
Missouri,573,Holy Family Parish,,"New Haven, Missouri, 63068",,
Missouri,573,Holy Guardian Angels,,"Brinktown, Missouri, 65443",,
Missouri,573,Holy Infant Parish,,"Ballwin, Missouri, 63021-0802",,
Missouri,573,Holy Martyrs,,"Miraflores Alto, Missouri, United States",,
Missouri,573,Holy Martyrs of Japan Parish,,"Sullivan, Missouri, 63080",,
Missouri,573,Holy Martyrs Parish,,"Kansas City, Missouri, 64131",,
Missouri,573,Holy Redeemer Parish,,"Webster Groves, Missouri, 63119",,
Missouri,573,Holy Rosary Church,,"Monroe City, Missouri, 63456",,
Missouri,573,Holy Rosary Parish,,"Clinton, Missouri, 64735",,
Missouri,573,Holy Rosary Parish,,"Kansas City, Missouri, 64106",,
Missouri,573,Holy Rosary Parish,,"Warrenton, Missouri, 63383",,
Missouri,573,Holy Spirit Catholic Church,,"Maryland Heights, Missouri, 63043",,
Missouri,573,Holy Spirit Parish,,"Centralia, Missouri, 65240",,
Missouri,573,Holy Spirit Parish,,"Lee's Summit, 64082",,
Missouri,573,Holy Trinity,,"Urich, Missouri, 64788",,
Missouri,573,Holy Trinity,,"Saint Ann, Missouri, 63074",,
Missouri,573,Holy Trinity Parish,,"Springfield, Missouri, 65804",,
Missouri,573,Holy Trinity Parish,,"Marshfield, Missouri, 65706-1865",,
Missouri,573,Holy Trinity Parish,,"Aurora, Missouri, 65605",,
Missouri,573,Holy Trinity Parish,,"Weston, Missouri, 64098-1301",,
Missouri,573,Immacolata Parish,,"Richmond Heights, Missouri, 63117",,
Missouri,573,Immaculate Conception,,"Park Hills, Missouri, 63601-0066",,
Missouri,573,Immaculate Conception,,"Loose Creek, Missouri, 65054",,
Missouri,573,Immaculate Conception Catholic School,,"New Madrid, Missouri, 63869",,
Missouri,573,Immaculate Conception Church,,"Richmond, Missouri, 64085",,
Missouri,573,Immaculate Conception Church,,"New Madrid, Missouri, 63869",,
Missouri,573,Immaculate Conception Parish,,"Springfield, Missouri, 65804-4237",,
Missouri,573,Immaculate Conception Parish,,"Saint James, Missouri, 65559",,
Missouri,573,Immaculate Conception Parish,,"Jefferson City, Missouri, 65101",,
Missouri,573,Immaculate Conception Parish,,"Montrose, Missouri, 64770",,
Missouri,573,Immaculate Conception Parish,,"Brookfield, Missouri, 64628",,
Missouri,573,Immaculate Conception Parish,,"Lexington, Missouri, 64067",,
Missouri,573,Immaculate Conception Parish,,"Jackson, Missouri, 63755",,
Missouri,573,Immaculate Conception Parish,,"Saint Mary, Missouri, 63673",,
Missouri,573,Immaculate Conception Parish,,"Macon, Missouri, 63552",,
Missouri,573,Immaculate Conception Parish,,"Old Monroe, Missouri, 63369",,
Missouri,573,Immaculate Conception Parish,,"Dardenne Prairie, Missouri, 63368",,
Missouri,573,Immaculate Conception Parish,,"Montgomery City, Missouri, 63361",,
Missouri,573,Immaculate Conception Parish,,"Augusta, Missouri, 63332",,
Missouri,573,Immaculate Conception Parish,,"Maplewood, Missouri, 63143",,
Missouri,573,Immaculate Conception Parish,,"Union, Missouri, 63084",,
Missouri,573,Immaculate Conception Parish,,"Arnold, Missouri, 63010",,
