State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Montana,210,Billings Vicariate CCW,,"Billings, Montana, 59105",,
Montana,210,Blessed Sacrament Mission,,"Shawmut, Montana, 59078",,
Montana,210,Blessed Sacrament Parish,,"Lame Deer, Montana, 59043",,
Montana,210,Blessed Trinity,,"Missoula, Montana, 59801-3224",,
Montana,210,Carroll College,,"Helena, Montana, 59625",,
Montana,210,Cathedral of St Ann,,"Great Falls, Montana, 59401",,
Montana,210,Cathedral of St Helena,,"Helena, Montana, 59601-4014",,
Montana,210,"Chapel of the Ascension Mission, Diocese of Helena",,"East Glacier, Montana, 59434",,
Montana,210,Christ the King,,"Busby, Montana, 59016",,
Montana,210,Christ The King Parish (Newman Parish),,"Missoula, Montana, 59801-4230",,
Montana,210,Corpus Christi Parish,,"Great Falls, Montana, 59404",,
Montana,210,Diocese of Great Falls - Billings,,"Great Falls, Montana, 59403-1399",,
Montana,210,Diocese of Helena,,"Helena, Montana, 59601",,
Montana,210,Georgetown Lake Mission,,"Georgetown Lake, 59711",,
Montana,210,Guardian Angel Catholic Church,,"Power, Montana, 59468",,
Montana,210,Holy Cross Mission,,"Dupuyer, Montana, 59432",,
Montana,210,Holy Cross Parish,,"Townsend, Montana, 59644-0610",,
Montana,210,Holy Family,,"Winifred, Montana, 59489",,
Montana,210,Holy Family,,"Glentana, Montana, 59240",,
Montana,210,Holy Family Catholic Church,,"Anaconda, Montana, 59711",,
Montana,210,Holy Heart of Jesus,,"Silavotas, Montana, 59027",,
Montana,210,Holy Rosary Parish,,"Bozeman, Montana, 59715-4647",,
Montana,210,Holy Rosary Parish,,"Billings, Montana, 59101",,
Montana,210,Holy Spirit Parish,,"Butte, Montana, 59701",,
Montana,210,Holy Spirit Parish,,"Great Falls, Montana, 59405",,
Montana,210,Holy Trinity Parish,,"Stockett, Montana, 59480",,
Montana,210,Immaculate Conception Catholic Church,,"Polson, Montana, 59860-7023",,
Montana,210,Immaculate Conception Mission,,"Judith Gap, Montana, 59453",,
Montana,210,Immaculate Conception Parish,,"Deer Lodge, Montana, 59722-1531",,
Montana,210,Immaculate Conception Parish,,"Butte, Montana, 59701",,
Montana,210,Immaculate Conception Parish,,"Fort Benton, Montana, 59442",,
Montana,210,Immaculate Conception Parish,,"Forsyth, Montana, 59327",,
Montana,210,Immaculate Conception Parish,,"Wolf Point, Montana, 59201",,
Montana,210,John Paul II Catholic Parish,,"Bigfork, Montana, 59911",,
Montana,210,Knights of Columbus Montana State Council,,"Helena, Montana, 59601-3888",,
Montana,210,Little Flower Parish,,"Browning, Montana, 59417",,
Montana,210,Little Flower Parish Blackfeet,,"Browning, Montana, 59417",,
Montana,210,Living Water Mission,,"Seeley Lake, Montana, 59868",,
Montana,210,Mary Queen of Peace,,"Billings, Montana, 59101",,
Montana,210,Most Blessed Sacrament Adoration Chapel,,"Black Eagle, Montana, 59414-1096",,
Montana,210,Mount Alexander's Parish,,"Mt. Alexander, Montana, United States",,
Montana,210,Notre Dame Mission,,"Twin Bridges, Montana, 59754",,
Montana,210,Noxon Mission,,"Noxon, Montana, 59853",,
Montana,210,Our Lady of Guadalupe,,"Malmstrom AFB, Montana, 59402",,
Montana,210,Our Lady of Guadalupe Parish,,"Billings, Montana, 59101",,
Montana,210,Our Lady of Loretto Parish,,"Lodge Grass, Montana, 59050",,
Montana,210,Our Lady of Lourdes Parish,,"Great Falls, Montana, 59405",,
Montana,210,Our Lady of Lourdes Parish,,"Poplar, Montana, 59255",,
Montana,210,Our Lady of Mercy,,"Melstone, Montana, 59054",,
Montana,210,Our Lady of Mercy Parish,,"Eureka, Montana, 59917",,
Montana,210,Our Lady of Ransom,,"Hingham, Montana, 58528",,
Montana,210,Our Lady of Swan Valley Mission,,"Condon, Montana, 59826",,
Montana,210,Our Lady of the Lake,,"Fort Peck, Montana, 59223",,
Montana,210,Our Lady of the Lake Mission,,"Canyon Ferry, Montana, 59635",,
Montana,210,Our Lady of the Pines Parish,,"West Yellowstone, Montana, 59758",,
Montana,210,Our Lady of the Valley Parish,,"Helena, Montana, 59602-6639",,
Montana,210,Our Lady Of Wisdom Mission,,"Wisdom, Montana, 59761",,
Montana,210,Queen of the Angels,,"Nashua, Montana, 59248",,
Montana,210,Resurrection,,"Bozeman, Montana, 59715-5404",,
Montana,210,Risen Christ,,"Kalispell, Montana, 59901",,
Montana,210,Sacred Heart,,"Terry, Montana, 59349",,
Montana,210,Sacred Heart,,"Inverness, Montana, 59530",,
Montana,210,Sacred Heart,,"Hobson, Montana, 59452",,
Montana,210,Sacred Heart,,"Fort Belknap, Montana, 59526",,
Montana,210,Sacred Heart,,"Dodson, Montana, 59524",,
Montana,210,Sacred Heart,,"Cascade, Montana, 59421",,
Montana,210,Sacred Heart,,"Bainville, Montana, 59212",,
Montana,210,Sacred Heart,,"S. H. Mount, Montana, 686 006",,
Montana,210,Sacred Heart Mission,,"Hot Springs, Montana, 59845",,
Montana,210,Sacred Heart Mission,,"Browning, Montana, 59417",,
Montana,210,Sacred Heart Mission,,"Arlee, Montana, 59821-9358",,
Montana,210,Sacred Heart Parish,,"Ronan, Montana, 59864-2308",,
Montana,210,Sacred Heart Parish,,"Glendive, Montana, 59330-1705",,
Montana,210,Sacred Heart Parish,,"Miles City, Montana, 59301-1016",,
Montana,210,Sacred Heart Parish,,"Bridger, Montana, 59014",,
Montana,210,Saint Kateri Tekakwitha,,"Wyola, Montana, 59089",,
Montana,210,Servants of God's Divine Mercy,,"Browning, Montana, 59417",,
Montana,210,Spirit of Christ Mission,,"Lolo, Montana, 59847-9722",,
Montana,210,SS Cyril & Methodius Parish,,"East Helena, Montana, 59635",,
Montana,210,SS Cyril and Methodius,,"Ballantine, Montana, 59006",,
Montana,210,St. Agnes Parish,,"Red Lodge, Montana, 59068",,
Montana,210,St. Albert,,"Hinsdale, Montana, 59241",,
Montana,210,St. Albert The Great,,"Alberton, Montana, 59834",,
Montana,210,St. Aloysius,,"Winnett, Montana, 59087",,
Montana,210,St. Ann,,"Vida, Montana, 59274",,
Montana,210,St. Ann,,"Bonner, Montana, 59823",,
Montana,210,St. Ann Parish,,"Butte, Montana, 59701-6102",,
Montana,210,St. Ann Parish,,"Fort Shaw, Montana, 59443",,
Montana,210,St. Anne Parish,,"Heart Butte, Montana, 59448",,
Montana,210,St. Anne's Church,,"Heart Butte, Montana, 59448",,
Montana,210,St. Anthony,,"Plevna, Montana, 59344",,
Montana,210,St. Anthony,,"Denton, Montana, 59430",,
Montana,210,St. Anthony,,"Box Elder, Montana, 59521",,
Montana,210,St. Anthony Parish,,"Missoula, Montana, 59801",,
Montana,210,St. Anthony Parish,,"Culbertson, Montana, 59218",,
Montana,210,St. Anthony Parish,,"Laurel, Montana, 59044",,
Montana,210,St. Bartholomew Parish,,"White Sulphur Springs, Montana, 59645",,
Montana,210,St. Benedict Parish,,"Roundup, Montana, 59072",,
Montana,210,St. Bernard's Parish,,"Billings, Montana, 59105-3799",,
Montana,210,St. Catherine,,"Fairview, Montana, 59221",,
Montana,210,St. Catherine Parish,,"Boulder, Montana, 59632",,
Montana,210,St. Charles Borromeo Catholic Church,,"Whitefish, Montana, 59937",,
Montana,210,St. Charles Borromeo Mission,,"Pryor, Montana, 59066",,
Montana,210,St. Clement,,"Monarch, Montana, 59463",,
Montana,210,St. Cyril,,"Geyser, Montana, 59447",,
Montana,210,St. David Parish,,"Broadus, Montana, 59317",,
Montana,210,St. Dennis Parish,,"Crow Agency, Montana, 59022",,
Montana,210,St. Francis Assisi,,"Saco, Montana, 59261",,
Montana,210,St. Francis de Sales Parish,,"Richey, Montana, 59259",,
Montana,210,St. Francis Junior High Youth Ministry,,"Hamilton, Montana, 59840",,
Montana,210,St. Francis Parish,,"Hamilton, Montana, 59840-2750",,
Montana,210,St. Francis Parish,,"Valier, Montana, 59486",,
Montana,210,St. Francis Xavier Parish,,"Missoula, Montana, 59802",,
Montana,210,St. Francis Xavier Parish,,"Circle, Montana, 59215",,
Montana,210,St. Gabriel Parish,,"Chinook, Montana, 59523",,
Montana,210,St. George,,"Malta, Montana, QRM 03",,
Montana,210,St. Ignatius Parish,,"Saint Ignatius, Montana, 59865",,
Montana,210,St. Joan of Arc,,"Ekalaka, Montana, 59324",,
Montana,210,St. John,,"Joliet, Montana, 59041",,
Montana,210,St. John Berchman's Mission,,"Jocko, Montana, 59821",,
Montana,210,St. John Parish,,"Fairfield, Montana, 59436-9348",,
Montana,210,St. John The Apostle Mission,,"Melrose, Montana, 59743",,
Montana,210,St. John the Baptist,,"Frenchtown, Montana, 59834-",,
Montana,210,St. John the Baptist Catholic Church,,"Jordan, Montana, 59337",,
Montana,210,St. John the Baptist Mission,,"Clancy, Montana, 59634",,
Montana,210,St. John the Evangelist Mission,,"Boulder, Montana, 59632",,
Montana,210,St. John The Evangelist Parish,,"Butte, Montana, 59701-5959",,
Montana,210,St. John The Evangelist Parish,,"Baker, Montana, 59313",,
Montana,210,St. John Vianney Church,,"Belgrade, Montana, 59714",,
Montana,210,St. Joseph,,"Hysham, Montana, 59038",,
Montana,210,St. Joseph,,"Fromberg, Montana, 59029",,
Montana,210,St. Joseph,,"Frazer, Montana, 59225",,
Montana,210,St. Joseph Mission,,"Florence, Montana, 59833",,
Montana,210,St. Joseph Mission,,"Charlo, Montana, 59824",,
Montana,210,St. Joseph of Big Sky Mission,,"Big Sky, Montana, 59716",,
Montana,210,St. Joseph Parish,,"Libby, Montana, 59923-2115",,
Montana,210,St. Joseph Parish,,"Sheridan, Montana, 59749",,
Montana,210,St. Joseph Parish,,"Butte, Montana, 59701",,
Montana,210,St. Joseph Parish,,"Choteau, Montana, 59422",,
Montana,210,St. Joseph Parish,,"Great Falls, Montana, 59404-2999",,
Montana,210,St. Joseph Parish,,"Plentywood, Montana, 59254",,
Montana,210,St. Joseph Parish,,"Harlowton, Montana, 59036",,
