State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Nebraska,335,All Saints Catholic Church,,"Holdrege, Nebraska, 68949",,
Nebraska,335,All Saints Catholic School & Little Saints Preschool,,"Holdrege, Nebraska, 68949",,
Nebraska,335,All Saints Mission,,"Hyannis, Nebraska, 69350",,
Nebraska,335,All Souls Parish,,"Bridgeport, Nebraska, 69336",,
Nebraska,335,Archdiocese of Omaha,,"Omaha, Nebraska, 68132-2795",,
Nebraska,335,Assumption,,"Deweese, Nebraska, 68934",,
Nebraska,335,Assumption Blessed Virgin Mary Parish,,"West Point, Nebraska, 68788",,
Nebraska,335,Assumption Blessed Virgin Mary Parish,,"Omaha, Nebraska, 68107",,
Nebraska,335,Assumption of Blessed Virgin Mary Mission,,"Sargent, Nebraska, 68874",,
Nebraska,335,Assumption of Blessed Virgin Mary Parish,,"Omaha, Nebraska, 68108",,
Nebraska,335,Assumption Parish,,"Dwight, Nebraska, 68635",,
Nebraska,335,Blessed Sacrament Parish,,"Grand Island, Nebraska, 68801",,
Nebraska,335,Blessed Sacrament Parish,,"Lincoln, Nebraska, 68502",,
Nebraska,335,Blessed Sacrament Parish - Closed,,"Omaha, Nebraska, 68111",,
Nebraska,335,Cathedral of The Nativity of The Blessed Virgin Mary,,"Grand Island, Nebraska, 68801-6549",,
Nebraska,335,Cathedral of The Risen Christ,,"Lincoln, Nebraska, 68506",,
Nebraska,335,Christ The King Parish,,"Gering, Nebraska, 69341",,
Nebraska,335,Christ The King Parish,,"Cozad, Nebraska, 69130-1338",,
Nebraska,335,Christ The King Parish,,"Omaha, Nebraska, 68114",,
Nebraska,335,Church of The Holy Spirit,,"Plattsmouth, Nebraska, 68048-2001",,
Nebraska,335,College of St. Mary,,"Omaha, Nebraska, 68124",,
Nebraska,335,Cristo Rey,,"Lincoln, Nebraska, 68510",,
Nebraska,335,Diocese of Grand Island,,"Grand Island, Nebraska, 68802",,
Nebraska,335,Diocese of Lincoln,,"Lincoln, Nebraska, 68501-0328",,
Nebraska,335,Fr. Gary Coulter,,"Waverly, Nebraska, 68462",,
Nebraska,335,Holy Cross Mission,,"Bassett, Nebraska, 68714",,
Nebraska,335,Holy Cross Parish,,"Beemer, Nebraska, 68716",,
Nebraska,335,Holy Cross Parish,,"Omaha, Nebraska, 68106",,
Nebraska,335,Holy Cross Parish,,"Bancroft, Nebraska, 68004",,
