State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
New Jersey,851,Action Pregnancy Center,,"New Brunswick, New Jersey, 8901",,
New Jersey,851,Annunciation Parish,,"Bloomsbury, New Jersey, 8804",,
New Jersey,851,Annunciation Parish of the Blessed Virgin Mary,,"Wayne, New Jersey, 07470-8148",,
New Jersey,851,"Aquinas Institute, Princeton University",,"Princeton, New Jersey, 8540",,
New Jersey,851,Archdiocese of Newark,,"Newark, New Jersey, 07104-0500",,
New Jersey,851,Ascension Parish,,"Bradley Beach, New Jersey, 07720-1397",,
New Jersey,851,Ascension Parish,,"New Milford, New Jersey, 7646",,
New Jersey,851,Assumption,,"Wrightstown, New Jersey, 8562",,
New Jersey,851,Assumption - All Saints Parish,,"Jersey City, New Jersey, 7304",,
New Jersey,851,Assumption Church,,"Atco, New Jersey, 08004-1997",,
New Jersey,851,Assumption of Blessed Virgin Mary Parish,,"Perth Amboy, New Jersey, 8861",,
New Jersey,851,Assumption of the Blessed Virgin Mary,,"Wildwood Crest, New Jersey, 08260-3826",,
New Jersey,851,Assumption of The Blessed Virgin Mary Parish,,"Morristown, New Jersey, 7960",,
New Jersey,851,Assumption of The Blessed Virgin Mary Parish,,"Bayonne, New Jersey, 7002",,
New Jersey,851,Bishop J. J. McCarthy Assembly,,"Cherry Hill, 8034",,
New Jersey,851,Bl. Miriam Teresa at St. Andrew the Apostle,,"Bayonne, New Jersey, 7002",,
New Jersey,851,"Bl. Miriam Teresa Demjanovich Parish at St. Mary, Star of the Sea, Church",,"Bayonne, New Jersey, 07002",,
New Jersey,851,Blessed Kateri Tekakwitha Parish,,"Sparta, New Jersey, 7871",,
New Jersey,851,Blessed Sacrament Parish,,"Martinsville, New Jersey, 8836",,
New Jersey,851,Blessed Sacrament Parish,,"Paterson, New Jersey, 7524",,
New Jersey,851,Blessed Sacrament Parish,,"Elizabeth, New Jersey, 7201",,
New Jersey,851,Blessed Sacrament St. Charles Borromeo Parish,,"Newark, New Jersey, 7108",,
New Jersey,851,Blessed Sacrament/ Our Lady of the Divine Shepherd Parish,,"Trenton, New Jersey, 08618-4495",,
New Jersey,851,Byzantine Catholic Eparchy of Passaic,,"Woodland Park, New Jersey, 07424-7175",,
