State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
New Mexico,316,All Saints,,"Santa Fe, New Mexico, 3000",,
New Mexico,316,Annunciation Parish,,"Albuquerque, New Mexico, 87110-4639",,
New Mexico,316,Aquinas Newman Center,,"Albuquerque, New Mexico, 87106",,
New Mexico,316,Archdiocese of Santa Fe,,"Albuquerque, New Mexico, 87120",,
New Mexico,316,Ascension Parish,,"Albuquerque, New Mexico, 87105",,
New Mexico,316,Assumption Catholic Church,,"Roswell, New Mexico, 88201-5814",,
New Mexico,316,Basilica of San Albino,,"Mesilla, New Mexico, 88046",,
New Mexico,316,Care of Blessed Mary Virgin,,"Vieksnaliai, New Mexico, 87154",,
New Mexico,316,Cathedral of San Francisco De Asis,,"Santa Fe, New Mexico, 87504",,
New Mexico,316,Cathedral of the Immaculate Heart of Mary,,"Las Cruces, New Mexico, 88001",,
New Mexico,316,Cathedral of The Sacred Heart,,"Gallup, New Mexico, 87301",,
New Mexico,316,Christ The King Parish,,"Shiprock, New Mexico, 87420",,
New Mexico,316,Church of the Incarnation,,"Rio Rancho, New Mexico, 87144",,
New Mexico,316,Cristo Rey Parish,,"Santa Fe, New Mexico, 87501-6188",,
New Mexico,316,Diocese of Gallup,,"Gallup, New Mexico, 87305-1338",,
New Mexico,316,Diocese of Las Cruces,,"Las Cruces, New Mexico, 88005",,
New Mexico,316,EL Santuario De Chimayo,,"Chimayo, New Mexico, 87522",,
New Mexico,316,Estancia Valley Catholic Parish Church,,"Moriarty, New Mexico, 87035-0129",,
New Mexico,316,Franciscan Province of Our Lady of Guadalupe,,"Albuquerque, New Mexico, 87195",,
New Mexico,316,Good Shepherd Catholic Mission,,"Gallup, New Mexico, 87305",,
New Mexico,316,Holy Child,,"Cebolla, New Mexico, 87518",,
New Mexico,316,Holy Child Parish,,"Tijeras, New Mexico, 87059",,
New Mexico,316,Holy Cross Church,,"Las Cruces, New Mexico, 88005-2055",,
New Mexico,316,Holy Family,,"Variadero, New Mexico, 88421",,
New Mexico,316,Holy Family,,"Hanover, New Mexico, 88041",,
New Mexico,316,Holy Family - St. Joseph Parish,,"Roy, New Mexico, 87743",,
New Mexico,316,Holy Family Mission,,"Columbus, New Mexico, 88029",,
New Mexico,316,Holy Family Parish,,"Deming, New Mexico, 88030",,
New Mexico,316,Holy Family Parish,,"Chimayo, New Mexico, 87522",,
New Mexico,316,Holy Family Parish,,"Albuquerque, New Mexico, 87105-2858",,
New Mexico,316,Holy Ghost Parish,,"Albuquerque, New Mexico, 87108-4823",,
New Mexico,316,Holy Trinity Parish,,"Arroyo Seco, New Mexico, 87514",,
New Mexico,316,Holy Trinity Parish,,"Flora Vista, New Mexico, 87415-9680",,
New Mexico,316,Immaculate Conception Parish,,"Alamogordo, New Mexico, 88310",,
New Mexico,316,Immaculate Conception Parish,,"Dexter, New Mexico, 88230",,
New Mexico,316,Immaculate Conception Parish,,"Cimarron, New Mexico, 87714-9705",,
New Mexico,316,Immaculate Conception Parish,,"Las Vegas, New Mexico, 87701",,
New Mexico,316,Immaculate Conception Parish,,"Albuquerque, New Mexico, 87102-3140",,
New Mexico,316,Immaculate Conception Parish,,"Tome, New Mexico, 87060-6001",,
New Mexico,316,Immaculate Conception Parish,,"Cuba, New Mexico, 87013-0040",,
New Mexico,316,Immaculate Conception School,,"Cuba, New Mexico, 87013",,
New Mexico,316,Immaculate Heart of Mary Parish,,"Los Alamos, New Mexico, 87544-2213",,
New Mexico,316,Infant Jesus Catholic Shrine,,"Hurley, New Mexico, 88043",,
New Mexico,316,John XXIII Catholic Community,,"Albuquerque, New Mexico, 87111-2787",,
New Mexico,316,K of C Council 9527,,"Las Cruces, New Mexico, 88005",,
New Mexico,316,Knights Of Columbus Albuquerque - Council #13596,,"Albuquerque, New Mexico, 87107",,
New Mexico,316,Knights of Columbus Assembly 1905,,"Rio Rancho, New Mexico, 87124",,
New Mexico,316,"Knights of Columbus Las Vegas, New Mexico Council #804",,"Las Vegas, New Mexico, 87701",,
New Mexico,316,Knights of Columbus St. Genevieve's Council 13969,,"Las Cruces, New Mexico, 88012",,
New Mexico,316,Nativity of Blessed Virgin Mary,,"Encinal, New Mexico, 87026",,
New Mexico,316,Nativity of the Blessed Virgin Mary,,"Datil, New Mexico, 87821",,
New Mexico,316,Nativity of The Blessed Virgin Mary Parish (Alameda),,"Albuquerque, New Mexico, 87114",,
New Mexico,316,Nuestra Senora de Dolores,,"Manzano, New Mexico, 87036",,
New Mexico,316,Nuestra Senora de Guadalupe,,"Velarde, New Mexico, 87582",,
New Mexico,316,Nuestra Senora de Guadalupe,,"Sapello, New Mexico, 87745",,
New Mexico,316,Nuestra Senora de Guadalupe,,"Glorieta, New Mexico, 87535",,
New Mexico,316,Nuestra Senora de Guadalupe,,"Gallina, New Mexico, 87017",,
New Mexico,316,Nuestra Senora de Guadalupe,,"Cerro, New Mexico, 87556-0200",,
New Mexico,316,Nuestra Senora De Guadalupe Del Valle De Pojoaque,,"Santa Fe, New Mexico, 87506-7140",,
New Mexico,316,Nuestra Senora de Guadalupe-Our Lady of,,"Ocate, New Mexico, 87734",,
New Mexico,316,Nuestra Senora de las Remedios,,"Galisteo, New Mexico, 87540",,
New Mexico,316,Nuestra Senora de San Juan de Los Lagos,,"Talpa, New Mexico, 87557",,
New Mexico,316,Nuestra Senora del Carmen,,"Llano Quemado, New Mexico, 87557",,
New Mexico,316,Nuestro Senor de Mapimi,,"San Antonito, New Mexico, 87832",,
New Mexico,316,Our Lady of All Nations,,"Rincon, New Mexico, 87940",,
New Mexico,316,Our Lady of Belen Parish,,"Belen, New Mexico, 87002",,
New Mexico,316,Our Lady of Fatima Parish,,"Bayard, New Mexico, 88023",,
New Mexico,316,Our Lady of Fatima Parish,,"Albuquerque, New Mexico, 87110-7745",,
New Mexico,316,Our Lady of Grace Parish,,"Loving, New Mexico, 88256",,
New Mexico,316,Our Lady of Grace Parish,,"Artesia, New Mexico, 88210",,
New Mexico,316,Our Lady of Guadalupe,,"San Jon, New Mexico, 88411",,
New Mexico,316,Our lady of Guadalupe,,"Navajo Dam, New Mexico, 87419",,
New Mexico,316,Our Lady of Guadalupe,,"Lake Arthur, New Mexico, 88253",,
New Mexico,316,Our Lady of Guadalupe,,"La Madera, New Mexico, 87539",,
New Mexico,316,Our Lady of Guadalupe,,"Jemez Pueblo, New Mexico, 87024",,
New Mexico,316,Our Lady of Guadalupe,,"Gallup, New Mexico, 87301",,
New Mexico,316,Our Lady of Guadalupe,,"Encino, New Mexico, 88321",,
New Mexico,316,Our Lady of Guadalupe,,"Des Moines, New Mexico, 88418",,
New Mexico,316,Our Lady of Guadalupe,,"Taos, New Mexico, 87571",,
New Mexico,316,Our Lady of Guadalupe,,"Pena Blanca, New Mexico, 87041",,
New Mexico,316,Our Lady of Guadalupe Parish,,"Hobbs, New Mexico, 88240",,
New Mexico,316,Our Lady of Guadalupe Parish,,"Clovis, New Mexico, 88101-7237",,
New Mexico,316,Our Lady of Guadalupe Parish,,"Villanueva, New Mexico, 87583",,
New Mexico,316,Our Lady of Guadalupe Parish,,"Albuquerque, New Mexico, 87107",,
New Mexico,316,Our Lady of Guadalupe Parish,,"Peralta, New Mexico, 87042",,
New Mexico,316,Our Lady of Guadalupe Shrine & Parish,,"Mesilla Park, New Mexico, 88047",,
New Mexico,316,Our Lady of Health Parish,,"Las Cruces, New Mexico, 88001-2255",,
New Mexico,316,Our Lady of Lavang Parish,,"Albuquerque, New Mexico, 87121-2485",,
New Mexico,316,Our Lady of Loretto,,"Bibo, New Mexico, 87055",,
New Mexico,316,Our Lady of Most Holy Rosary Parish,,"Albuquerque, New Mexico, 87105",,
New Mexico,316,Our Lady of Mount Carmel,,"Moriarty, New Mexico, 87035",,
New Mexico,316,Our Lady of Perpetual Help Mission,,"Mesquite, New Mexico, 88048",,
New Mexico,316,Our Lady of Perpetual Help Parish,,"Truth Or Consequences, New Mexico, 87901",,
New Mexico,316,Our Lady of Perpetual Help Parish,,"Albuquerque, New Mexico, 87110-5101",,
New Mexico,316,Our Lady of Purification Parish,,"Dona Ana, New Mexico, 88032",,
New Mexico,316,Our Lady of Sorrows,,"Willard, New Mexico, 87063",,
New Mexico,316,Our Lady of Sorrows,,"Rio En Medio, New Mexico, 87501",,
New Mexico,316,Our Lady of Sorrows,,"Arroyo Hondo, New Mexico, 87513",,
New Mexico,316,Our Lady of Sorrows,,"Bernalillo, New Mexico, 87004",,
New Mexico,316,Our Lady of Sorrows Parish,,"Las Vegas, New Mexico, 87701-3783",,
New Mexico,316,Our Lady of Sorrows Parish,,"La Joya, New Mexico, 87028",,
New Mexico,316,Our Lady of the Assumption,,"Jemez Pueblo, New Mexico, 87024",,
New Mexico,316,Our Lady of The Assumption Parish,,"Albuquerque, New Mexico, 87108",,
New Mexico,316,Our Lady of The Assumption Parish,,"Jemez Springs, New Mexico, 87025",,
New Mexico,316,Our Lady of the Light Catholic Church,,"La Luz, New Mexico, 88337",,
New Mexico,316,Our Lady of the Most Holy Rosary,,"Albuquerque, New Mexico, 87105",,
New Mexico,316,Our Lady of the Rosary,,"Lagunita, New Mexico, 87560",,
New Mexico,316,Our Lady of the Rosary Shrine,,"Santa Fe, New Mexico, 87501",,
New Mexico,316,Our Lord of Mercy Parish,,"Hatch, New Mexico, 87937",,
New Mexico,316,Prince of Peace,,"Albuquerque, New Mexico, 87122",,
New Mexico,316,Queen of Angels Chapel - Closed,,"Albuquerque, New Mexico, 87104",,
New Mexico,316,Queen of Heaven Parish,,"Albuquerque, New Mexico, 87110",,
New Mexico,316,Risen Savior Catholic Community,,"Albuquerque, New Mexico, 87109-5346",,
New Mexico,316,Sacred Heart,,"Nara Visa, New Mexico, 88430",,
New Mexico,316,Sacred Heart,,"Nambe, New Mexico, 87501",,
New Mexico,316,Sacred Heart,,"Bueyeros, New Mexico, 88415",,
New Mexico,316,Sacred Heart - Sagrado Corazon,,"Watrous, New Mexico, 87750",,
New Mexico,316,Sacred Heart Catholic Church,,"Cloudcroft, New Mexico, 88317",,
New Mexico,316,Sacred Heart Catholic Church,,"Albuquerque, New Mexico, 87102-3851",,
New Mexico,316,Sacred Heart Church,,"Clovis, New Mexico, 88101-5852",,
New Mexico,316,Sacred Heart of Jesus,,"Mesita, New Mexico, 87026",,
New Mexico,316,Sacred Heart Parish,,"Quemado, New Mexico, 87829-0338",,
New Mexico,316,Sacred Heart Parish,,"Espanola, New Mexico, 87532",,
New Mexico,316,Sacred Heart Parish,,"Waterflow, New Mexico, 87421",,
New Mexico,316,Sacred Heart Parish,,"Farmington, New Mexico, 87401",,
New Mexico,316,Sagrada Familia,,"Rowe, New Mexico, 87562",,
New Mexico,316,Sagrado Corazon,,"Costilla, New Mexico, 87524",,
New Mexico,316,San Antonio,,"Tajique, New Mexico, 87016",,
New Mexico,316,San Antonio,,"Sabinal, New Mexico, 87006",,
New Mexico,316,San Antonio,,"Medanales, New Mexico, 87548",,
New Mexico,316,San Antonio,,"Las Placitas, New Mexico, 87530",,
New Mexico,316,San Antonio,,"Cordova, New Mexico, 87523",,
New Mexico,316,San Antonio de Padua,,"Valdez, New Mexico, 87580",,
New Mexico,316,San Antonio de Padua,,"El Rancho, New Mexico, 87532",,
New Mexico,316,San Antonio de Padua,,"Penasco, New Mexico, 87553-0460",,
New Mexico,316,San Clemente Parish,,"Los Lunas, New Mexico, 87031",,
New Mexico,316,San Cristobal,,"San Cristobal, New Mexico, 87564",,
New Mexico,316,San Diego Indian Mission,,"Jemez Pueblo, New Mexico, 87024",,
New Mexico,316,San Estaban Indian Mission,,"Pueblo Of Acoma, New Mexico, 87034",,
New Mexico,316,San Felipe,,"Pena Blanca, New Mexico, 87041",,
New Mexico,316,San Felipe De Neri,,"Albuquerque, New Mexico, 87194",,
New Mexico,316,San Felipe de Neri School,,"Albuquerque, New Mexico, 87104",,
New Mexico,316,San Francisco de Asis,,"Golden, New Mexico, 87047",,
New Mexico,316,San Francisco de Asis Parish,,"Ranchos De Taos, New Mexico, 87557",,
New Mexico,316,San Ignacio Parish,,"Albuquerque, New Mexico, 87102-1623",,
New Mexico,316,San Ildefonso,,"Santa Fe, New Mexico, 87504",,
New Mexico,316,San Isidero Parish,,"Garfield, New Mexico, 87936",,
New Mexico,316,San Isidro,,"Trujillo, New Mexico, 87701",,
New Mexico,316,San Isidro,,"Lower San Francisco, New Mexico, 87830",,
New Mexico,316,San Isidro & Santa Teresita,,"Villanueva, New Mexico, 87583",,
New Mexico,316,San Isidro Catholic Church,,"Santa Fe, New Mexico, 87507",,
New Mexico,316,San Isidro de Labrador,,"Sedillo, New Mexico, 87059",,
New Mexico,316,San Jose,,"Vaughn, New Mexico, 88353",,
New Mexico,316,San Jose,,"Trampas, New Mexico, 87576",,
New Mexico,316,San Jose,,"Texico, New Mexico, 88135",,
New Mexico,316,San Jose,,"San Jose, New Mexico, 87565",,
New Mexico,316,San Jose,,"Hernandez, New Mexico, 87537",,
New Mexico,316,San Jose,,"Algodones, New Mexico, 87001",,
New Mexico,316,San Jose Church,,"Carlsbad, New Mexico, 88220-5569",,
New Mexico,316,San Jose de los Duranes,,"Albuquerque, New Mexico, 87104-2926",,
New Mexico,316,San Jose Parish,,"La Mesa, New Mexico, 88044",,
New Mexico,316,San Jose Parish,,"Anton Chico, New Mexico, 87711",,
New Mexico,316,San Jose Parish,,"Los Ojos, New Mexico, 87551",,
New Mexico,316,San Jose Parish,,"Albuquerque, New Mexico, 87102-5009",,
New Mexico,316,San Juan Bautista,,"Coyote, New Mexico, 87012",,
New Mexico,316,San Juan Catholic Center,,"Kirtland, New Mexico, 87417",,
New Mexico,316,San Juan Nepomuceno,,"San Juan, New Mexico, 87565",,
New Mexico,316,San Juan Nepomuceno,,"Chilili, New Mexico, 87059",,
New Mexico,316,San Juan Nepomuceno Parish,,"El Rito, New Mexico, 87530",,
New Mexico,316,San Lorenzo,,"Tinaja, New Mexico, 87321",,
New Mexico,316,San Lorenzo,,"Ramah, New Mexico, 87315",,
New Mexico,316,San Luis Rey Parish,,"Chamberino, New Mexico, 88027",,
New Mexico,316,San Martin de Porres Roman Catholic Church,,"Sunland Park, New Mexico, 880063",,
New Mexico,316,San Mateo Parish,,"San Mateo, New Mexico, 87050-0014",,
New Mexico,316,San Miguel Del Vado,,"Ribera, New Mexico, 87560",,
New Mexico,316,San Miguel Parish,,"San Miguel, New Mexico, 88058",,
New Mexico,316,San Miguel Parish,,"Socorro, New Mexico, 87801",,
New Mexico,316,San Rafael Parish,,"San Rafael, New Mexico, 87051-0145",,
New Mexico,316,San Ysidro,,"Ranchos De Taos, New Mexico, 87557",,
New Mexico,316,San Ysidro Parish,,"Corrales, New Mexico, 87048",,
New Mexico,316,Sangre de Cristo Catholic Community,,"Albuquerque, New Mexico, 87112",,
New Mexico,316,Santa Ana,,"Jemez Pueblo, New Mexico, 87024",,
New Mexico,316,Santa Barbara,,"Sile, New Mexico, 87041",,
New Mexico,316,Santa Clara,,"Santa Clara Pueblo, New Mexico, 87532",,
New Mexico,316,Santa Clara Parish,,"Santa Clara, New Mexico, 88026",,
New Mexico,316,Santa Clara Parish,,"Wagon Mound, New Mexico, 87752",,
New Mexico,316,Santa Cruz de la Canada,,"Santa Cruz, New Mexico, 87567",,
New Mexico,316,Santa Maria,,"Acoma, New Mexico, 87034-0448",,
New Mexico,316,Santa Maria de Acoma,,"Mccartys, New Mexico, 87049",,
New Mexico,316,Santa Maria De La Paz Parish,,"Santa Fe, New Mexico, 87505",,
New Mexico,316,Santa Rita,,"Bernal, New Mexico, 87569",,
New Mexico,316,Santa Rosa De Lima Catholic Church,,"Las Cruces, New Mexico, 88004",,
New Mexico,316,Santa Rosalia,,"Moquino, New Mexico, 87055",,
New Mexico,316,Santo Domingo,,"Santo Domingo Pueblo, New Mexico, 87052",,
New Mexico,316,Santo Nino,,"Rociada, New Mexico, 87742",,
New Mexico,316,Santo Nino,,"Gallinas, New Mexico, 87731",,
New Mexico,316,Santo Nino,,"Carnuel, New Mexico, United States",,
New Mexico,316,Santo Nino,,"Arroyo Seco, New Mexico, 87514",,
New Mexico,316,Santo Nino,,"Aragon, New Mexico, 87830",,
New Mexico,316,Santo Nino,,"Amalia, New Mexico, 87512",,
New Mexico,316,Santo Nino de Atocha,,"La Jara, New Mexico, 87027",,
New Mexico,316,Santo Nino Mission,,"Reserve, New Mexico, 87830-0493",,
New Mexico,316,Santo Nino Parish,,"Tierra Amarilla, New Mexico, 87575",,
New Mexico,316,Santo Nino Parish (Aragon),,"Reserve, New Mexico, 87830",,
New Mexico,316,Santo Rosario,,"Truchas, New Mexico, 87578",,
New Mexico,316,Santo Toribio,,"Ponderosa, New Mexico, 87044",,
New Mexico,316,Santuario San Martin De Porres Parish,,"Albuquerque, New Mexico, 87121-8302",,
New Mexico,316,Shrine of Our Lady of Guadalupe,,"Santa Fe, New Mexico, 87501",,
New Mexico,316,Shrine of The Little Flower,,"Albuquerque, New Mexico, 87107",,
New Mexico,316,SS Peter & Paul,,"Estancia, New Mexico, 87016",,
New Mexico,316,St. Albert the Great Newman Center,,"Las Cruces, New Mexico, 88001-5605",,
New Mexico,316,St. Alice Parish,,"Mountainair, New Mexico, 87036",,
New Mexico,316,St. Ann's Parish,,"Deming, New Mexico, 88030",,
New Mexico,316,St. Anne,,"Horse Springs, New Mexico, 87821",,
New Mexico,316,St. Anne,,"Acoma, New Mexico, 87034-0448",,
New Mexico,316,St. Anne Parish,,"Tucumcari, New Mexico, 88401-2801",,
New Mexico,316,St. Anne Parish,,"Santa Fe, New Mexico, 87501",,
New Mexico,316,St. Anne Parish,,"Albuquerque, New Mexico, 87105",,
New Mexico,316,St. Anthony,,"Torreon, New Mexico, 87061",,
New Mexico,316,St. Anthony,,"Sandia Pueblo, New Mexico, 87004",,
New Mexico,316,St. Anthony,,"Naschitti, New Mexico, 87325",,
New Mexico,316,St. Anthony,,"Fierro, New Mexico, 88041",,
New Mexico,316,St. Anthony,,"Dulce, New Mexico, 87528",,
New Mexico,316,St. Anthony,,"Dulce, New Mexico, 87528",,
New Mexico,316,St. Anthony,,"Varadium, New Mexico, 680547",,
New Mexico,316,St. Anthony,,"Zuni, New Mexico, 87327-0486",,
New Mexico,316,St. Anthony Parish,,"Artesia, New Mexico, 88210",,
New Mexico,316,St. Anthony Parish,,"Fort Sumner, New Mexico, 88119",,
New Mexico,316,St. Anthony Parish,,"Anthony, New Mexico, 88021",,
New Mexico,316,St. Anthony Parish,,"Pecos, 87552-1080",,
New Mexico,316,St. Anthony Parish,,"Dixon, New Mexico, 87527-0039",,
New Mexico,316,St. Anthony Parish Chapel,,"Questa, New Mexico, 87556",,
New Mexico,316,St. Augustine Church,,"Isleta, New Mexico, 87022",,
New Mexico,316,St. Berard Parish,,"Navajo, New Mexico, 87328-1284",,
