State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
New York,1805,25th District Knights of Columbus,,"Middle Village, New York, 11379",,
New York,1805,26th District Knight of Columbus New York State,,"Rego Park, New York, 11374",,
New York,1805,"Abbey of the Genesee, Trappist Monastery",,"Piffard, New York, 14533",,
New York,1805,Albany Vocations,,"Albany, New York, 12203",,
New York,1805,All Saints,,"Lockport, New York, 14094",,
New York,1805,All Saints Catholic Church,,"Albany, New York, 12203",,
New York,1805,All Saints Church,,"Syracuse, New York, 13210-3332",,
New York,1805,All Saints Elementary School,,"Syracuse, New York, 13207",,
New York,1805,All Saints Parish,,"Lansing, New York, 14882",,
New York,1805,All Saints Parish,,"Buffalo, New York, 14207",,
New York,1805,All Saints Parish,,"Chaumont, New York, 13622",,
New York,1805,All Saints Parish,,"Mineville, New York, 12956",,
New York,1805,All Saints Parish,,"Brooklyn, New York, 11206",,
New York,1805,All Saints Parish,,"New York, New York, 10035",,
New York,1805,America Magazine,,"New York, New York, 10019-3803",,
New York,1805,American Martyrs Church,,"Bayside, New York, 11364",,
New York,1805,Annunciation,,"Crestwood, New York, 10707",,
New York,1805,Annunciation Church,,"New York, New York, 10027",,
New York,1805,Annunciation of The Blessed Virgin Mary Parish,,"Fresh Meadows, New York, 11365",,
New York,1805,Annunciation of The Blessed Virgin Mary Parish,,"Brooklyn, New York, 11211",,
New York,1805,Annunciation of the Blessed Virgin Mary Roman Catholic Church,,"Elma, New York, 14059",,
New York,1805,Annunciation Parish,,"Buffalo, New York, 14213",,
New York,1805,Annunciation Parish,,"Ilion, New York, 13357",,
New York,1805,Annunciation Parish,,"Clark Mills, New York, 13323",,
New York,1805,Archbishop Walsh High School,,"Olean, New York, 14760",,
New York,1805,Archdiocese of New York,,"New York, New York, 10022-4134",,
New York,1805,Ascension Church,,"New York, New York, 10025",,
New York,1805,Ascension Parish,,"Elmhurst, New York, 11373",,
New York,1805,Assumption - St. Paul Parish,,"Mechanicville, New York, 12118",,
New York,1805,Assumption of The Blessed Virgin Mary,,"Syracuse, New York, 13208",,
New York,1805,Assumption of the Blessed Virgin Mary,,"Centereach, New York, 11720",,
New York,1805,Assumption of The Blessed Virgin Mary Parish,,"Brooklyn Heights, New York, 11201",,
New York,1805,Assumption Parish,,"Buffalo, New York, 14207",,
New York,1805,Assumption Parish,,"Maybrook, New York, 12543-1211",,
New York,1805,Assumption Parish,,"Peekskill, New York, 10566-3445",,
New York,1805,Barnabite Fathers - Clerics Regular of St. Paul,,"Youngstown, New York, 14174-0167",,
New York,1805,Basilica of Our Lady of Perpetual Help,,"Brooklyn, New York, 11220",,
New York,1805,Basilica of Our Lady of Victory,,"Lackawanna, New York, 14218",,
New York,1805,Basilica of St Adalbert,,"Buffalo, New York, 14212-1599",,
New York,1805,Bishop's Academy,,"Syracuse, New York, 13207",,
New York,1805,Black Catholic Apostolate,,"Menands, New York, 12204",,
New York,1805,Blessed John XXIII,,"West Seneca, New York, 14224",,
New York,1805,Blessed Kateri Tekakwitha Parish,,"Schenectady, New York, 12309-6341",,
New York,1805,Blessed Kateri Tekakwitha Shrine,,"Fonda, New York, 12068",,
New York,1805,Blessed Mary Angela RC Parish,,"Dunkirk, New York, 14048",,
New York,1805,Blessed Mother Teresa of Calcutta,,"Depew, New York, 14043-3291",,
New York,1805,Blessed Sacrament,,"Town of Tonawanda, New York, 14223",,
New York,1805,Blessed Sacrament Catholic Church,,"Bolton Landing, New York, 12814",,
New York,1805,Blessed Sacrament Church,,"Mohawk, New York, 13407",,
New York,1805,Blessed Sacrament Church,,"Syracuse, New York, 13206-3001",,
New York,1805,Blessed Sacrament Parish,,"Elmira, New York, 14901",,
New York,1805,Blessed Sacrament Parish,,"Andover, New York, 14806",,
New York,1805,Blessed Sacrament Parish,,"Rochester, New York, 14607",,
New York,1805,Blessed Sacrament Parish,,"Buffalo, New York, 14209",,
