State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
North Carolina,231,All Saints Catholic Church,,"Surf City, North Carolina, 28445-2667",,
North Carolina,231,All Saints Catholic Church,,"Hampstead, North Carolina, 28443",,
North Carolina,231,All Souls Mission,,"Columbia, North Carolina, 27925",,
North Carolina,231,Annunciation,,"Cordoba, North Carolina, 5010",,
North Carolina,231,Annunciation Mission,,"Buxton, North Carolina, 27920",,
North Carolina,231,Annunciation Parish,,"Havelock, North Carolina, 28532",,
North Carolina,231,Archangel Michael Parish,,"Fayetteville, North Carolina, 28305",,
North Carolina,231,Basilica of St Lawrence,,"Asheville, North Carolina, 28801-2852",,
North Carolina,231,Blessed Juan Diego Mission,,"Robbins, North Carolina, 27325",,
North Carolina,231,Blessed Sacrament Parish,,"Graham, North Carolina, 27253",,
North Carolina,231,Brevard College Campus Ministries,,"Brevard, North Carolina, 28712",,
North Carolina,231,Cathedral of the Sacred Heart,,"Raleigh, North Carolina, 27603",,
North Carolina,231,Catholic Community of Bertie County,,"Windsor, North Carolina, 27983",,
North Carolina,231,Christ The King Catholic Church,,"High Point, North Carolina, 27260-5455",,
North Carolina,231,Christ the King Mission,,"Kings Mountain, North Carolina, 28086",,
North Carolina,231,Christ The King Parish,,"Riegelwood, North Carolina, 28456",,
North Carolina,231,Church of St Therese,,"Wilson, North Carolina, 27893-3047",,
North Carolina,231,Church of the Epiphany Mission,,"Blowing Rock, North Carolina, 28605",,
North Carolina,231,Columbiettes,,"Charlotte, North Carolina, 28277",,
North Carolina,231,Diocese of Charlotte,,"Charlotte, North Carolina, 28203",,
North Carolina,231,Diocese of Raleigh,,"Raleigh, North Carolina, 27606-2187",,
North Carolina,231,Divine Redeemer (Divino Redentor),,"Boonville, North Carolina, 27011",,
North Carolina,231,Don Bosco,,"R, North Carolina, 1920",,
North Carolina,231,Duke University Newman Catholic Center,,"Durham, North Carolina, 27708",,
North Carolina,231,East Carolina University Newman Center,,"Greenville, North Carolina, 27858",,
North Carolina,231,Elon University,,"Elon, North Carolina, 27244-2010",,
North Carolina,231,Good Shepherd Catholic Mission,,"King, North Carolina, 27021",,
North Carolina,231,Good Shepherd Parish,,"Hope Mills, North Carolina, 28348",,
North Carolina,231,Holy Angels Roman Catholic Church,,"Mount Airy, North Carolina, 27030-3640",,
North Carolina,231,Holy Cross Catholic Church,,"Durham, North Carolina, 27713",,
North Carolina,231,Holy Cross Parish,,"Kernersville, North Carolina, 27284-2718",,
North Carolina,231,Holy Family,,"Saint Helena, North Carolina, 68774",,
North Carolina,231,Holy Family Catholic Church,,"Winston Salem, North Carolina, 27103",,
North Carolina,231,Holy Family Parish,,"Elizabeth City, North Carolina, 27909",,
North Carolina,231,Holy Family Parish,,"Hillsborough, North Carolina, 27278",,
North Carolina,231,Holy Infant Catholic Church,,"Reidsville, North Carolina, 27320-7101",,
North Carolina,231,Holy Infant Parish,,"Durham, North Carolina, 27713-9470",,
North Carolina,231,Holy Name of Mary,,"Touho, North Carolina, United States",,
North Carolina,231,Holy Redeemer by the Sea Catholic Parish,,"Kitty Hawk, North Carolina, 27949",,
North Carolina,231,Holy Redeemer Catholic Church,,"Andrews, North Carolina, 28901-9776",,
North Carolina,231,Holy Spirit,,"Denver, North Carolina, 28037-9235",,
North Carolina,231,Holy Spirit Catholic Church,,"Kinston, North Carolina, 28504",,
North Carolina,231,Holy Trinity,,"Cordoba, North Carolina, 5003",,
North Carolina,231,Holy Trinity by the Sea Chapel,,"Nags Head, North Carolina, 27959",,
North Carolina,231,Holy Trinity Catholic Church,,"Williamston, North Carolina, 27892",,
North Carolina,231,Holy Trinity Mission,,"Taylorsville, North Carolina, 28681-2327",,
North Carolina,231,Immaculate Conception,,"dabal, North Carolina, 403 727",,
North Carolina,231,Immaculate Conception Catholic Church,,"Clinton, North Carolina, 28328-4165",,
North Carolina,231,Immaculate Conception Catholic Church,,"Forest City, North Carolina, 28043-2520",,
North Carolina,231,Immaculate Conception Catholic Church,,"Durham, North Carolina, 27701",,
North Carolina,231,Immaculate Conception Mission,,"Rocky Mount, North Carolina, 27801-1319",,
North Carolina,231,Immaculate Conception Parish,,"Hendersonville, North Carolina, 28739",,
North Carolina,231,Immaculate Conception Parish,,"Wilmington, North Carolina, 28412-3004",,
North Carolina,231,Immaculate Heart of Mary,,"Hayesville, North Carolina, 28904",,
North Carolina,231,Immaculate Heart of Mary Parish,,"High Point, North Carolina, 27265",,
North Carolina,231,Knights of Columbus 7024,,"Swansboro, North Carolina, 28584",,
North Carolina,231,Knights of Columbus Camp Lejeune,,"Camp Lejeune, North Carolina, 28547",,
North Carolina,231,Knights of Columbus Council 11848,,"Clinton, North Carolina, 28328",,
North Carolina,231,Knights of Columbus Council 11946,,"Shelby, North Carolina, 28152",,
North Carolina,231,Knights of Columbus Council 7259,,"Newton Grove, North Carolina, 28366",,
North Carolina,231,Mother of Mercy Parish,,"Washington, North Carolina, 27889",,
North Carolina,231,Newman Catholic Student Ctr. U of NC,,"Chapel Hill, North Carolina, 27516-2738",,
North Carolina,231,North Carolina State University Campus Ministry,,"Raleigh, North Carolina, 27603",,
North Carolina,231,Our Lady of Consolation Parish,,"Charlotte, North Carolina, 28206-2408",,
North Carolina,231,Our Lady of Fatima Mission,,"Winston Salem, North Carolina, 27101",,
North Carolina,231,Our Lady of Grace Parish,,"Greensboro, North Carolina, 27403",,
North Carolina,231,Our Lady of Guadalupe,,"Cherokee, North Carolina, 28719",,
North Carolina,231,Our Lady of Guadalupe,,"Charlotte, North Carolina, 28214",,
North Carolina,231,Our Lady of Guadalupe Church,,"Newton Grove, North Carolina, 28366",,
North Carolina,231,Our Lady of Lourdes Parish,,"Monroe, North Carolina, 28112",,
North Carolina,231,Our Lady of Lourdes Parish,,"Raleigh, North Carolina, 27608-1599",,
North Carolina,231,Our Lady of Mercy Parish,,"Winston Salem, North Carolina, 27103",,
North Carolina,231,Our Lady of Perpetual Help Parish,,"Rocky Mount, North Carolina, 27804-5824",,
North Carolina,231,Our Lady of the Americas,,"Biscoe, North Carolina, 27209",,
North Carolina,231,Our Lady of the Angels,,"Marion, North Carolina, 28752",,
North Carolina,231,Our Lady of The Annunciation Parish,,"Albemarle, North Carolina, 28001",,
North Carolina,231,Our Lady of the Assumption,,"Charlotte, North Carolina, 28215-3854",,
North Carolina,231,Our Lady of the Assumption Catholic School,,"Charlotte, North Carolina, 28215-3854",,
North Carolina,231,Our Lady of The Highways Parish,,"Thomasville, North Carolina, 27360",,
North Carolina,231,Our Lady of the Mountains Catholic Church,,"Highlands, North Carolina, 28741",,
North Carolina,231,Our Lady of the Rosary,,"Louisburg, North Carolina, 27549",,
North Carolina,231,Our Lady Of The Rosary Parish,,"Lexington, North Carolina, 27292-3238",,
North Carolina,231,Our Lady of The Seas Catholic Church,,"Buxton, North Carolina, 27920",,
North Carolina,231,Padre Pio Fraternity of the Secular Franciscan Order,,"Apex, North Carolina, 27502",,
North Carolina,231,Parish of Pou,,"Poebo, North Carolina, 98824",,
North Carolina,231,Parish of the Island of Pines,,"Vao, North Carolina, 98832",,
North Carolina,231,Posada Guadalupana Community,,"Mount Olive, North Carolina, 28365",,
North Carolina,231,Prince of Peace Mission,,"Robbinsville, North Carolina, 28771",,
North Carolina,231,Queen Of The Apostles Parish,,"Belmont, North Carolina, 28012-3130",,
North Carolina,231,Sacred Heart,,"Paita, North Carolina, 98890",,
North Carolina,231,Sacred Heart,,"Sarajevo, North Carolina, 27403",,
North Carolina,231,Sacred Heart,,"Burnsville, North Carolina, 28714",,
North Carolina,231,Sacred Heart Catholic Church,,"Southport, North Carolina, 28461",,
North Carolina,231,Sacred Heart Mission,,"Wadesboro, North Carolina, 28170",,
North Carolina,231,Sacred Heart Parish,,"Brevard, North Carolina, 28712-9101",,
North Carolina,231,Sacred Heart Parish,,"Whiteville, North Carolina, 28472-3232",,
North Carolina,231,Sacred Heart Parish,,"Dunn, North Carolina, 28334-4844",,
North Carolina,231,Sacred Heart Parish,,"Salisbury, North Carolina, 28144",,
North Carolina,231,Sacred Heart Roman Catholic Church,,"Pinehurst, North Carolina, 28374",,
North Carolina,231,San Juan,,"Ingold, North Carolina, 28446",,
North Carolina,231,Shrine of The Infant Jesus of Prague,,"Jacksonville, North Carolina, 28540",,
North Carolina,231,SS Cyril and Methodius Byzantine Catholic Parish,,"Cary, North Carolina, 27511",,
North Carolina,231,SS Mary and Edward,,"Roxboro, North Carolina, 27573-5040",,
North Carolina,231,St. Aloysius Church,,"Hickory, North Carolina, 28601-3841",,
North Carolina,231,St. Andrew,,"Red Springs, North Carolina, 28377",,
North Carolina,231,St. Andrew Kim,,"Fayetteville, North Carolina, 28303",,
North Carolina,231,St. Andrew The Apostle Parish,,"Mars Hill, North Carolina, 28754",,
North Carolina,231,St. Andrew The Apostle Parish,,"Apex, North Carolina, 27502-9254",,
North Carolina,231,St. Ann Catholic Church,,"Fayetteville, North Carolina, 28301",,
North Carolina,231,St. Ann Catholic Church,,"Clayton, North Carolina, 27520",,
North Carolina,231,St. Ann Parish,,"Charlotte, North Carolina, 28209-4109",,
North Carolina,231,St. Anne Mission,,"Scotland Neck, North Carolina, 27874",,
North Carolina,231,St. Anne Parish,,"Edenton, North Carolina, 27932",,
North Carolina,231,St. Anthony Friary,,"Tillery, North Carolina, United States",,
North Carolina,231,St. Anthony of Padua Parish,,"Southern Pines, North Carolina, 28387",,
North Carolina,231,St. Barnabas Roman Catholic Church,,"Arden, North Carolina, 28704-9571",,
North Carolina,231,St. Benedict The Moor Parish,,"Winston Salem, North Carolina, 27101-1721",,
North Carolina,231,St. Benedict's Catholic Church,,"Greensboro, North Carolina, 27401-2027",,
North Carolina,231,St. Bernadette,,"Butner, North Carolina, 27509",,
North Carolina,231,St. Bernadette,,"Linville, North Carolina, 28646",,
