State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
North Dakota,244,Ascension Parish,,"Bismarck, North Dakota, 58504-7118",,
North Dakota,244,Assumption Abbey,,"Richardton, North Dakota, 58652",,
North Dakota,244,Assumption of the Blessed Virgin Mary,,"Starkweather, North Dakota, 58377",,
North Dakota,244,Assumption of The Blessed Virgin Mary Parish,,"Pembina, North Dakota, 58271",,
North Dakota,244,Assumption Parish,,"Dickey, North Dakota, 58431",,
North Dakota,244,Blessed Sacrament,,"West Fargo, North Dakota, 58078-1799",,
North Dakota,244,Cathedral of St Mary,,"Fargo, North Dakota, 58102",,
North Dakota,244,Cathedral of The Holy Spirit,,"Bismarck, North Dakota, 58501",,
North Dakota,244,Christ The King (Indian Mission),,"Tokio, North Dakota, 58379",,
North Dakota,244,Christ The King Parish,,"Mandan, North Dakota, 58554-2599",,
North Dakota,244,Church of Saint Anne,,"Bismarck, North Dakota, 58501",,
North Dakota,244,Corpus Christi Parish,,"Bismarck, North Dakota, 58501-1799",,
North Dakota,244,Diocese of Bismarck,,"Bismarck, North Dakota, 58502-1575",,
North Dakota,244,Diocese of Fargo,,"Fargo, North Dakota, 58104-7605",,
North Dakota,244,Epiphany Parish,,"Watford City, North Dakota, 58854-7314",,
North Dakota,244,FMCHE,,"fargo, North Dakota, 58102",,
North Dakota,244,Holy Cross Parish,,"West Fargo, North Dakota, 58078",,
North Dakota,244,Holy Family Parish,,"McClusky, North Dakota, 58463",,
North Dakota,244,Holy Family Parish,,"Grand Forks, North Dakota, 58201-6830",,
North Dakota,244,Holy Ghost Parish,,"Nortonville, North Dakota, 58454",,
North Dakota,244,Holy Rosary,,"Bisbee, North Dakota, 58317",,
North Dakota,244,Holy Rosary Catholic Church,,"LaMoure, North Dakota, 58458",,
North Dakota,244,Holy Rosary Parish,,"Lamoure, North Dakota, 58458",,
North Dakota,244,Holy Spirit Parish,,"Fargo, North Dakota, 58102-2332",,
