State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Ohio,1102,All Saints - St. Nicholas Chapel,,"Carey, Ohio, 43316",,
Ohio,1102,All Saints Parish,,"New Riegel, Ohio, 44853",,
Ohio,1102,All Saints Parish,,"Cincinnati, Ohio, 45236",,
Ohio,1102,All Saints Parish,,"Rossford, Ohio, 43460",,
Ohio,1102,Apostolate for Family Consecration,,"Bloomingdale, Ohio, 43910",,
Ohio,1102,Apostolate for the Dying,,"Cincinnati, Ohio, 45238-9185",,
Ohio,1102,Apostolic Brothers of the Divine Mercy,,"Conneaut, Ohio, 44030",,
Ohio,1102,Archbishop Paul Leibold Assembly #1621,,"Amelia, Ohio, 45102-2019",,
Ohio,1102,Archdiocese of Cincinnati,,"Cincinnati, Ohio, 45202",,
Ohio,1102,Assumption Academy,,"Broadview Heights, Ohio, 44147",,
Ohio,1102,Assumption Blessed Virgin Mary Parish,,"Geneva, Ohio, 44041",,
Ohio,1102,Assumption of the Blessed Virgin Mary Catholic Church,,"Barnesville, Ohio, 43713",,
Ohio,1102,Assumption Parish,,"Grafton, Ohio, 44044",,
Ohio,1102,Basilica & National Shrine of Our Lady of Consolation - Music Ministry,,"Carey, Ohio, 43316",,
Ohio,1102,Basilica and National Shrine of Our Lady of Consolation,,"Carey, Ohio, 43316",,
Ohio,1102,Basilica and National Shrine of Our Lady of Lebanon,,"North Jackson, Ohio, 44451",,
Ohio,1102,Bellarmine Chapel,,"Cincinnati, Ohio, 45207-2211",,
Ohio,1102,Bishop John King Mussio Central Elementary School,,"Steubenville, Ohio, 43952",,
Ohio,1102,Bishop John King Mussio Junior High School,,"Steubenville, Ohio, 43952",,
Ohio,1102,Bishop Leibold School,,"West Carrollton, Ohio, 45449",,
Ohio,1102,Blessed Sacrament Church,,"Wintersville, Ohio, 43953",,
Ohio,1102,Blessed Sacrament Parish,,"Warren, Ohio, 44483",,
Ohio,1102,Blessed Sacrament Parish-Closed,,"Cleveland, Ohio, 44109",,
Ohio,1102,Blessed Trinity,,"Cleveland, Ohio, 44135",,
Ohio,1102,Brothers of the Holy Spirit,,"Brooklyn, Ohio, 44144",,
Ohio,1102,Cathedral of St Columba,,"Youngstown, Ohio, 44503",,
Ohio,1102,Cathedral of St John The Evangelist,,"Cleveland, Ohio, 44114",,
Ohio,1102,Cathedral of St Peter in Chains,,"Cincinnati, Ohio, 45202",,
Ohio,1102,Cathedral of St. John the Baptist,,"Parma, Ohio, 44134-3129",,
Ohio,1102,Catholic Academy of Communication Professionals,,"Dayton, Ohio, 45432-1944",,
Ohio,1102,Catholic Campus Ministry at Wright State University,,"Fairborn, Ohio, 45324-2096",,
Ohio,1102,Catholic Central High School,,"Steubenville, Ohio, 43952",,
Ohio,1102,Catholic Community of St. John the Baptist,,"Akron, Ohio, 44301",,
Ohio,1102,Catholic Library Association,,"Cincinnati, Ohio, 45242",,
Ohio,1102,Catholic Women of the Province of the Archdiocese of Cincinnati,,"Columbus, Ohio, 43215",,
Ohio,1102,"Change and Be Changed, Inc.",,"Dayton, Ohio, 45430",,
Ohio,1102,Child and Youth Protection and Safe Environment,,"Steubenville, Ohio, 43952",,
Ohio,1102,Christ Our Light Parish,,"Cambridge, Ohio, 43725-1898",,
Ohio,1102,Christ The King Catholic Church,,"Columbus, Ohio, 43209",,
Ohio,1102,Christ the King Church,,"Athens, Ohio, 45701",,
Ohio,1102,Christ the King Church,,"Toledo, Ohio, 43623-4399",,
Ohio,1102,Christ The King Parish,,"East Cleveland, Ohio, 44112",,
Ohio,1102,Christ the Servant,,"Canton, Ohio, 44709",,
Ohio,1102,Church of Atonement,,"Crooksville, Ohio, 43731",,
Ohio,1102,Church of our Lady of the Miraculous Medal,,"Columbus, Ohio, 43232",,
Ohio,1102,Church of the Annunciation of the Blessed Virgin Mary,,"Cincinnati, Ohio, 45220",,
Ohio,1102,Church of The Ascension,,"Johnstown, Ohio, 43031",,
Ohio,1102,Church of the Ascension,,"Kettering, Ohio, 45420",,
Ohio,1102,Church of the Assumption,,"Mount Healthy, Ohio, 45231",,
Ohio,1102,Church of the Assumption,,"Broadview Heights, Ohio, 44147",,
Ohio,1102,Church of the Blessed Sacrament,,"Newark, Ohio, 43055",,
Ohio,1102,Church of the Holy Angels,,"Dayton, Ohio, 45409-2634",,
Ohio,1102,Church of the Holy Trinity,,"Bolivar, Ohio, 44612",,
Ohio,1102,Church of The Nativity,,"Utica, Ohio, 43080",,
Ohio,1102,Church of the Nativity of Our Lord,,"Cincinnati, Ohio, 45213",,
Ohio,1102,Church of the Resurrection,,"Cincinnati, Ohio, 45237",,
Ohio,1102,Church of The Resurrection Parish,,"New Albany, Ohio, 43054",,
Ohio,1102,Claver Jesuit Ministry,,"Cincinnati, Ohio, 45223-2352",,
Ohio,1102,Communion of Saints Parish (St. Ann),,"Cleveland Heights, Ohio, 44118",,
Ohio,1102,Conversion of St Paul Parish,,"Cleveland, Ohio, 44103",,
Ohio,1102,Corpus Christi Church,,"Cincinnati, Ohio, 45231",,
Ohio,1102,Corpus Christi Church,,"Belle Valley, Ohio, 43717",,
Ohio,1102,Corpus Christi Parish,,"Dayton, Ohio, 45405",,
Ohio,1102,Corpus Christi University Parish,,"Toledo, Ohio, 43607",,
Ohio,1102,Diocese of Cleveland,,"Cleveland, Ohio, 44114",,
Ohio,1102,Diocese of Columbus,,"Columbus, Ohio, 43215",,
Ohio,1102,Diocese of Odienne,,"Man, Ohio, United States",,
Ohio,1102,Diocese of Steubenville,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - Capital Campaign,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - Diocesan Council of Catholic Women,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - Diocesan Parish Share Campaign,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - Family and Social Concerns (Catholic Charities),,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - Immaculate Heart of Mary Fund,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - Information & Technology,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - Missions Office,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - Office of Christian Formation & Schools,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - Office of Education,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - Office of the Diaconate,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - Office of Vocations,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - Office of Worship,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - The Steubenville Register,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Steubenville - Vicar General,,"Steubenville, Ohio, 43952",,
Ohio,1102,Diocese of Toledo,,"Toledo, Ohio, 43604",,
Ohio,1102,Diocese of Youngstown,,"Youngstown, Ohio, 44503",,
Ohio,1102,Diocese of Youngstown Post Abortion Healing,,"Youngstown, Ohio, 44503",,
Ohio,1102,Divine Mercy Catholic Church (St. Mary),,"Antwerp, Ohio, 45813",,
Ohio,1102,Divine Mercy Catholic Parish (St. John The Baptist),,"Payne, Ohio, 45880",,
Ohio,1102,Divine Mercy Catholic Parish (St. Joseph),,"Paulding, Ohio, 45879",,
Ohio,1102,Divine Word Parish,,"Kirtland, Ohio, 44094",,
Ohio,1102,DominicanThirdOrder: Chapter of Catherine of Sienna,,"Columbus, Ohio, 43215-2623",,
Ohio,1102,Emmanuel Catholic Church,,"Dayton, Ohio, 45402",,
Ohio,1102,Eparchy of Parma,,"Parma, Ohio, 44134",,
Ohio,1102,Eparchy of St. George,,"Canton, Ohio, 44714-1297",,
Ohio,1102,Eparchy of St. Josaphat of Parma,,"Parma, Ohio, 44134-7180",,
Ohio,1102,Epiphany of the Lord Parish,,"Toledo, Ohio, 43605",,
Ohio,1102,Epiphany of the Lord Parish,,"Toledo, Ohio, 43605",,
Ohio,1102,Epiphany of the Lord Parish,,"Toledo, Ohio, 43605",,
Ohio,1102,Epiphany Parish,,"Cleveland, Ohio, 44105",,
Ohio,1102,Exaltation of Holy Cross,,"K, Ohio, 1936",,
Ohio,1102,Father Kulman Assembly - Knights of Columbus,,"Dayton, Ohio, 45402-2278",,
Ohio,1102,Franciscan University of Steubenville,,"Steubenville, Ohio, 43952",,
Ohio,1102,Galion St. Joseph Catholic School,,"Galion, Ohio, 44833",,
Ohio,1102,Gesu Parish,,"University Heights, Ohio, 44118",,
Ohio,1102,Gesu Roman Catholic Parish,,"Toledo, Ohio, 43607-1555",,
Ohio,1102,Global Solidarity Council (Diocese of Cleveland),,"Cleveland, Ohio, 44114-2519",,
Ohio,1102,Good Samaritan Hospital,,"Cincinnati, Ohio, 45220",,
Ohio,1102,Good Shepherd Catholic Church,,"Toledo, Ohio, 43605",,
Ohio,1102,Good Shepherd Parish,,"Cincinnati, Ohio, 45249",,
Ohio,1102,Guardian Angels Church & School,,"Cincinnati, Ohio, 45230-2003",,
Ohio,1102,Guardian Angels Parish,,"Copley, Ohio, 44321",,
Ohio,1102,Hamilton Deanery,,"Fairfield, Ohio, 45014",,
Ohio,1102,Holy Angels Church,,"Chagrin Falls, Ohio, 44023",,
Ohio,1102,Holy Angels Church,,"Sandusky, Ohio, 44870",,
Ohio,1102,Holy Angels Parish,,"Sidney, Ohio, 45365",,
Ohio,1102,Holy Apostles Parish,,"Youngstown, Ohio, 44506",,
Ohio,1102,Holy Cross Church,,"Glouster, Ohio, 45732",,
Ohio,1102,Holy Cross Parish,,"Dayton, Ohio, 45404",,
Ohio,1102,Holy Cross Parish,,"Columbus, Ohio, 43215",,
Ohio,1102,Holy Cross-Immaculata Church,,"Cincinnati, Ohio, 45202",,
Ohio,1102,Holy Family Church,,"Steubenville, Ohio, 43952",,
Ohio,1102,Holy Family Church,,"Parma, Ohio, 44130",,
Ohio,1102,Holy Family Parish,,"Middletown, Ohio, 45042",,
Ohio,1102,Holy Family Parish,,"North Baltimore, Ohio, 45872-1134",,
Ohio,1102,Holy Family Parish,,"Dayton, Ohio, 45403",,
Ohio,1102,Holy Family Parish,,"Cincinnati, Ohio, 45205",,
Ohio,1102,Holy Family Parish,,"Poland, Ohio, 44514",,
Ohio,1102,Holy Family Parish,,"Stow, Ohio, 44224",,
Ohio,1102,Holy Family Parish,,"Columbus, Ohio, 43215",,
Ohio,1102,Holy Family Parish,,"Navarre, Ohio, 44662",,
Ohio,1102,Holy Family Parish (Frenchtown),,"Versailles, Ohio, 45380",,
Ohio,1102,Holy Family Parish (New Cleveland),,"Ottawa, Ohio, 45875",,
Ohio,1102,Holy Family Parish (St. Therese),,"Brewster, Ohio, 44613",,
Ohio,1102,Holy Ghost Ukrainian Catholic Church,,"Akron, Ohio, 44301",,
Ohio,1102,Holy Martyrs Parish,,"Medina, Ohio, 44256",,
Ohio,1102,Holy Name Cathedral,,"Steubenville, Ohio, 43952",,
Ohio,1102,Holy Name Chapel,,"Blanchester, Ohio, 45107",,
Ohio,1102,Holy Name of Jesus Catholic Church,,"Trenton, Ohio, 45067",,
Ohio,1102,Holy Name Parish,,"Cincinnati, Ohio, 45219",,
Ohio,1102,Holy Name Parish,,"Cleveland, Ohio, 44105",,
Ohio,1102,Holy Name Parish,,"Columbus, Ohio, 43202",,
Ohio,1102,Holy Name Youth Group YODA,,"Trenton, Ohio, 45067",,
Ohio,1102,Holy Redeemer Catholic Church,,"New Bremen, Ohio, 45869",,
Ohio,1102,Holy Redeemer Catholic Church,,"Portsmouth, Ohio, 45662",,
Ohio,1102,Holy Redeemer Parish,,"New Bremen, Ohio, 45869",,
Ohio,1102,Holy Redeemer Parish,,"Cleveland, Ohio, 44110",,
Ohio,1102,Holy Resurrection Byzantine Catholic Parish,,"Euclid, Ohio, 44132-1721",,
Ohio,1102,Holy Resurrection Melkite Catholic Church,,"Columbus, Ohio, 43224",,
Ohio,1102,Holy Rosary Parish,,"Saint Marys, Ohio, 45885",,
Ohio,1102,Holy Rosary Parish,,"Cleveland, Ohio, 44106",,
Ohio,1102,Holy Spirit Byzantine Catholic Church,,"Parma, Ohio, 44129",,
Ohio,1102,Holy Spirit Catholic Church,,"Garfield Heights, Ohio, 44105",,
Ohio,1102,Holy Spirit Catholic Church,,"Columbus, Ohio, 43213",,
Ohio,1102,Holy Spirit Parish,,"Uniontown, Ohio, 44685",,
Ohio,1102,Holy Spirit Parish,,"Garfield Heights, Ohio, 44105",,
Ohio,1102,Holy Spirit Parish,,"Avon Lake, Ohio, 44012",,
Ohio,1102,Holy Transfiguration Byzantine,,"Mentor-on-the-Lake, Ohio, 44060",,
Ohio,1102,Holy Trinity,,"McDermott, 45657",,
Ohio,1102,Holy Trinity Catholic Church,,"West Union, Ohio, 45693",,
Ohio,1102,Holy Trinity Catholic Church,,"Bucyrus, Ohio, 44820",,
Ohio,1102,Holy Trinity Catholic Parish,,"Swanton, Ohio, 43558",,
Ohio,1102,Holy Trinity Church,,"Byesville, Ohio, 43723",,
Ohio,1102,Holy Trinity Norwood,,"Norwood, Ohio, 45212",,
Ohio,1102,Holy Trinity Parish,,"Coldwater, Ohio, 45828",,
Ohio,1102,Holy Trinity Parish,,"Jackson, Ohio, 45640",,
Ohio,1102,Holy Trinity Parish,,"Dayton, Ohio, 45402",,
Ohio,1102,Holy Trinity Parish,,"Batavia, Ohio, 45103",,
Ohio,1102,Holy Trinity Parish,,"Youngstown, Ohio, 44502",,
Ohio,1102,Holy Trinity Parish,,"Struthers, Ohio, 44471",,
Ohio,1102,Holy Trinity Parish,,"Bedford Heights, Ohio, 44146",,
Ohio,1102,Holy Trinity Parish,,"Avon, Ohio, 44011",,
Ohio,1102,Holy Trinity Parish,,"Wellsville, Ohio, 43968",,
Ohio,1102,Holy Trinity Parish,,"East Liverpool, Ohio, 43920",,
Ohio,1102,Holy Trinity Parish,,"Somerset, Ohio, 43783",,
Ohio,1102,Holy Trinity Parish,,"Zanesville, Ohio, 43701",,
Ohio,1102,Holy Trinity Region OFS,,"Cincinnati, Ohio, 45251",,
Ohio,1102,Immaculate Conception,,"Madison, Ohio, 44057-2998",,
Ohio,1102,Immaculate Conception - Sacred Heart of Jesus,,"Youngstown, Ohio, 44506",,
Ohio,1102,Immaculate Conception Church,,"Botkins, Ohio, 45306",,
Ohio,1102,Immaculate Conception Church,,"Caldwell, Ohio, 43724",,
Ohio,1102,Immaculate Conception Church,,"Port Clinton, Ohio, 43452-1922",,
Ohio,1102,Immaculate Conception Parish,,"Ravenna, Ohio, 44266",,
Ohio,1102,Immaculate Conception Parish,,"Ottoville, Ohio, 45876",,
Ohio,1102,Immaculate Conception Parish,,"Celina, Ohio, 45822",,
Ohio,1102,Immaculate Conception Parish,,"Bradford, Ohio, 45308",,
Ohio,1102,Immaculate Conception Parish,,"Bellevue, Ohio, 44811",,
Ohio,1102,Immaculate Conception Parish,,"Dennison, Ohio, 44621",,
Ohio,1102,Immaculate Conception Parish,,"Youngstown, Ohio, 44506",,
Ohio,1102,Immaculate Conception Parish,,"Akron, Ohio, 44314",,
Ohio,1102,Immaculate Conception Parish,,"Cleveland, Ohio, 44103",,
Ohio,1102,Immaculate Conception Parish,,"Willoughby, Ohio, 44094",,
Ohio,1102,Immaculate Conception Parish,,"Grafton, Ohio, 44044",,
Ohio,1102,Immaculate Conception Parish,,"Toledo, Ohio, 43609",,
Ohio,1102,Immaculate Conception Parish,,"Deshler, Ohio, 43516",,
Ohio,1102,Immaculate Conception Parish,,"Kenton, Ohio, 43326",,
Ohio,1102,Immaculate Conception Parish,,"Columbus, Ohio, 43214",,
Ohio,1102,Immaculate Conception Parish,,"North Lewisburg, Ohio, 43060",,
Ohio,1102,Immaculate Heart of Mary Church,,"Cuyahoga Falls, Ohio, 44223-1742",,
Ohio,1102,Immaculate Heart of Mary Parish,,"Austintown, Ohio, 44515",,
