State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Oklahoma,212,Archdiocese of Oklahoma City,,"Oklahoma City, Oklahoma, 73132-2180",,
Oklahoma,212,Assumption of Blessed Mary Virgin,,"Dauglaukis, Oklahoma, 73007",,
Oklahoma,212,Assumption Parish,,"Duncan, Oklahoma, 73533-4499",,
Oklahoma,212,Blessed Elizabeth of the Trinity OCDS,,"Tulsa, Oklahoma, 74135",,
Oklahoma,212,Blessed Kateri Tekakwitha,,"Roland, Oklahoma, 74954",,
Oklahoma,212,Blessed Sacrament Parish,,"Thomas, Oklahoma, 73669",,
Oklahoma,212,Blessed Sacrament Parish,,"Lawton, Oklahoma, 73502",,
Oklahoma,212,"Byzantine Fellowship, Mother of God Parish",,"Norman, Oklahoma, 73072",,
Oklahoma,212,Cathedral of Our Lady of Perpetual Help,,"Oklahoma City, Oklahoma, 73118-5698",,
Oklahoma,212,Cathedral of The Holy Family,,"Tulsa, Oklahoma, 74119",,
Oklahoma,212,Christ the King Church,,"Oklahoma City, Oklahoma, 73120",,
Oklahoma,212,Christ The King Parish,,"Tulsa, Oklahoma, 74120",,
Oklahoma,212,Church of St Mary,,"Tulsa, Oklahoma, 74105-4798",,
Oklahoma,212,Church of St Mary Parish,,"Ponca City, Oklahoma, 74602",,
Oklahoma,212,Church of The Epiphany Parish,,"Oklahoma City, Oklahoma, 73132",,
Oklahoma,212,Church of the Holy Spirit,,"Mustang, Oklahoma, 73064",,
Oklahoma,212,Church of The Madalene Parish,,"Tulsa, Oklahoma, 74114",,
Oklahoma,212,Corpus Christi Parish,,"Oklahoma City, Oklahoma, 73117",,
Oklahoma,212,Diocese of Tulsa,,"Tulsa, Oklahoma, 74169",,
Oklahoma,212,Good Shepherd Church,,"Valliant, Oklahoma, 74764",,
Oklahoma,212,Good Shepherd Parish,,"Boise City, Oklahoma, 73933",,
Oklahoma,212,Good Shepherd Parish,,"Marietta, Oklahoma, 73448",,
Oklahoma,212,Holy Angels Parish,,"Oklahoma City, Oklahoma, 73106",,
Oklahoma,212,Holy Cross Parish,,"Wagoner, Oklahoma, 74467",,
Oklahoma,212,Holy Cross Parish,,"Madill, Oklahoma, 73446",,
Oklahoma,212,Holy Family Parish,,"Lawton, Oklahoma, 73505",,
Oklahoma,212,Holy Ghost Parish,,"Vinita, Oklahoma, 74301",,
Oklahoma,212,Holy Name of Jesus Parish,,"Chickasha, Oklahoma, 73023",,
Oklahoma,212,Holy Name Parish,,"Shattuck, Oklahoma, 73858",,
Oklahoma,212,Holy Rosary Parish,,"Hartshorne, Oklahoma, 74547",,
Oklahoma,212,Holy Trinity,,"Clayton, Oklahoma, 74536-0747",,
Oklahoma,212,Holy Trinity Parish,,"Okarche, Oklahoma, 73762-0185",,
Oklahoma,212,Immaculate Conception Parish,,"Poteau, Oklahoma, 74953",,
Oklahoma,212,Immaculate Conception Parish,,"Seminole, Oklahoma, 74868",,
Oklahoma,212,Immaculate Conception Parish,,"Hugo, Oklahoma, 74743",,
Oklahoma,212,Immaculate Conception Parish,,"Pawhuska, Oklahoma, 74056",,
Oklahoma,212,Immaculate Conception Parish,,"Oklahoma City, Oklahoma, 73119",,
Oklahoma,212,Immaculate Conception Parish,,"Marlow, Oklahoma, 73055-2007",,
Oklahoma,212,Immaculate Heart of Mary Parish,,"Calumet, Oklahoma, 73014",,
Oklahoma,212,Infant Of Prague,,"Prague, Oklahoma, 74864",,
Oklahoma,212,Knights of Columbus Council 9901,,"Moore, Oklahoma, 73160",,
Oklahoma,212,Korean Martyrs Catholic Parish,,"Oklahoma City, Oklahoma, 73159",,
Oklahoma,212,Little Flower,,"Oklahoma City, Oklahoma, 73126",,
Oklahoma,212,Most Precious Blood Parish,,"Tulsa, Oklahoma, 74107",,
Oklahoma,212,Mother of Sorrows Parish,,"Apache, Oklahoma, 73006",,
Oklahoma,212,Our Lady of Guadalupe Parish,,"Dewey, Oklahoma, 74029-2104",,
Oklahoma,212,Our Lady of Guadalupe Parish,,"Hollis, Oklahoma, 73550",,
Oklahoma,212,Our Lady of Lebanon,,"Norman, Oklahoma, 73071",,
Oklahoma,212,Our Lady of Perpetual Help Parish,,"Sterling, Oklahoma, 73567",,
Oklahoma,212,Our Lady of Sorrows Parish,,"Chandler, Oklahoma, 74834",,
Oklahoma,212,Our Lady of the Annunciation,,"Hulbert, Oklahoma, 74441",,
Oklahoma,212,Our Lady of the Lake,,"Mannford, Oklahoma, 74044",,
Oklahoma,212,Our Lady of The Rosary Parish,,"Binger, Oklahoma, 73009",,
Oklahoma,212,Our Lady of Victory Parish,,"Purcell, Oklahoma, 73080",,
Oklahoma,212,Our Mother of Mercy Parish,,"Waynoka, Oklahoma, 73860",,
Oklahoma,212,Prince of Peace Catholic Church,,"Altus, Oklahoma, 73522",,
Oklahoma,212,Queen of All Saints Parish,,"Sayre, Oklahoma, 73662",,
Oklahoma,212,Resurrection Parish,,"Tulsa, Oklahoma, 74135-1169",,
Oklahoma,212,Rosary of Hope,,"Okmulgee, Oklahoma, 74447",,
Oklahoma,212,Sacred Heart,,"Fairfax, Oklahoma, 74637",,
Oklahoma,212,Sacred Heart Catholic Church,,"Wilburton, Oklahoma, 74578-0579",,
Oklahoma,212,Sacred Heart Chapel,,"Heavener, Oklahoma, 74937",,
Oklahoma,212,Sacred Heart Church,,"Oklahoma City, Oklahoma, 73109-2234",,
Oklahoma,212,Sacred Heart Parish,,"Konawa, Oklahoma, 74849",,
Oklahoma,212,Sacred Heart Parish,,"Billings, Oklahoma, 74630",,
Oklahoma,212,Sacred Heart Parish,,"Miami, Oklahoma, 74354-2216",,
Oklahoma,212,Sacred Heart Parish,,"Sapulpa, Oklahoma, 74066",,
Oklahoma,212,Sacred Heart Parish,,"Hooker, Oklahoma, 73945",,
Oklahoma,212,Sacred Heart Parish,,"Mooreland, Oklahoma, 73852",,
Oklahoma,212,Sacred Heart Parish,,"Alva, Oklahoma, 73717-2003",,
