State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Oregon,224,All Saints Parish,,"Portland, Oregon, 97232",,
Oregon,224,All Souls Parish,,"Myrtle Creek, Oregon, 97457",,
Oregon,224,Archdiocese of Portland,,"Portland, Oregon, 97214",,
Oregon,224,Archdiocese of Portland CCW,,"Canby, Oregon, 97013",,
Oregon,224,Ascension Parish,,"Portland, Oregon, 97215",,
Oregon,224,Benedictine Sisters of Mount Angel,,"Mount Angel, Oregon, 97362",,
Oregon,224,Blessed Mary Virgin,,"Jokubavas, Oregon, 97008",,
Oregon,224,Blessed Sacrament Parish,,"Ontario, Oregon, 97914",,
Oregon,224,Cathedral of St Francis DeSales,,"Baker City, Oregon, 97814",,
Oregon,224,Christ The King Parish,,"Milwaukie, Oregon, 97222",,
Oregon,224,Church of St Michael The Archangel,,"Portland, Oregon, 97201",,
Oregon,224,Diocese of Baker,,"Bend, Oregon, 97708",,
Oregon,224,Francis of Assisi Secular Franciscan Fraternity,,"Eugene, Oregon, 97402",,
Oregon,224,Franciscan Renewal Center,,"Portland, Oregon, 97219",,
Oregon,224,Good Shepherd Parish,,"Sheridan, Oregon, 97378",,
Oregon,224,"Grotto,Sanctuary of Our Sorrowful Mother",,"Portland, Oregon, 97220",,
Oregon,224,Holy Cross Catholic Church,,"Portland, Oregon, 97203",,
Oregon,224,Holy Family Mission,,"Glendale, Oregon, 97442",,
Oregon,224,Holy Family Parish,,"Burns, Oregon, 97720",,
Oregon,224,Holy Family Parish,,"Portland, Oregon, 97202",,
Oregon,224,Holy Name Parish,,"Coquille, Oregon, 97423",,
Oregon,224,Holy Redeemer Parish,,"La Pine, Oregon, 97739",,
Oregon,224,Holy Redeemer Parish,,"North Bend, Oregon, 97459",,
Oregon,224,Holy Redeemer Parish,,"Portland, Oregon, 97217",,
Oregon,224,Holy Rosary Catholic Church,,"Portland, Oregon, 97232",,
Oregon,224,Holy Rosary Mission,,"Crooked Finger, Oregon, 97362",,
Oregon,224,Holy Trinity Mission,,"Brownsville, Oregon, 97327",,
Oregon,224,Holy Trinity Parish,,"Bandon, Oregon, 97411",,
Oregon,224,Holy Trinity Parish,,"Beaverton, Oregon, 97005",,
Oregon,224,Immaculate Conception Parish,,"Stayton, Oregon, 97383",,
Oregon,224,Immaculate Heart of Mary Parish,,"Portland, Oregon, 97227",,
Oregon,224,Korean Martyrs Catholic Church,,"Portland, Oregon, 97266",,
Oregon,224,Llamado a la Santidad,,"Cornelius, Oregon, 97113",,
Oregon,224,Marylhurst University,,"Marylhurst, Oregon, 97036",,
Oregon,224,Monastery of Annunciation Hermitage,,"Gilchrist, Oregon, 97737",,
Oregon,224,Mount Angel Abbey,,"St. Benedict, Oregon, 97373",,
Oregon,224,Nativity of The Blessed Virgin Mary Parish,,"Rainier, Oregon, 97048",,
Oregon,224,Nativity of the Mother of God Church,,"Springfield, Oregon, 97477",,
Oregon,224,Our Lady of Angels Catholic Church,,"Hermiston, Oregon, 97838",,
Oregon,224,Our Lady of Fatima Parish,,"Shady Cove, Oregon, 97539",,
Oregon,224,Our Lady of Guadalupe,,"Boardman, Oregon, 97818",,
Oregon,224,Our Lady of Loretto,,"Drewsey, Oregon, 97904",,
Oregon,224,Our Lady of Lourdes Mission,,"Jordan, Oregon, 97374",,
