State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Pennsylvania,1500,All Saints Parish,,"Plymouth, Pennsylvania, 18651",,
Pennsylvania,1500,All Saints Parish,,"Pittsburgh, Pennsylvania, 15223",,
Pennsylvania,1500,All Saints Parish,,"Plymouth, Pennsylvania, 18651",,
Pennsylvania,1500,All Saints Parish,,"Waterford, Pennsylvania, 16441",,
Pennsylvania,1500,All Saints Parish,,"Etna, Pennsylvania, 15223-1798",,
Pennsylvania,1500,All Saints Parish,,"Boswell, Pennsylvania, 15531",,
Pennsylvania,1500,All Saints Parish-Closed,,"Philadelphia, Pennsylvania, 19137",,
Pennsylvania,1500,Allegheny College,,"Meadville, Pennsylvania, 16335",,
Pennsylvania,1500,Alvernia University,,"Reading, Pennsylvania, 19607",,
Pennsylvania,1500,Ancient Order of Hibernian - Division 2,,"Crum Lynne, Pennsylvania, 19022",,
Pennsylvania,1500,Annunciation Blessed Virgin Mary,,"Philadelphia, Pennsylvania, 19147",,
Pennsylvania,1500,Annunciation Blessed Virgin Mary Parish,,"Havertown, Pennsylvania, 19083",,
Pennsylvania,1500,Annunciation Blessed Virgin Mary Parish,,"Catasauqua, Pennsylvania, 18032",,
Pennsylvania,1500,Annunciation Blessed Virgin Mary Parish,,"Shenandoah, Pennsylvania, 17976",,
Pennsylvania,1500,Annunciation Blessed Virgin Mary Parish,,"Frackville, Pennsylvania, 17931",,
Pennsylvania,1500,Annunciation Blessed Virgin Mary Parish,,"Ramey, Pennsylvania, 16671",,
Pennsylvania,1500,Annunciation of the Blessed Virgin Mary Church,,"McSherrystown, Pennsylvania, 17344-1716",,
Pennsylvania,1500,Annunciation of The Blessed Virgin Mary Parish,,"Melrose Park, Pennsylvania, 19127",,
Pennsylvania,1500,Archdiocese of Panama,,"Panama, Pennsylvania, 5",,
Pennsylvania,1500,Archdiocese of Philadelphia,,"Philadelphia, Pennsylvania, 19103",,
Pennsylvania,1500,Archeparchy of Philadelphia,,"Philadelphia, Pennsylvania, 19123",,
Pennsylvania,1500,Archeparchy of Pittsburgh,,"Pittsburgh, Pennsylvania, 15214",,
Pennsylvania,1500,Ascension of Our Lord Byzantine Catholic Church,,"Clairton, Pennsylvania, 15025",,
Pennsylvania,1500,Ascension Parish,,"Sayre, Pennsylvania, 18840",,
Pennsylvania,1500,Ascension Parish,,"Jeannette, Pennsylvania, 15644",,
Pennsylvania,1500,Ascension Roman Catholic Church,,"Pittsburgh, Pennsylvania, 15205",,
Pennsylvania,1500,Assumption Blessed Virgin Mary Parish,,"Slatington, Pennsylvania, 18080",,
Pennsylvania,1500,Assumption of Blessed Mary Virgin,,"Pabare, Pennsylvania, 17026",,
Pennsylvania,1500,Assumption of Blessed Virgin Mary Parish,,"Centralia, Pennsylvania, 17927",,
Pennsylvania,1500,Assumption of Blessed Virgin Mary Parish,,"Latrobe, Pennsylvania, 15650",,
Pennsylvania,1500,Assumption of the Blessed Virgin Mary Catholic Church,,"Lebanon, Pennsylvania, 17046",,
Pennsylvania,1500,Assumption of The Blessed Virgin Mary on the River Parish,,"Pittsburgh, Pennsylvania, 15202",,
Pennsylvania,1500,Assumption of The Blessed Virgin Mary Parish,,"West Grove, Pennsylvania, 19390",,
Pennsylvania,1500,Assumption of The Blessed Virgin Mary Parish,,"Feasterville, Pennsylvania, 19053",,
Pennsylvania,1500,Assumption of The Blessed Virgin Mary Parish,,"Northampton, Pennsylvania, 18067",,
Pennsylvania,1500,Assumption of The Blessed Virgin Mary Parish,,"Sykesville, Pennsylvania, 15865",,
Pennsylvania,1500,Assumption of The Blessed Virgin Mary Parish,,"Monessen, Pennsylvania, 15062",,
Pennsylvania,1500,Assumption Parish,,"Oil City, Pennsylvania, 16301",,
Pennsylvania,1500,Assumption Parish (Colesville),,"Bethlehem, Pennsylvania, 18015",,
Pennsylvania,1500,Ave Maria Parish,,"Bentleyville, Pennsylvania, 15314",,
Pennsylvania,1500,Basilica of The Sacred Heart of Jesus,,"Hanover, Pennsylvania, 17331",,
Pennsylvania,1500,BLESSED SACRAMENT,,"Throop, Pennsylvania, 18512-3398",,
Pennsylvania,1500,Blessed Sacrament Parish,,"Erie, Pennsylvania, 16508",,
Pennsylvania,1500,Blessed Sacrament Parish-Closed,,"Wilkes Barre, Pennsylvania, 18705",,
Pennsylvania,1500,Blessed Sacrament School,,"Erie, Pennsylvania, 16504",,
