State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Rhode Island,172,All Saints Parish,,"Woonsocket, Rhode Island, 02895-1213",,
Rhode Island,172,Assumption of The Blessed Virgin Mary Parish and St Anthony Mission Church,,"Providence, Rhode Island, 02907",,
Rhode Island,172,Blessed Kateri Tekakwitha Catholic Community,,"Exeter, Rhode Island, 2822",,
Rhode Island,172,Blessed Sacrament Parish,,"Providence, Rhode Island, 02908-4552",,
Rhode Island,172,Brown-RISD Catholic Community,,"Providence, Rhode Island, 2906",,
Rhode Island,172,Christ The King Parish,,"Kingston, Rhode Island, 02881-1497",,
Rhode Island,172,Church of Christ the King,,"Centreville, 02893-2994",,
Rhode Island,172,Church of St Leo The Great,,"Pawtucket, Rhode Island, 2861",,
Rhode Island,172,Church of the Sacred Heart,,"West Warwick, Rhode Island, 02893-1135",,
Rhode Island,172,Diocese of Providence,,"Providence, Rhode Island, 02903-3695",,
Rhode Island,172,Holy Angels Parish,,"Barrington, Rhode Island, 2806",,
Rhode Island,172,Holy Apostles Parish,,"Cranston, Rhode Island, 02921-3603",,
Rhode Island,172,Holy Cross Parish,,"Providence, Rhode Island, 2909",,
Rhode Island,172,Holy Family Parish,,"Pawtucket, Rhode Island, 2860",,
Rhode Island,172,Holy Family Parish,,"Woonsocket, Rhode Island, 02895-5193",,
Rhode Island,172,Holy Ghost Church,,"Providence, Rhode Island, 2909",,
Rhode Island,172,Holy Ghost Parish,,"Tiverton, Rhode Island, 2878",,
Rhode Island,172,Holy Name of Jesus Church,,"Providence, Rhode Island, 02906-1799",,
Rhode Island,172,Holy Spirit Catholic Community,,"Central Falls, Rhode Island, 2863",,
Rhode Island,172,Immaculate Conception Parish,,"Cranston, Rhode Island, 2920",,
Rhode Island,172,Immaculate Heart of Mary Parish,,"Pawtucket, Rhode Island, 2860",,
Rhode Island,172,Jesus Saviour Parish,,"Newport, Rhode Island, 2840",,
Rhode Island,172,Knights of Columbus COUNCIL #113,,"Woonsocket, Rhode Island, 2895",,
Rhode Island,172,Mary Mother of Mankind Parish,,"North Providence, Rhode Island, 02911-1499",,
Rhode Island,172,Most Holy Redeemer,,"Newport, Rhode Island, United States",,
Rhode Island,172,Notre Dame Parish,,"Central Falls, Rhode Island, 2863",,
Rhode Island,172,Our Lady of Consolation Church,,"Pawtucket, Rhode Island, 02860-1138",,
Rhode Island,172,Our Lady of Czenstochowa Parish,,"Coventry, Rhode Island, 02816-5464",,
Rhode Island,172,Our Lady of Fatima Parish (Valley Falls),,"Cumberland, Rhode Island, 02864-8229",,
Rhode Island,172,Our Lady of Good Counsel Parish,,"West Warwick, Rhode Island, 02893-5695",,
Rhode Island,172,Our Lady of Good Help Parish Burrillville,,"Mapleville, Rhode Island, 2839",,
Rhode Island,172,Our Lady of Grace Parish,,"Johnston, Rhode Island, 02919-2712",,
Rhode Island,172,Our Lady of Loreto Parish,,"East Providence, Rhode Island, 02914-2637",,
Rhode Island,172,Our Lady of Lourdes Parish,,"Providence, Rhode Island, 2909",,
Rhode Island,172,Our Lady of Mercy Parish,,"East Greenwich, Rhode Island, 2818",,
Rhode Island,172,Our Lady of Mount Carmel Parish,,"Bristol, Rhode Island, 02809-2228",,
Rhode Island,172,Our Lady of Mount Carmel Parish-Closed,,"Providence, Rhode Island, 2903",,
Rhode Island,172,Our Lady of The Rosary Parish,,"Providence, Rhode Island, 2903",,
Rhode Island,172,Our Lady of Victory Parish,,"Ashaway, Rhode Island, 2804",,
Rhode Island,172,"Our Lady, Queen of Martyrs Parish",,"Woonsocket, Rhode Island, 02895-6597",,
Rhode Island,172,Precious Blood Parish,,"Woonsocket, Rhode Island, 02895-4594",,
Rhode Island,172,Presentation of The Blessed Virgin Mary Parish,,"North Providence, Rhode Island, 02904-4101",,
Rhode Island,172,Providence Haiti Outreach,,"Pawtucket, Rhode Island, 2860",,
Rhode Island,172,Rhode Island College Campus Ministry,,"Providence, Rhode Island, 2908",,
Rhode Island,172,Sacred Heart Of Jesus Parish,,"Pawtucket, Rhode Island, 02860-1318",,
Rhode Island,172,Sacred Heart Parish,,"East Providence, Rhode Island, 02914-4550",,
Rhode Island,172,Sacred Heart Parish,,"Woonsocket, Rhode Island, 2895",,
Rhode Island,172,Salve Regina University - Spiritual Life Center,,"Newport, Rhode Island, 02840-4192",,
Rhode Island,172,SS John and James,,"West Warwick, Rhode Island, 02893-4919",,
Rhode Island,172,SS John and Paul Parish,,"Coventry, Rhode Island, 02816-5987",,
Rhode Island,172,SS Peter & Paul Parish,,"West Warwick, Rhode Island, 02893-5699",,
Rhode Island,172,SS Rose & Clement Parish,,"Warwick, Rhode Island, 2886",,
Rhode Island,172,St. Adalbert Parish,,"Providence, Rhode Island, 02909-2596",,
