State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
South Carolina,152,All Saints Catholic Church,,"Lake Wylie, South Carolina, 29710",,
South Carolina,152,Bishop England Council 724 Knights of Columbus,,"Columbia, South Carolina, 29201",,
South Carolina,152,Blessed Sacrament Parish,,"Charleston, South Carolina, 29407",,
South Carolina,152,Blessed Trinity Catholic Church,,"Greer, South Carolina, 29651",,
South Carolina,152,Cathedral of St. John The Baptist,,"Charleston, South Carolina, 29401",,
South Carolina,152,Catholic Recovery UK,,"Glasgow, South Carolina, G72 8UT",,
South Carolina,152,Christ Our King Parish,,"Mount Pleasant, South Carolina, 29465",,
South Carolina,152,Church of The Holy Spirit Parish,,"Johns Island, South Carolina, 29455",,
South Carolina,152,Church of the Infant Jesus Mission,,"Marion, South Carolina, 29571",,
South Carolina,152,Church of The Nativity Parish,,"Charleston, South Carolina, 29412",,
South Carolina,152,Clemson Catholic Campus Ministry,,"Clemson, South Carolina, 29631",,
South Carolina,152,Corpus Christi Catholic Church,,"Lexington, South Carolina, 29072",,
South Carolina,152,Diocese of Charleston,,"Charleston, South Carolina, 29401-2400",,
South Carolina,152,Diocese of Seychelles,,"Victoria, South Carolina, SEZ",,
South Carolina,152,Divine Redeemer Parish,,"Hanahan, South Carolina, 29410",,
South Carolina,152,Divine Saviour Parish,,"York, South Carolina, 29745",,
South Carolina,152,Good Shepherd,,"McCormick, South Carolina, 29835",,
South Carolina,152,Holy Cross,,"Edinburgh, South Carolina, EH53AH",,
South Carolina,152,Holy Cross Catholic Church,,"Pickens, South Carolina, 29671",,
South Carolina,152,Holy Cross Mission,,"Saint Helena Island, South Carolina, 29920",,
South Carolina,152,Holy Family Catholic Church,,"Hilton Head Island, South Carolina, 29928",,
South Carolina,152,Holy Spirit,,"Laurens, South Carolina, 29360",,
South Carolina,152,Holy Trinity Catholic School,,"Longs, South Carolina, 29568",,
South Carolina,152,Holy Trinity Parish,,"Orangeburg, South Carolina, 29118",,
South Carolina,152,Immaculate Conception Catholic Church,,"Goose Creek, South Carolina, 29445",,
South Carolina,152,Jesus Our Risen Savior Parish,,"Spartanburg, South Carolina, 29301",,
South Carolina,152,Knights of Columbus Council #8295,,"Anderson, South Carolina, 29621",,
South Carolina,152,Our Lady & St. George,,"Glasgow, South Carolina, G522QE",,
South Carolina,152,Our Lady & St. Margaret,,"Glasgow, South Carolina, G51HH",,
South Carolina,152,Our Lady of Fatima,,"Glasgow, South Carolina, G404RP",,
South Carolina,152,Our Lady of Good Counsel,,"Folly Beach, South Carolina, 29439",,
South Carolina,152,Our Lady of Grace Catholic Church,,"Lancaster, South Carolina, 29720",,
South Carolina,152,Our Lady of Hope Catholic Church,,"Manning, South Carolina, 29102",,
South Carolina,152,Our Lady of Lourdes Parish,,"Greenwood, South Carolina, 29646",,
South Carolina,152,Our Lady of Mercy Catholic Church,,"Charleston, South Carolina, 29403",,
South Carolina,152,Our Lady of Peace,,"Bonneau, South Carolina, 29431",,
South Carolina,152,Our Lady of Peace Parish,,"North Augusta, South Carolina, 29841",,
South Carolina,152,Our Lady of Perpetual Help Parish,,"Camden, South Carolina, 29020",,
South Carolina,152,Our Lady of The Hills Parish,,"Columbia, South Carolina, 29210",,
South Carolina,152,Our Lady of The Lake Parish,,"Chapin, South Carolina, 29036",,
South Carolina,152,Our Lady of The Rosary Parish,,"Greenville, South Carolina, 29604",,
South Carolina,152,Our Lady of The Valley Parish,,"Gloverville, South Carolina, 29828",,
South Carolina,152,Our Lady of the Waves,,"Dunbar, South Carolina, EH42IJL",,
South Carolina,152,Our Lady Star of the Sea Catholic Church,,"North Myrtle Beach, South Carolina, 29582",,
South Carolina,152,Prayer Warriors (St. Mary Help Of Christians Church),,"Aiken, South Carolina, 29801-4568",,
