State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
South Dakota,236,All Saints Parish,,"Eagle Butte, South Dakota, 57625-0110",,
South Dakota,236,All Saints Parish,,"Mellette, South Dakota, 57461-0046",,
South Dakota,236,Annunciation Parish,,"Revillo, South Dakota, 57259-0128",,
South Dakota,236,Assumption of The Blessed Virgin Mary,,"Kenel, South Dakota, 57642",,
South Dakota,236,Bishop Marty Chapel (Mount Mary College),,"Yankton, South Dakota, 57078",,
South Dakota,236,Blessed Sacrament Parish,,"Rapid City, South Dakota, 57702",,
South Dakota,236,Blessed Sacrament Parish,,"Bison, South Dakota, 57620-0297",,
South Dakota,236,Blessed Sacrament Parish,,"Florence, South Dakota, 57235",,
South Dakota,236,Blessed Teresa of Calutta,,"Dakota Dunes, South Dakota, 57049",,
South Dakota,236,Blue Cloud Abbey,,"Marvin, South Dakota, 57251-0098",,
South Dakota,236,Cathedral of Our Lady of Perpetual Help,,"Rapid City, South Dakota, 57701",,
South Dakota,236,Cathedral of St Joseph,,"Sioux Falls, South Dakota, 57104",,
South Dakota,236,Catholic Daughters of the Americas Court #1121,,"Pierre, South Dakota, 57501",,
South Dakota,236,Catholic Daughters of the Americas Court Blessed Kateri Tekakwitha #2635,,"Yankton, South Dakota, 57078",,
South Dakota,236,Catholic Daughters of the Americas Court Holy Heart #163,,"Yankton, South Dakota, 57078",,
South Dakota,236,Catholic Daughters of the Americas Court Little Flower #1054,,"Yankton, South Dakota, 57078",,
South Dakota,236,Catholic Daughters of the Americas Court Madonna #1952,,"Yankton, South Dakota, 57078",,
South Dakota,236,Catholic Daughters of the Americas Court Mother Teresa #2510,,"Sioux Falls, South Dakota, 57106",,
South Dakota,236,Catholic Daughters of the Americas Court Our Lady of Peace #1708,,"Yankton, South Dakota, 57078",,
South Dakota,236,Catholic Daughters of the Americas Court Sacred Heart #280,,"Yankton, South Dakota, 57078",,
South Dakota,236,Catholic Daughters of the Americas Court Sancta Maria # 368,,"Yankton, South Dakota, 57078",,
South Dakota,236,Catholic Daughters of the Americas Court St. Agnes # 687,,"Yankton, South Dakota, 57078",,
South Dakota,236,Catholic Daughters of the Americas Court St. Agnes #618,,"Yankton, South Dakota, 57078",,
