State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Texas,1413,All Saints Catholic Church,,"Fort Worth, Texas, 76164",,
Texas,1413,All Saints Catholic Church,,"Dallas, Texas, 75248-4046",,
Texas,1413,All Saints Parish,,"El Paso, Texas, 79930-1303",,
Texas,1413,All Saints Parish,,"Houston, Texas, 77008-7025",,
Texas,1413,Annunciation Catholic Church,,"Houston, Texas, 77003",,
Texas,1413,Annunciation of The Blessed Virgin Mary Parish,,"Saint Hedwig, Texas, 78152",,
Texas,1413,Archdiocese of Galveston - Houston,,"Houston, Texas, 77001-0907",,
Texas,1413,Archdiocese of San Antonio,,"San Antonio, Texas, 78228-0410",,
Texas,1413,Ascension Chinese Mission,,"Houston, Texas, 77072-1222",,
Texas,1413,Ascension Parish,,"Bastrop, Texas, 78602",,
Texas,1413,Assumption,,"Palacios, Texas, 77465-2514",,
Texas,1413,Assumption of The Blessed Virgin Mary Parish,,"Ganado, Texas, 77962-0369",,
Texas,1413,Assumption of The Blessed Virgin Mary Parish,,"Decatur, Texas, 76234-4410",,
Texas,1413,Assumption Parish,,"Houston, Texas, 77037-4611",,
Texas,1413,Assumption Parish,,"West, Texas, 76691",,
Texas,1413,Basilica of Our Lady of San Juan del Valle National Shrine,,"San Juan, Texas, 78589",,
Texas,1413,Basilica of the National Shrine of the Little Flower,,"San Antonio, Texas, 78201",,
Texas,1413,Bl. John Paul II University Parish,,"Denton, Texas, 76201",,
Texas,1413,Blessed Juan Diego,,"Del Valle, Texas, 78617",,
Texas,1413,Blessed Kateri Tekakwitha,,"Buffalo, Texas, 75831-0878",,
Texas,1413,Blessed Sacrament,,"Houston, Texas, 77003-2695",,
Texas,1413,Blessed Sacrament Catholic Church,,"Laredo, Texas, 78043",,
Texas,1413,Blessed Sacrament Church,,"Amarillo, Texas, 79103",,
Texas,1413,Blessed Sacrament Parish,,"San Antonio, Texas, 78216",,
Texas,1413,Blessed Sacrament Parish,,"Poth, Texas, 78147",,
Texas,1413,Blessed Sacrament Parish,,"Beaumont, Texas, 77701",,
Texas,1413,Blessed Sacrament Parish,,"Dallas, Texas, 75203",,
Texas,1413,Blessed Sacrament Parish,,"El Paso, Texas, 79904",,
Texas,1413,Blessed Virgin Mary Catholic Church,,"Washington, Texas, 77880-5106",,
Texas,1413,Camp Joshua Youth Group,,"San Antonio, Texas, 78211",,
Texas,1413,Capilla de San Jose Mission,,"Lull, Texas, 78539",,
Texas,1413,CapillaLa Divina Providencia,,"Houston, Texas, 77029",,
Texas,1413,Carmelite Learning Center,,"San Antonio, Texas, 78203",,
Texas,1413,Carmelite Sisters D.C.J. Southwest Province,,"Corpus Christi, Texas, 78411",,
Texas,1413,Cassata High School,,"Fort Worth, Texas, 76104",,
Texas,1413,Cathedral of San Fernando,,"San Antonio, Texas, 78205-2718",,
Texas,1413,Cathedral of The Immaculate Conception,,"Brownsville, Texas, 78520",,
Texas,1413,Cathedral of The Immaculate Conception,,"Tyler, Texas, 75702",,
Texas,1413,Cathedral Shrine of the Virgin of Guadalupe,,"Dallas, Texas, 75201-2707",,
Texas,1413,Catholic Action Worldwide,,"Houston, Texas, 77025",,
Texas,1413,Catholic Benedictine Monastery of Thien Tam (Heavenly Heart),,"Kerens, Texas, 75144",,
Texas,1413,Catholic Catechist,,"Spring, Texas, 77379",,
Texas,1413,Catholic Charismatic Center,,"Houston, Texas, 77223",,
Texas,1413,Catholic Churches of South Odessa,,"Odessa, Texas, 79763-4770",,
Texas,1413,Catholic Community Chapel of Ft. Bliss,,"Fort Bliss, Texas, 79906-0095",,
Texas,1413,Catholic Newman Center University of Houston,,"Houston, Texas, 77004-2611",,
Texas,1413,"Catholic Student Center, S.H.S.U.",,"Huntsville, Texas, 77340-4415",,
Texas,1413,Catholic Television of San Antonio,,"San Antonio, Texas, 78228",,
Texas,1413,Central Catholic High School,,"San Antonio, 78215",,
Texas,1413,Chapel of Polish Catholic Mission,,"M, Texas, 80799",,
Texas,1413,Christ Our Light Church,,"Navasota, Texas, 77868",,
Texas,1413,Christ the Good Shepherd Catholic Community,,"Spring, Texas, 77379-4945",,
Texas,1413,Christ the King,,"Sunray, Texas, 79086",,
Texas,1413,Christ The King,,"Fort Worth, Texas, 76111",,
Texas,1413,Christ The King Cathedral,,"Lubbock, Texas, 79413",,
Texas,1413,Christ The King Catholic Church,,"Kilgore, Texas, 75662-3209",,
Texas,1413,Christ the King Chapel,,"Colonia Nueva, Texas, 78537",,
Texas,1413,Christ the King Church,,"Laredo, Texas, 78040-5263",,
Texas,1413,Christ the King Church,,"Houston, Texas, 77009-5199",,
Texas,1413,Christ the King Church,,"Dallas, Texas, 75225-6304",,
Texas,1413,Christ the King Church,,"Brownsville, Texas, 78521-3760",,
Texas,1413,Christ the King Church,,"Belton, Texas, 76513-1608",,
Texas,1413,Christ the King Mission,,"Monte Alto, Texas, 78538",,
Texas,1413,Christ The King Parish,,"Balmorhea, Texas, 79718-9701",,
Texas,1413,Christ The King Parish,,"Corpus Christi, Texas, 78415-4599",,
Texas,1413,Christ the King Parish,,"San Antonio, Texas, 78207",,
Texas,1413,Christ The King Parish,,"Iowa Park, Texas, 76367-1253",,
Texas,1413,Christ the Redeemer Church,,"Houston, Texas, 77065-1322",,
Texas,1413,Christ The Savior Parish,,"El Paso, Texas, 79924",,
Texas,1413,"Christ, the Incarnate Word",,"Houston, Texas, 77099-4056",,
Texas,1413,Christo Redentor,,"Gruver, Texas, 79040",,
Texas,1413,Christo Rey Parish,,"Beaumont, Texas, 77701",,
Texas,1413,Church of the Good Shepherd,,"Schertz, Texas, 78154",,
Texas,1413,Church of The Holy Spirit,,"Tulia, Texas, 79088-3012",,
Texas,1413,Church of The Incarnation,,"Irving, Texas, 75062",,
Texas,1413,Cistercian Abbey,,"Irving, Texas, 75039",,
Texas,1413,Co-Cathedral of The Sacred Heart,,"Houston, Texas, 77002-8195",,
Texas,1413,Collegiate Parish of St. Thomas More,,"Corpus Christi, Texas, 78404-3862",,
Texas,1413,Companions of the Cross,,"Houston, Texas, 77023",,
Texas,1413,Corpus Christi Cathedral,,"Corpus Christi, Texas, 78401-2430",,
Texas,1413,Corpus Christi Church,,"Houston, Texas, 77025-4798",,
Texas,1413,Corpus Christi Parish,,"El Paso, Texas, 79907-4826",,
Texas,1413,Corpus Christi Parish,,"Ferris, Texas, 75125-2025",,
Texas,1413,Cristo Rey Catholic Church,,"Austin, Texas, 78702",,
Texas,1413,Cristo Rey Mission,,"La Victoria, Texas, 78548",,
Texas,1413,Cristo Rey Parish,,"El Paso, Texas, 79907-2235",,
Texas,1413,Cursillo Movement,,"Lubbock, Texas, 79416",,
Texas,1413,Dallas Young Adults,,"Dallas, Texas, 75219",,
Texas,1413,Diocese of Amarillo,,"Amarillo, Texas, 79107",,
Texas,1413,Diocese of Austin,,"Austin, Texas, 78723",,
Texas,1413,Diocese of Beaumont,,"Beaumont, Texas, 77701",,
Texas,1413,Diocese of Brownsville,,"Brownsville, Texas, 78522-2279",,
Texas,1413,Diocese of Corpus Christi,,"Corpus Christi, Texas, 78401",,
Texas,1413,Diocese of Dallas,,"Dallas, Texas, 75219",,
Texas,1413,Diocese of El Paso,,"El Paso, Texas, 79907",,
Texas,1413,Diocese of Fort Worth,,"Fort Worth, Texas, 76108-2919",,
Texas,1413,Diocese of Laredo,,"Laredo, Texas, 78043",,
Texas,1413,Diocese of Lubbock,,"Lubbock, Texas, 79416",,
Texas,1413,Diocese of San,,"San, Texas, United States",,
Texas,1413,Diocese of San Angelo,,"San Angelo, Texas, 76905",,
Texas,1413,Diocese of Tyler,,"Tyler, Texas, 75701-9663",,
Texas,1413,Diocese of Tyler Office of Faith Formation,,"Tyler, Texas, 75701",,
Texas,1413,Diocese of Victoria,,"Victoria, Texas, 77903",,
Texas,1413,Divine Mercy,,"Laredo, Texas, 78045",,
Texas,1413,Divine Mercy of Our Lord Catholic Church,,"Mesquite, Texas, 75149",,
Texas,1413,Divine Providence Catholic Church,,"San Antonio, Texas, 78242",,
Texas,1413,El Paso Southwest Youth Conference,,"El Paso, Texas, 79905",,
Texas,1413,Emmaus Catholic Parish,,"Austin, Texas, 78734-5158",,
Texas,1413,Emmaus Catholic Parish,,"Lakeway, Texas, 78734",,
Texas,1413,En el Santuario,,"El Paso, Texas, 79905",,
Texas,1413,Epiphany,,"Jayton, Texas, 79528",,
Texas,1413,Epiphany of The Lord Parish,,"Katy, Texas, 77450-4999",,
Texas,1413,Epiphany Parish,,"Italy, Texas, 76651",,
Texas,1413,Franciscan Sisters of St. George,,"Igogwe, Texas, United States",,
Texas,1413,Freyburg,,"Freyburg, Texas, 6632",,
Texas,1413,Good Shepherd,,"Lometa, Texas, 76853",,
Texas,1413,Good Shepherd,,"Johnson City, Texas, 78636",,
Texas,1413,Good Shepherd Catholic Church,,"Brownsville, Texas, 78521",,
Texas,1413,Good Shepherd Catholic Community,,"Colleyville, Texas, 76034-6104",,
Texas,1413,Good Shepherd Church,,"Garland, Texas, 75040",,
