State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Utah,72,Abbey of Our Lady of the Holy Trinity,,"Huntsville, Utah, 84317",,
Utah,72,Blessed Sacrament Church,,"Sandy, Utah, 84092",,
Utah,72,Calvary Cross Christian School,,"Midvale, Utah, 84047",,
Utah,72,Carmelite Monastery of Salt Lake,,"Salt Lake City, Utah, 84121-1599",,
Utah,72,Christ The King Parish,,"Cedar City, Utah, 84720-1900",,
Utah,72,DCCW Information,,"Salt Lake City, Utah, 84058",,
Utah,72,Diocese of Salt Lake City,,"Salt Lake City, Utah, 84103-2397",,
Utah,72,Good Shepherd Parish,,"East Carbon, Utah, 84520",,
Utah,72,Holy Family Mission,,"Fillmore, Utah, 84631",,
Utah,72,Holy Family Parish,,"Ogden, Utah, 84403",,
Utah,72,Immaculate Conception Parish,,"Copperton, Utah, 84006",,
Utah,72,Intermountain Catholic,,"Salt Lake City, Utah, 84103",,
Utah,72,Notre Dame De Lourdes Parish,,"Price, Utah, 84501",,
Utah,72,Our Lady of Guadalupe Catholic Church,,"Salt Lake City, Utah, 84116",,
Utah,72,Our Lady of Lourdes,,"Magna, Utah, 84044",,
Utah,72,Our Lady of Lourdes Parish,,"Salt Lake City, Utah, 84102",,
Utah,72,Our Lady of Perpetual Help Parish,,"Salt Lake City, Utah, 84118",,
Utah,72,Our Lady of the Light Mission,,"Beaver, Utah, United States",,
Utah,72,Sacred Heart Mission,,"La Sal, Utah, 84530",,
Utah,72,Sacred Heart Parish,,"Salt Lake City, Utah, 84111",,
Utah,72,San Andres Catholic Church,,"Payson, Utah, 84651",,
Utah,72,San Felipe Catholic Church,,"Wendover, Utah, 84083",,
Utah,72,San Isidro Mission,,"Elberta, Utah, 84651",,
Utah,72,San Rafael Mission,,"Huntington, Utah, 84528",,
Utah,72,Santa Ana Mission,,"Tremonton, Utah, 84337",,
Utah,72,SS Peter & Paul,,"West Valley City, Utah, 84120",,
Utah,72,St. Ambrose Parish,,"Salt Lake City, Utah, 84108-3217",,
Utah,72,St. Andrew Parish,,"Riverton, Utah, 84065",,
Utah,72,St. Ann Parish,,"Salt Lake City, Utah, 84115",,
Utah,72,St. Anthony of Padua Parish,,"Helper, Utah, 84526",,
Utah,72,St. Anthony of the Desert Mission,,"Torrey, Utah, 84775",,
Utah,72,St. Bernadette,,"Withington, Utah, M201HH",,
Utah,72,St. Bridget Parish,,"Milford, Utah, 84751",,
Utah,72,St. Catherine of Sienna Parish,,"Salt Lake City, Utah, 84102",,
Utah,72,St. Christopher Catholic Church,,"Kanab, Utah, 84741",,
Utah,72,St. Elizabeth Parish,,"Central Valley, Utah, 84754",,
Utah,72,St. Florence Catholic Community,,"Huntsville, Utah, 84317",,
Utah,72,St. Francis of Assisi Parish,,"Orem, Utah, 84057",,
Utah,72,St. Francis Xavier Parish,,"Kearns, Utah, 84118",,
Utah,72,St. George Catholic Church,,"Saint George, Utah, 84770",,
Utah,72,St. Gertrude Mission,,"Panguitch, Utah, 84759",,
Utah,72,St. Helen's Parish,,"Roosevelt, Utah, 84066",,
Utah,72,St. Henry Parish,,"Brigham City, Utah, 84302",,
Utah,72,St. James Parish,,"Ogden, Utah, 84404-4100",,
Utah,72,St. James The Greater Parish,,"Vernal, Utah, 84078",,
Utah,72,St. John Bosco Mission,,"Delta, Utah, 84624",,
Utah,72,St. John the Baptist,,"Draper, Utah, 84020",,
Utah,72,St. Joseph Parish,,"Monticello, Utah, 84535",,
Utah,72,St. Joseph Parish,,"Ogden, Utah, 84401",,
Utah,72,St. Joseph The Worker Parish,,"West Jordan, Utah, 84084",,
Utah,72,St. Joseph Villa,,"Salt Lake City, Utah, 84115",,
Utah,72,St. Jude Maronite Catholic Parish,,"Murray, Utah, 84107-4941",,
Utah,72,St. Jude Mission,,"Ephraim, Utah, 84627-1439",,
Utah,72,St. Lawrence Mission,,"Heber City, Utah, 84032",,
Utah,72,St. Marguerite Catholic Church,,"Tooele, Utah, 84074",,
Utah,72,St. Martin De Porres Parish,,"Taylorsville, Utah, 84129",,
Utah,72,St. Mary of The Assumption Parish,,"Park City, Utah, 84060",,
Utah,72,St. Mary Parish,,"West Haven, Utah, 84401",,
Utah,72,St. Mary's Old Town Chapel,,"Park City, Utah, 84060",,
Utah,72,St. Olaf Parish,,"Bountiful, Utah, 84010",,
Utah,72,St. Patrick,,"Eureka, Utah, 84628",,
Utah,72,St. Patrick Parish,,"Salt Lake City, Utah, 84104-1261",,
Utah,72,St. Paul Catholic Center,,"Hurricane, Utah, 84737",,
Utah,72,St. Paul Catholic Center,,"Hurricane, Utah, 84737",,
Utah,72,St. Peter's Parish,,"American Fork, Utah, 84003",,
Utah,72,St. Pius X Parish,,"Moab, Utah, 84532-2373",,
Utah,72,St. Rose of Lima Parish,,"Layton, Utah, 84041",,
Utah,72,St. Thomas Aquinas Parish,,"Hyde Park, Utah, 84318",,
Utah,72,St. Thomas More Parish,,"Sandy, Utah, 84093-6545",,
Utah,72,St. Vincent DePaul Parish,,"Salt Lake City, Utah, 84117",,
Utah,72,The Cathedral of The Madeleine,,"Salt Lake City, Utah, 84111",,
Utah,72,Weber State University Newman Center,,"Ogden, Utah, 84403",,
