State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Vermont,127,All Saints Parish,,"Richford, Vermont, 5476",,
Vermont,127,Annunciation Parish,,"Ludlow, Vermont, 5149",,
Vermont,127,Ascension Parish,,"Georgia, Vermont, 5468",,
Vermont,127,Assumption of The Blessed Virgin Mary Parish,,"Middlebury, Vermont, 5753",,
Vermont,127,Blessed Sacrament Church,,"Stowe, Vermont, 5672",,
Vermont,127,Cathedral of The Immaculate Conception,,"Burlington, Vermont, 5401",,
Vermont,127,Chapel of the Snows,,"Stratton Mountain, Vermont, 5155",,
Vermont,127,Christ the King Parish,,"Rutland, Vermont, 05701",,
Vermont,127,Christ The King Parish,,"Burlington, Vermont, 5401",,
Vermont,127,Conversion of St Paul Parish,,"Manchester Center, Vermont, 05255-2830",,
Vermont,127,Diocese of Burlington,,"Burlington, Vermont, 05402-0526",,
Vermont,127,Holy Angels Parish,,"Saint Albans, Vermont, 5478",,
Vermont,127,Holy Cross Parish,,"Colchester, Vermont, 05446-1155",,
Vermont,127,Holy Family/St. Lawrence Parish,,"Essex Junction, Vermont, 5452",,
Vermont,127,Holy Name of Mary,,"Proctorsville, Vermont, 5153",,
Vermont,127,Immaculate Conception Parish,,"Saint Albans, Vermont, 5478",,
Vermont,127,Immaculate Heart of Mary Parish,,"Rutland, Vermont, 5701",,
Vermont,127,Immaculate Heart of Mary Parish,,"Williston, Vermont, 5495",,
Vermont,127,"Mary, Queen of All Saints Parish (Our Lady of Fatima Church)",,"Craftsbury, Vermont, 5826",,
Vermont,127,Maternity of The Blessed Virgin Mary Parish,,"Springfield, Vermont, 5156",,
Vermont,127,Most Holy Trinity,,"Barton, Vermont, 5822",,
Vermont,127,Most Holy Trinity (St. Theresa of The Child Jesus Parish),,"Orleans, Vermont, 5860",,
Vermont,127,Most Holy Trinity Parish (St. John Vianney Church),,"Irasburg, Vermont, 5845",,
Vermont,127,Nativity of The Blessed Virgin Mary St. Louis Parish,,"Swanton, Vermont, 5488",,
Vermont,127,North American Martyrs Parish,,"Marshfield, Vermont, 5658",,
Vermont,127,Our Lady of Fatima Parish,,"Wilmington, Vermont, 5363",,
Vermont,127,Our Lady of Good Help,,"Brandon, Vermont, 5733",,
Vermont,127,Our Lady of Grace Parish,,"Colchester, Vermont, 5446",,
Vermont,127,Our Lady of Light,,"South Strafford, Vermont, 5070",,
Vermont,127,Our Lady of Lourdes,,"North Pownal, Vermont, 5260",,
Vermont,127,Our Lady of Lourdes,,"East Berkshire, Vermont, 5447",,
Vermont,127,Our Lady of Mercy Parish,,"Putney, Vermont, 5346",,
Vermont,127,Our Lady of Mount Carmel Parish,,"Charlotte, Vermont, 5445",,
Vermont,127,Our Lady of Perpetual Help Parish,,"Bradford, Vermont, 5033",,
