State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Virginia,284,All Saints Parish,,"Manassas, Virginia, 20110",,
Virginia,284,Annunciation of The Blessed Virgin Mary Parish,,"Manassas, Virginia, 20108",,
Virginia,284,Arlington Diocesan Council of Catholic Women,,"Herndon, Virginia, 20170",,
Virginia,284,Ascension Of Our Lord Parish,,"Williamsburg, Virginia, 23185",,
Virginia,284,Basilica of St Mary of The Immaculate Conception,,"Norfolk, Virginia, 23504-4202",,
Virginia,284,Benedictine Sisters of Virginia,,"Bristow, Virginia, 20136",,
Virginia,284,Blessed Kateri Tekawitha Parish (Poquoson),,"Tabb, Virginia, 23693",,
Virginia,284,Blessed Sacrament Parish,,"Norfolk, Virginia, 23505-4557",,
Virginia,284,Blessed Sacrament Parish,,"Harrisonburg, Virginia, 22802",,
Virginia,284,Blessed Sacrament Parish,,"Alexandria, Virginia, 22302",,
Virginia,284,Cathedral of St Thomas More,,"Arlington, Virginia, 22203",,
Virginia,284,Cathedral of The Sacred Heart,,"Richmond, Virginia, 23220-4764",,
Virginia,284,Catholic Church of Saint Mark,,"Virginia Beach, Virginia, 23464-7210",,
Virginia,284,Catholic Church of the Epiphany,,"Richmond, Virginia, 23236",,
Virginia,284,Catholic Community of Sacred Heart,,"Dahlgren, Virginia, 22448",,
Virginia,284,Catholic Community of the Korean Martyrs,,"Hampton, Virginia, 23661",,
Virginia,284,Christ the King,,"Norfolk, Virginia, 23509",,
Virginia,284,Christ The King Parish,,"Abingdon, Virginia, 24212-1201",,
Virginia,284,Christ the Redeemer Catholic Church,,"Sterling, Virginia, 20164-2250",,
Virginia,284,Christendom College,,"Front Royal, Virginia, 22630",,
Virginia,284,Christopher Newport University (Pope Chapel),,"Newport News, Virginia, 23606",,
Virginia,284,Church of All Saints,,"Floyd, Virginia, 24091",,
Virginia,284,Church of Francis de Sales,,"Mathews, Virginia, 23109",,
Virginia,284,Church of Francis de Sales a Roman Catholic Community,,"Mathews, Virginia, 23109",,
Virginia,284,Church of St. Therese,,"Chesapeake, Virginia, 23321",,
Virginia,284,Church of The Ascension Parish,,"Virginia Beach, Virginia, 23462",,
Virginia,284,Church of the Holy Angels,,"Portsmouth, Virginia, 23702-2739",,
Virginia,284,Church of The Holy Apostles Parish,,"Virginia Beach, Virginia, 23453-2054",,
Virginia,284,Church of The Holy Comforter Parish,,"Charlottesville, Virginia, 22902-5105",,
Virginia,284,Church of the Holy Spirit,,"Jonesville, Virginia, 24263",,
Virginia,284,Church of The Incarnation Parish,,"Charlottesville, Virginia, 22901",,
Virginia,284,Church of the Nativity,,"Burke, Virginia, 22015-4006",,
Virginia,284,Church of The Nativity Parish,,"Buckingham, Virginia, 23921-0241",,
Virginia,284,Church of The Redeemer,,"Mechanicsville, Virginia, 23116-2329",,
Virginia,284,Church of the Resurrection,,"Portsmouth, Virginia, 23703-3803",,
Virginia,284,Church of the Risen Lord,,"Stuart, Virginia, 24171",,
Virginia,284,Church of the Sacred Heart,,"So. Prince George, Virginia, 23805",,
Virginia,284,Church of The Sacred Heart,,"Petersburg, Virginia, 23805-7567",,
Virginia,284,Church of The Transfiguration,,"Fincastle, Virginia, 24090-0416",,
Virginia,284,Church of The Vietnamese Martyrs,,"Richmond, Virginia, 23238",,
Virginia,284,Church of the Visitation,,"Topping, Virginia, 23169",,
Virginia,284,Corpus Christi Catholic Mission,,"South Riding, Virginia, 20152",,
Virginia,284,Diocese of Arlington,,"Arlington, Virginia, 22203-3728",,
Virginia,284,Diocese of Richmond,,"Richmond, Virginia, 23294",,
Virginia,284,Epiphany of Our Lord Parish,,"Annandale, Virginia, 22003",,
Virginia,284,Filipino Youth,,"South Riding, Virginia, 20152",,
Virginia,284,Fort Belvoir Catholic Community,,"Fort Belvoir, Virginia, 22060",,
Virginia,284,Fr. Colin Cooke Council Knights of Columbus 10578,,"Tappahannock, Virginia, 22560",,
Virginia,284,Francis of Assisi Parish,,"Rocky Mount, Virginia, 24151-2111",,
Virginia,284,GMU Catholic Campus Ministry,,"Fairfax, Virginia, 22032",,
Virginia,284,Good Samaritan,,"Amelia, Virginia, 23002",,
Virginia,284,Good Shepherd,,"Lebanon, Virginia, 24266",,
Virginia,284,Good Shepherd Catholic Church,,"Alexandria, Virginia, 22309",,
Virginia,284,Good Shepherd Parish,,"South Hill, Virginia, 23970-0621",,
Virginia,284,Good Shepherd Parish,,"Smithfield, Virginia, 23430",,
Virginia,284,Holy Angels Council 10766,,"Portsmouth, Virginia, 23704",,
Virginia,284,Holy Cross Parish,,"Lynchburg, Virginia, 24504",,
Virginia,284,Holy Family Parish,,"Pearisburg, Virginia, 24134-1832",,
Virginia,284,Holy Family Parish,,"Virginia Beach, Virginia, 23454-2117",,
Virginia,284,Holy Family Parish,,"Dale City, Virginia, 22193-2198",,
Virginia,284,Holy Infant Catholic Church,,"Elkton, Virginia, 22827",,
Virginia,284,Holy Martyrs of Vietnam Parish,,"Arlington, Virginia, 22204",,
Virginia,284,Holy Name of Mary Catholic Church,,"Bedford, Virginia, 24523-1613",,
Virginia,284,Holy Rosary Parish,,"Richmond, Virginia, 23223",,
Virginia,284,Holy Spirit Catholic Church,,"Christiansburg, Virginia, 24073",,
Virginia,284,Holy Spirit Catholic Church,,"Annandale, Virginia, 22003",,
Virginia,284,Holy Spirit Parish,,"Virginia Beach, Virginia, 23453",,
Virginia,284,Holy Transfiguration Parish,,"McLean, Virginia, 22102",,
Virginia,284,Holy Trinity Parish,,"Gainesville, Virginia, 20155",,
Virginia,284,Holy Trinity Parish,,"Norfolk, Virginia, 23503-2905",,
Virginia,284,Iglesia Del Sagrado Coraz,,"Petersburg, Virginia, 23805-7567",,
Virginia,284,Immaculate Conception Catholic Church,,"Hampton, Virginia, 23666-0382",,
Virginia,284,Immaculate Conception Catholic Church,,"Buckner, 23024",,
Virginia,284,Immaculate Heart of Mary Parish,,"Blackstone, Virginia, 23824-0266",,
Virginia,284,Ireton Knights of Columbus,,"Richmond, Virginia, 23236",,
Virginia,284,Knights of Columbus Council 459,,"Alexandria, Virginia, 22314",,
Virginia,284,Knights of Columbus: St. Isidore the Farmer Council,,"Orange, Virginia, 22960-2573",,
Virginia,284,Langley AFB Chapel,,"Hampton, Virginia, 23665",,
Virginia,284,"Mary Mother of the Church, Benedictine Abbey",,"Richmond, Virginia, 23238",,
Virginia,284,Marymount University,,"Arlington, Virginia, 22207",,
Virginia,284,National Catholic Educational Association,,"Arlington, Virginia, 22201",,
Virginia,284,National Council of Catholic Women,,"Arlington, Virginia, 22203",,
Virginia,284,National Shrine of Our Lady,,"Walsingham, Virginia, United States",,
Virginia,284,Newman Community at Virginia Tech,,"Blacksburg, Virginia, 24060",,
Virginia,284,Northern Virginia Catholic Library Association,,"Alexandria, Virginia, 22306",,
Virginia,284,Our Lady of Angels Parish,,"Woodbridge, 22191",,
Virginia,284,Our Lady of Annuciation,,"Halli Bellary Dt, Virginia, 583212",,
Virginia,284,Our Lady of Assumption,,"Navasa, Virginia, 22850",,
Virginia,284,Our Lady of Divine Mercy,,"Come, Virginia, United States",,
Virginia,284,Our Lady of Good Counsel Parish,,"Vienna, Virginia, 22182",,
Virginia,284,Our Lady Of Grace School,,"Manassas, Virginia, 20111-2119",,
Virginia,284,Our Lady of Hope,,"Potomac Falls, Virginia, 20165",,
