State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Washington,338,All Saints Parish,,"Puyallup, Washington, 98371-5880",,
Washington,338,Archdiocesan Council of Catholic Women,,"Seattle, Washington, 98092",,
Washington,338,Archdiocese of Seattle,,"Seattle, Washington, 98104",,
Washington,338,Assumption Blessed Virgin Mary Parish,,"Bellingham, Washington, 98225",,
Washington,338,Assumption of The Blessed Virgin Mary Parish,,"Walla Walla, Washington, 99362-2698",,
Washington,338,Assumption of The Blessed Virgin Mary Parish,,"Spokane, Washington, 99208",,
Washington,338,Assumption Parish,,"Seattle, Washington, 98115",,
Washington,338,Blessed Mary Czestochowa,,"Kozy, Washington, 88-230",,
Washington,338,Blessed Sacrament Parish,,"Grandview, Washington, 98930",,
Washington,338,Blessed Sacrament Parish,,"Seattle, Washington, 98105",,
Washington,338,Blessed Teresa of Calcutta,,"Woodinville, Washington, 98077",,
Washington,338,Carmelite Institute of Spirituality,,"Stanwood, Washington, 98292",,
Washington,338,Cathedral of Our Lady of Lourdes,,"Spokane, Washington, 99201-1195",,
Washington,338,Cathedral of St James,,"Seattle, Washington, 98104",,
Washington,338,Cathedral of St Paul,,"Yakima, Washington, 98902",,
Washington,338,Christ Our Hope Catholic Church,,"Seattle, Washington, 98101",,
Washington,338,Christ The King Parish,,"Richland, Washington, 99352",,
Washington,338,Christ The King Parish,,"Seattle, Washington, 98133-8609",,
Washington,338,Diocese of Menevia,,"Swansea, Washington, SA1 2BX",,
Washington,338,Diocese of Spokane,,"Spokane, Washington, 99201",,
Washington,338,Diocese of Yakima,,"Yakima, Washington, 98908-3493",,
Washington,338,Ellensburg Knights of Columbus,,"Ellensburg, Washington, 98926",,
Washington,338,Grace of God,,"Sasino, Washington, 84-211",,
Washington,338,Holy Angels,,"Coulee City, Washington, 99133",,
Washington,338,Holy Apostles Catholic Church,,"East Wenatchee, Washington, 98802",,
Washington,338,Holy Cross,,"Lake Stevens, Washington, 98258",,
Washington,338,Holy Cross,,"Llangollen, Washington, LL208NR",,
Washington,338,Holy Cross Parish,,"Tacoma, Washington, 98407-3716",,
Washington,338,Holy Disciples Parish,,"Puyallup, Washington, 98374",,
Washington,338,Holy Family,,"Frances, Washington, 98577",,
Washington,338,Holy Family Parish,,"Clarkston, Washington, 99403",,
Washington,338,Holy Family Parish,,"Yakima, Washington, 98908",,
