State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
West Virginia,144,All Saints Parish,,"Bridgeport, West Virginia, 26330-1750",,
West Virginia,144,Annunciation of Our Lord Parish,,"Fort Ashby, West Virginia, 26719-0553",,
West Virginia,144,Assumption Parish,,"Keyser, West Virginia, 26726-2721",,
West Virginia,144,Basilica of the Co-Cathedral of the Sacred Heart,,"Charleston, West Virginia, 25301",,
West Virginia,144,Blessed Sacrament Church,,"South Charleston, West Virginia, 25303-1597",,
West Virginia,144,Campus Ministry for Fairmont State University and Pierpont Community & Technical College,,"Fairmont, West Virginia, 26554",,
West Virginia,144,Cathedral of St Joseph,,"Wheeling, West Virginia, 26003",,
West Virginia,144,Catholic Church of the Ascension,,"Hurricane, West Virginia, 25526-9199",,
West Virginia,144,Christ Our Hope Parish,,"Harrisville, West Virginia, 26362",,
West Virginia,144,Christ the King,,"Dunbar, West Virginia, 25064",,
West Virginia,144,Christ The King Parish,,"War, West Virginia, 24892-0728",,
West Virginia,144,Corpus Christi Parish,,"Wheeling, West Virginia, 26003-7197",,
West Virginia,144,Diocese of Wheeling - Charleston,,"Wheeling, West Virginia, 26003-0230",,
West Virginia,144,Don Bosco Montessori,,"Charles Town, West Virginia, 25438",,
West Virginia,144,Epiphany of The Lord Parish,,"Moorefield, West Virginia, 26836",,
West Virginia,144,Fr. Patrick J. Gillooly Assembly #3214 Knights of Columbus,,"Berkeley Springs, West Virginia, 25411",,
West Virginia,144,Good Shepherd,,"Coalburg, West Virginia, 25067",,
West Virginia,144,Good Shepherd Catholic Church,,"Glenville, West Virginia, 26351",,
West Virginia,144,Holy Cross,,"Pineville, West Virginia, 24874",,
West Virginia,144,Holy Family,,"Beech Bottom, West Virginia, 26030",,
West Virginia,144,Holy Family Mission,,"Spelter, West Virginia, 26438",,
West Virginia,144,Holy Family Parish,,"Richwood, West Virginia, 26261-1318",,
West Virginia,144,Holy Redeemer Parish,,"Spencer, West Virginia, 25276-1024",,
West Virginia,144,Holy Rosary Parish,,"Buckhannon, West Virginia, 26201-0848",,
West Virginia,144,Holy Rosary Parish,,"Sistersville, West Virginia, 26175-1405",,
West Virginia,144,Holy Spirit Parish,,"Monongah, West Virginia, 26554-1116",,
West Virginia,144,Holy Trinity Church,,"Nitro, West Virginia, 25143-1787",,
West Virginia,144,Immaculate Conception Parish,,"Fairmont, West Virginia, 26554",,
West Virginia,144,Immaculate Conception Parish,,"Clarksburg, West Virginia, 26301-2186",,
West Virginia,144,Immaculate Conception Parish,,"New Cumberland, West Virginia, 26047",,
West Virginia,144,Immaculate Conception Parish,,"Montgomery, West Virginia, 25136-2302",,
West Virginia,144,"Jesus Christ, Prince of Peace",,"Grantsville, West Virginia, 26147",,
West Virginia,144,Marshall Catholic Newman Center,,"Huntington, West Virginia, 25703",,
West Virginia,144,Mater Dolorosa Parish,,"Paden City, West Virginia, 26159-1736",,
West Virginia,144,Nativity of Our Lord Parish,,"Wayne, West Virginia, 25570-9738",,
West Virginia,144,Our Lady Of Fatima Parish,,"Huntington, West Virginia, 25705-1599",,
West Virginia,144,Our Lady Of Fatima Parish School,,"Huntington, West Virginia, 25705",,
West Virginia,144,Our Lady of Grace Parish,,"Romney, West Virginia, 26757-0871",,
West Virginia,144,Our Lady of Lebanon Church,,"Wheeling, West Virginia, 26003",,
West Virginia,144,Our Lady of Mercy,,"Parsons, West Virginia, 26287",,
West Virginia,144,Our Lady of Peace Parish,,"Wheeling, West Virginia, 26003-4632",,
West Virginia,144,Our Lady of Perpetual Help,,"Wheeling, West Virginia, 26003-4346",,
West Virginia,144,Our Lady of Perpetual Help Catholic Church,,"Stonewood, West Virginia, 26301-7702",,
West Virginia,144,Our Lady of Seven Dolors,,"Triadelphia, West Virginia, 26059",,
West Virginia,144,Our Lady of The Hills Catholic Church,,"Elkview, West Virginia, 25071-9366",,
West Virginia,144,Our Lady of Victory Parish,,"Gary, West Virginia, 24836-0130",,
West Virginia,144,Risen Lord Catholic Church,,"Maysel, West Virginia, 25133",,
West Virginia,144,Sacred Heart,,"Pickens, West Virginia, 26230",,
West Virginia,144,Sacred Heart Catholic Church,,"Chester, West Virginia, 26034",,
West Virginia,144,Sacred Heart Catholic Church,,"Princeton, West Virginia, 24740-3198",,
West Virginia,144,Sacred Heart Catholic Church,,"Huntington, West Virginia, 25704-1419",,
West Virginia,144,Sacred Heart of Jesus Parish,,"Powhatan, West Virginia, 24868",,
West Virginia,144,Sacred Heart of Mary Parish,,"Weirton, West Virginia, 26062",,
