State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Wisconsin,873,All Saints Parish,,"Berlin, Wisconsin, 54923",,
Wisconsin,873,All Saints Parish,,"Stanley, Wisconsin, 54768",,
Wisconsin,873,All Saints Parish,,"Boyd, Wisconsin, 54726",,
Wisconsin,873,All Saints Parish,,"Denmark, Wisconsin, 54208-0787",,
Wisconsin,873,All Saints Parish,,"Milwaukee, Wisconsin, 53209",,
Wisconsin,873,All Saints Parish,,"Cadott, Wisconsin, 54727",,
Wisconsin,873,Annunciation of The Blessed Virgin Mary,,"Green Bay, Wisconsin, 54303-3099",,
Wisconsin,873,Annunciation of the Blessed Virgin Mary Parish,,"Viroqua, Wisconsin, 54665",,
Wisconsin,873,Annunciation Parish,,"Fox Lake, Wisconsin, 53933-9472",,
Wisconsin,873,Archdiocese of Milwaukee,,"Milwaukee, Wisconsin, 53207-0912",,
Wisconsin,873,Assumption of Blessed Mary Virgin,,"Tetyiv, Wisconsin, 9800",,
Wisconsin,873,Assumption of Blessed Virgin Mary,,"Suserz, Wisconsin, 09-550",,
Wisconsin,873,Assumption of the Blessed Virgin Mary Church,,"Pulaski, Wisconsin, 54162",,
Wisconsin,873,Assumption of the Blessed Virgin Mary Parish,,"Pulaski, Wisconsin, 54162-0379",,
Wisconsin,873,Assumption of The Blessed Virgin Mary Parish,,"Farmington, Wisconsin, 54020",,
Wisconsin,873,Assumption of The Blessed Virgin Mary Parish (Strickland),,"Weyerhaeuser, Wisconsin, 54895",,
Wisconsin,873,Basilica of Saint Josaphat,,"Milwaukee, Wisconsin, 53215-3203",,
Wisconsin,873,Blessed Sacrament Parish,,"La Crosse, Wisconsin, 54601",,
Wisconsin,873,Blessed Sacrament Parish,,"Madison, Wisconsin, 53726",,
Wisconsin,873,Blessed Sacrament Parish,,"Milwaukee, Wisconsin, 53215",,
Wisconsin,873,Blessed Savior Congregation,,"Milwaukee, Wisconsin, 53225",,
Wisconsin,873,Blessed Teresa of Calcutta,,"North Lake, Wisconsin, 53064",,
Wisconsin,873,Blessed Teresa of Calcutta,,"Monches, 53029",,
Wisconsin,873,Blessed Trinity Parish,,"Lodi, Wisconsin, 53555",,
Wisconsin,873,Blessed Trinity Parish,,"Sheboygan Falls, Wisconsin, 53085-1598",,
Wisconsin,873,Cathedral of Christ The King,,"Superior, Wisconsin, 54880-1728",,
Wisconsin,873,Cathedral of St Francis Xavier,,"Green Bay, Wisconsin, 54301-4501",,
Wisconsin,873,Cathedral of St Joseph The Workman,,"La Crosse, Wisconsin, 54601",,
Wisconsin,873,Cathedral of St Raphael,,"Madison, Wisconsin, 53703",,
Wisconsin,873,Cathedral of St. John the Evangelist,,"Milwaukee, Wisconsin, 53202",,
Wisconsin,873,Catholic Radio Association,,"Green Bay, Wisconsin, 54180",,
Wisconsin,873,Christ King,,"Wauwatosa, Wisconsin, 53226",,
Wisconsin,873,Christ The King Parish,,"Spencer, Wisconsin, 54479-0156",,
Wisconsin,873,Christ The King Parish,,"McFarland, Wisconsin, 53558",,
Wisconsin,873,Christ The King Parish,,"Milwaukee, Wisconsin, 53226",,
Wisconsin,873,Christo Rey Parish,,"Racine, Wisconsin, 53403",,
Wisconsin,873,Church of Notre Dame,,"Chippewa Falls, Wisconsin, 54729-2899",,
Wisconsin,873,Church of the Resurrection,,"Wausau, Wisconsin, 54403",,
